"Año","Mes","Comunidad autónoma","Provincia","Número de casos","Número de casos con protección policial"
"Año 2016","Febrero","Castilla-La Mancha","Ciudad Real","670.0","266.0"
"Año 2016","Febrero","Castilla-La Mancha","Cuenca","246.0","27.0"
"Año 2016","Febrero","Castilla-La Mancha","Guadalajara","332.0","67.0"
"Año 2016","Febrero","Castilla-La Mancha","Toledo","909.0","146.0"
"Año 2016","Febrero","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Febrero","Cataluña","Girona","0.0","0.0"
"Año 2016","Febrero","Cataluña","Lleida","0.0","0.0"
"Año 2016","Febrero","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Febrero","Comunitat Valenciana","Alicante/Alacant","3652.0","1169.0"
"Año 2016","Febrero","Comunitat Valenciana","Castellón/Castelló","694.0","175.0"
"Año 2016","Febrero","Comunitat Valenciana","Valencia/València","3740.0","980.0"
"Año 2016","Febrero","Extremadura","Badajoz","858.0","404.0"
"Año 2016","Febrero","Extremadura","Cáceres","636.0","196.0"
"Año 2016","Febrero","Galicia","A Coruña","1242.0","482.0"
"Año 2016","Febrero","Galicia","Lugo","461.0","155.0"
"Año 2016","Febrero","Galicia","Ourense","335.0","64.0"
"Año 2016","Febrero","Galicia","Pontevedra","885.0","276.0"
"Año 2016","Febrero","Comunidad de Madrid","Madrid","7040.0","1515.0"
"Año 2016","Febrero","Región de Murcia","Murcia","2426.0","1116.0"
"Año 2016","Febrero","Comunidad Foral de Navarra","Navarra","737.0","231.0"
"Año 2016","Febrero","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Febrero","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Febrero","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Febrero","La Rioja","La Rioja","342.0","168.0"
"Año 2016","Febrero","Ceuta","Ceuta","124.0","17.0"
"Año 2016","Febrero","Melilla","Melilla","97.0","61.0"
"Año 2016","Febrero","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Marzo","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Marzo","Andalucía","Almería","1569.0","466.0"
"Año 2016","Marzo","Andalucía","Cádiz","2356.0","987.0"
"Año 2016","Marzo","Andalucía","Córdoba","933.0","533.0"
"Año 2016","Marzo","Andalucía","Granada","1342.0","666.0"
"Año 2016","Marzo","Andalucía","Huelva","850.0","273.0"
"Año 2016","Marzo","Andalucía","Jaén","1258.0","551.0"
"Año 2016","Marzo","Andalucía","Málaga","2776.0","849.0"
"Año 2016","Marzo","Andalucía","Sevilla","2832.0","638.0"
"Año 2016","Marzo","Aragón","Huesca","246.0","64.0"
"Año 2016","Marzo","Aragón","Teruel","87.0","39.0"
"Año 2016","Marzo","Aragón","Zaragoza","1002.0","313.0"
"Año 2016","Marzo","Principado de Asturias","Asturias","1108.0","334.0"
"Año 2016","Marzo","Illes Balears","Illes Balears","2030.0","508.0"
"Año 2016","Marzo","Canarias","Las Palmas","1629.0","1137.0"
"Año 2016","Marzo","Canarias","Santa Cruz de Tenerife","2321.0","812.0"
"Año 2016","Marzo","Cantabria","Cantabria","658.0","255.0"
"Año 2016","Marzo","Castilla y León","Ávila","164.0","59.0"
"Año 2016","Marzo","Castilla y León","Burgos","372.0","117.0"
"Año 2016","Marzo","Castilla y León","León","502.0","129.0"
"Año 2016","Marzo","Castilla y León","Palencia","167.0","44.0"
"Año 2016","Marzo","Castilla y León","Salamanca","354.0","42.0"
"Año 2016","Marzo","Castilla y León","Segovia","168.0","120.0"
"Año 2016","Marzo","Castilla y León","Soria","93.0","21.0"
"Año 2016","Marzo","Castilla y León","Valladolid","513.0","84.0"
"Año 2016","Marzo","Castilla y León","Zamora","123.0","30.0"
"Año 2016","Marzo","Castilla-La Mancha","Albacete","562.0","89.0"
"Año 2016","Marzo","Castilla-La Mancha","Ciudad Real","658.0","263.0"
"Año 2016","Marzo","Castilla-La Mancha","Cuenca","246.0","30.0"
"Año 2016","Marzo","Castilla-La Mancha","Guadalajara","331.0","69.0"
"Año 2016","Marzo","Castilla-La Mancha","Toledo","908.0","140.0"
"Año 2016","Marzo","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Marzo","Cataluña","Girona","0.0","0.0"
"Año 2016","Marzo","Cataluña","Lleida","0.0","0.0"
"Año 2016","Marzo","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Marzo","Comunitat Valenciana","Alicante/Alacant","3669.0","1187.0"
"Año 2016","Marzo","Comunitat Valenciana","Castellón/Castelló","695.0","174.0"
"Año 2016","Marzo","Comunitat Valenciana","Valencia/València","3753.0","1028.0"
"Año 2016","Marzo","Extremadura","Badajoz","855.0","404.0"
"Año 2016","Marzo","Extremadura","Cáceres","637.0","208.0"
"Año 2016","Marzo","Galicia","A Coruña","1243.0","500.0"
"Año 2016","Marzo","Galicia","Lugo","448.0","156.0"
"Año 2016","Marzo","Galicia","Ourense","341.0","62.0"
"Año 2016","Marzo","Galicia","Pontevedra","876.0","262.0"
"Año 2016","Marzo","Comunidad de Madrid","Madrid","7106.0","1586.0"
"Año 2016","Marzo","Región de Murcia","Murcia","2426.0","1131.0"
"Año 2016","Marzo","Comunidad Foral de Navarra","Navarra","728.0","229.0"
"Año 2016","Marzo","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Marzo","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Marzo","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Marzo","La Rioja","La Rioja","337.0","165.0"
"Año 2016","Marzo","Ceuta","Ceuta","118.0","18.0"
"Año 2016","Marzo","Melilla","Melilla","91.0","54.0"
"Año 2016","Marzo","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Abril","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Abril","Andalucía","Almería","1587.0","486.0"
"Año 2016","Abril","Andalucía","Cádiz","2346.0","1008.0"
"Año 2016","Abril","Andalucía","Córdoba","920.0","526.0"
"Año 2016","Abril","Andalucía","Granada","1336.0","653.0"
"Año 2016","Abril","Andalucía","Huelva","857.0","275.0"
"Año 2016","Abril","Andalucía","Jaén","1263.0","565.0"
"Año 2016","Abril","Andalucía","Málaga","2795.0","885.0"
"Año 2016","Abril","Andalucía","Sevilla","2814.0","636.0"
"Año 2016","Abril","Aragón","Huesca","229.0","61.0"
"Año 2016","Abril","Aragón","Teruel","90.0","39.0"
"Año 2016","Abril","Aragón","Zaragoza","1008.0","325.0"
"Año 2016","Abril","Principado de Asturias","Asturias","1095.0","328.0"
"Año 2016","Abril","Illes Balears","Illes Balears","2014.0","475.0"
"Año 2016","Abril","Canarias","Las Palmas","1598.0","1093.0"
"Año 2016","Abril","Canarias","Santa Cruz de Tenerife","2240.0","830.0"
"Año 2016","Abril","Cantabria","Cantabria","646.0","239.0"
"Año 2016","Abril","Castilla y León","Ávila","149.0","65.0"
"Año 2016","Abril","Castilla y León","Burgos","367.0","116.0"
"Año 2016","Abril","Castilla y León","León","483.0","135.0"
"Año 2016","Abril","Castilla y León","Palencia","166.0","44.0"
"Año 2016","Abril","Castilla y León","Salamanca","351.0","46.0"
"Año 2016","Abril","Castilla y León","Segovia","166.0","119.0"
"Año 2016","Abril","Castilla y León","Soria","94.0","23.0"
"Año 2016","Abril","Castilla y León","Valladolid","505.0","79.0"
"Año 2016","Abril","Castilla y León","Zamora","119.0","21.0"
"Año 2016","Abril","Castilla-La Mancha","Albacete","571.0","92.0"
"Año 2016","Abril","Castilla-La Mancha","Ciudad Real","656.0","270.0"
"Año 2016","Abril","Castilla-La Mancha","Cuenca","253.0","33.0"
"Año 2016","Abril","Castilla-La Mancha","Guadalajara","313.0","70.0"
"Año 2016","Abril","Castilla-La Mancha","Toledo","902.0","143.0"
"Año 2016","Abril","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Abril","Cataluña","Girona","0.0","0.0"
"Año 2016","Abril","Cataluña","Lleida","0.0","0.0"
"Año 2016","Abril","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Abril","Comunitat Valenciana","Alicante/Alacant","3670.0","1184.0"
"Año 2016","Abril","Comunitat Valenciana","Castellón/Castelló","674.0","179.0"
"Año 2016","Abril","Comunitat Valenciana","Valencia/València","3766.0","1050.0"
"Año 2016","Abril","Extremadura","Badajoz","853.0","402.0"
"Año 2016","Abril","Extremadura","Cáceres","635.0","219.0"
"Año 2016","Abril","Galicia","A Coruña","1225.0","481.0"
"Año 2016","Abril","Galicia","Lugo","456.0","160.0"
"Año 2016","Abril","Galicia","Ourense","333.0","65.0"
"Año 2016","Abril","Galicia","Pontevedra","876.0","254.0"
"Año 2016","Abril","Comunidad de Madrid","Madrid","7175.0","1638.0"
"Año 2016","Abril","Región de Murcia","Murcia","2368.0","1084.0"
"Año 2016","Abril","Comunidad Foral de Navarra","Navarra","738.0","233.0"
"Año 2016","Abril","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Abril","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Abril","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Abril","La Rioja","La Rioja","337.0","164.0"
"Año 2016","Abril","Ceuta","Ceuta","125.0","26.0"
"Año 2016","Abril","Melilla","Melilla","100.0","63.0"
"Año 2016","Abril","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Mayo","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Mayo","Andalucía","Almería","1596.0","494.0"
"Año 2016","Mayo","Andalucía","Cádiz","2369.0","1049.0"
"Año 2016","Mayo","Andalucía","Córdoba","897.0","504.0"
"Año 2016","Mayo","Andalucía","Granada","1329.0","645.0"
"Año 2016","Mayo","Andalucía","Huelva","865.0","266.0"
"Año 2016","Mayo","Andalucía","Jaén","1252.0","555.0"
"Año 2016","Mayo","Andalucía","Málaga","2775.0","847.0"
"Año 2016","Mayo","Andalucía","Sevilla","2858.0","658.0"
"Año 2016","Mayo","Aragón","Huesca","228.0","57.0"
"Año 2016","Mayo","Aragón","Teruel","90.0","43.0"
"Año 2016","Mayo","Aragón","Zaragoza","1031.0","356.0"
"Año 2016","Mayo","Principado de Asturias","Asturias","1102.0","325.0"
"Año 2016","Mayo","Illes Balears","Illes Balears","2031.0","462.0"
"Año 2016","Mayo","Canarias","Las Palmas","1609.0","1092.0"
"Año 2016","Mayo","Canarias","Santa Cruz de Tenerife","2204.0","829.0"
"Año 2016","Mayo","Cantabria","Cantabria","651.0","246.0"
"Año 2016","Mayo","Castilla y León","Ávila","145.0","59.0"
"Año 2016","Mayo","Castilla y León","Burgos","371.0","117.0"
"Año 2016","Mayo","Castilla y León","León","496.0","137.0"
"Año 2016","Mayo","Castilla y León","Palencia","167.0","42.0"
"Año 2016","Mayo","Castilla y León","Salamanca","350.0","42.0"
"Año 2016","Mayo","Castilla y León","Segovia","165.0","121.0"
"Año 2016","Mayo","Castilla y León","Soria","91.0","24.0"
"Año 2016","Mayo","Castilla y León","Valladolid","501.0","81.0"
"Año 2016","Mayo","Castilla y León","Zamora","111.0","20.0"
"Año 2016","Mayo","Castilla-La Mancha","Albacete","562.0","86.0"
"Año 2016","Mayo","Castilla-La Mancha","Ciudad Real","658.0","268.0"
"Año 2016","Mayo","Castilla-La Mancha","Cuenca","251.0","25.0"
"Año 2016","Mayo","Castilla-La Mancha","Guadalajara","312.0","67.0"
"Año 2016","Mayo","Castilla-La Mancha","Toledo","912.0","141.0"
"Año 2016","Mayo","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Mayo","Cataluña","Girona","0.0","0.0"
"Año 2016","Mayo","Cataluña","Lleida","0.0","0.0"
"Año 2016","Mayo","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Mayo","Comunitat Valenciana","Alicante/Alacant","3716.0","1251.0"
"Año 2016","Mayo","Comunitat Valenciana","Castellón/Castelló","668.0","187.0"
"Año 2016","Mayo","Comunitat Valenciana","Valencia/València","3798.0","1047.0"
"Año 2016","Mayo","Extremadura","Badajoz","830.0","393.0"
"Año 2016","Mayo","Extremadura","Cáceres","638.0","222.0"
"Año 2016","Mayo","Galicia","A Coruña","1223.0","489.0"
"Año 2016","Mayo","Galicia","Lugo","466.0","162.0"
"Año 2016","Mayo","Galicia","Ourense","342.0","68.0"
"Año 2016","Mayo","Galicia","Pontevedra","877.0","253.0"
"Año 2016","Mayo","Comunidad de Madrid","Madrid","7122.0","1607.0"
"Año 2016","Mayo","Región de Murcia","Murcia","2375.0","1077.0"
"Año 2016","Mayo","Comunidad Foral de Navarra","Navarra","731.0","229.0"
"Año 2016","Mayo","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Mayo","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Mayo","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Mayo","La Rioja","La Rioja","340.0","168.0"
"Año 2016","Mayo","Ceuta","Ceuta","125.0","23.0"
"Año 2016","Mayo","Melilla","Melilla","100.0","59.0"
"Año 2016","Mayo","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Junio","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Junio","Andalucía","Almería","1596.0","499.0"
"Año 2016","Junio","Andalucía","Cádiz","2368.0","1055.0"
"Año 2016","Junio","Andalucía","Córdoba","896.0","511.0"
"Año 2016","Junio","Andalucía","Granada","1307.0","635.0"
"Año 2016","Junio","Andalucía","Huelva","866.0","257.0"
"Año 2016","Junio","Andalucía","Jaén","1274.0","583.0"
"Año 2016","Junio","Andalucía","Málaga","2784.0","864.0"
"Año 2016","Junio","Andalucía","Sevilla","2865.0","684.0"
"Año 2016","Junio","Aragón","Huesca","225.0","52.0"
"Año 2016","Junio","Aragón","Teruel","87.0","42.0"
"Año 2016","Junio","Aragón","Zaragoza","1070.0","366.0"
"Año 2016","Junio","Principado de Asturias","Asturias","1109.0","325.0"
"Año 2016","Junio","Illes Balears","Illes Balears","2101.0","496.0"
"Año 2016","Junio","Canarias","Las Palmas","1643.0","1129.0"
"Año 2016","Junio","Canarias","Santa Cruz de Tenerife","2209.0","824.0"
"Año 2016","Junio","Cantabria","Cantabria","647.0","244.0"
"Año 2016","Junio","Castilla y León","Ávila","161.0","73.0"
"Año 2016","Junio","Castilla y León","Burgos","379.0","117.0"
"Año 2016","Junio","Castilla y León","León","510.0","140.0"
"Año 2016","Junio","Castilla y León","Palencia","168.0","40.0"
"Año 2016","Junio","Castilla y León","Salamanca","351.0","51.0"
"Año 2016","Junio","Castilla y León","Segovia","167.0","118.0"
"Año 2016","Junio","Castilla y León","Soria","90.0","26.0"
"Año 2016","Junio","Castilla y León","Valladolid","511.0","87.0"
"Año 2016","Junio","Castilla y León","Zamora","119.0","23.0"
"Año 2016","Junio","Castilla-La Mancha","Albacete","562.0","84.0"
"Año 2016","Junio","Castilla-La Mancha","Ciudad Real","639.0","255.0"
"Año 2016","Junio","Castilla-La Mancha","Cuenca","248.0","27.0"
"Año 2016","Junio","Castilla-La Mancha","Guadalajara","315.0","71.0"
"Año 2016","Junio","Castilla-La Mancha","Toledo","933.0","145.0"
"Año 2016","Junio","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Junio","Cataluña","Girona","0.0","0.0"
"Año 2016","Junio","Cataluña","Lleida","0.0","0.0"
"Año 2016","Junio","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Junio","Comunitat Valenciana","Alicante/Alacant","3729.0","1275.0"
"Año 2016","Junio","Comunitat Valenciana","Castellón/Castelló","682.0","198.0"
"Año 2016","Junio","Comunitat Valenciana","Valencia/València","3791.0","1047.0"
"Año 2016","Junio","Extremadura","Badajoz","826.0","407.0"
"Año 2016","Junio","Extremadura","Cáceres","637.0","227.0"
"Año 2016","Junio","Galicia","A Coruña","1222.0","507.0"
"Año 2016","Junio","Galicia","Lugo","465.0","154.0"
"Año 2016","Junio","Galicia","Ourense","330.0","57.0"
"Año 2016","Junio","Galicia","Pontevedra","878.0","250.0"
"Año 2016","Junio","Comunidad de Madrid","Madrid","7254.0","1681.0"
"Año 2016","Junio","Región de Murcia","Murcia","2423.0","1099.0"
"Año 2016","Junio","Comunidad Foral de Navarra","Navarra","761.0","246.0"
"Año 2016","Junio","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Junio","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Junio","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Junio","La Rioja","La Rioja","346.0","181.0"
"Año 2016","Junio","Ceuta","Ceuta","132.0","22.0"
"Año 2016","Junio","Melilla","Melilla","97.0","57.0"
"Año 2016","Junio","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Julio","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Julio","Andalucía","Almería","1562.0","496.0"
"Año 2016","Julio","Andalucía","Cádiz","2371.0","1056.0"
"Año 2016","Julio","Andalucía","Córdoba","915.0","542.0"
"Año 2016","Julio","Andalucía","Granada","1315.0","629.0"
"Año 2016","Julio","Andalucía","Huelva","870.0","257.0"
"Año 2016","Julio","Andalucía","Jaén","1291.0","614.0"
"Año 2016","Julio","Andalucía","Málaga","2866.0","922.0"
"Año 2016","Julio","Andalucía","Sevilla","2856.0","683.0"
"Año 2016","Julio","Aragón","Huesca","226.0","50.0"
"Año 2016","Julio","Aragón","Teruel","86.0","42.0"
"Año 2016","Julio","Aragón","Zaragoza","1107.0","392.0"
"Año 2016","Julio","Principado de Asturias","Asturias","1116.0","310.0"
"Año 2016","Julio","Illes Balears","Illes Balears","2188.0","526.0"
"Año 2016","Julio","Canarias","Las Palmas","1639.0","1092.0"
"Año 2016","Julio","Canarias","Santa Cruz de Tenerife","2194.0","803.0"
"Año 2016","Julio","Cantabria","Cantabria","671.0","256.0"
"Año 2016","Julio","Castilla y León","Ávila","158.0","72.0"
"Año 2016","Julio","Castilla y León","Burgos","387.0","123.0"
"Año 2016","Julio","Castilla y León","León","517.0","134.0"
"Año 2016","Julio","Castilla y León","Palencia","173.0","38.0"
"Año 2016","Julio","Castilla y León","Salamanca","366.0","56.0"
"Año 2016","Julio","Castilla y León","Segovia","169.0","122.0"
"Año 2016","Julio","Castilla y León","Soria","86.0","27.0"
"Año 2016","Julio","Castilla y León","Valladolid","509.0","89.0"
"Año 2016","Julio","Castilla y León","Zamora","126.0","25.0"
"Año 2016","Julio","Castilla-La Mancha","Albacete","576.0","100.0"
"Año 2016","Julio","Castilla-La Mancha","Ciudad Real","651.0","263.0"
"Año 2016","Julio","Castilla-La Mancha","Cuenca","256.0","39.0"
"Año 2016","Julio","Castilla-La Mancha","Guadalajara","314.0","75.0"
"Año 2016","Julio","Castilla-La Mancha","Toledo","944.0","172.0"
"Año 2016","Julio","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Julio","Cataluña","Girona","0.0","0.0"
"Año 2016","Julio","Cataluña","Lleida","0.0","0.0"
"Año 2016","Julio","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Julio","Comunitat Valenciana","Alicante/Alacant","3704.0","1265.0"
"Año 2016","Julio","Comunitat Valenciana","Castellón/Castelló","699.0","202.0"
"Año 2016","Julio","Comunitat Valenciana","Valencia/València","3796.0","1032.0"
"Año 2016","Julio","Extremadura","Badajoz","841.0","418.0"
"Año 2016","Julio","Extremadura","Cáceres","639.0","224.0"
"Año 2016","Julio","Galicia","A Coruña","1230.0","520.0"
"Año 2016","Julio","Galicia","Lugo","458.0","158.0"
"Año 2016","Julio","Galicia","Ourense","328.0","52.0"
"Año 2016","Julio","Galicia","Pontevedra","898.0","270.0"
"Año 2016","Julio","Comunidad de Madrid","Madrid","7282.0","1673.0"
"Año 2016","Julio","Región de Murcia","Murcia","2416.0","1093.0"
"Año 2016","Julio","Comunidad Foral de Navarra","Navarra","748.0","231.0"
"Año 2016","Julio","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Julio","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Julio","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Julio","La Rioja","La Rioja","337.0","180.0"
"Año 2016","Julio","Ceuta","Ceuta","138.0","26.0"
"Año 2016","Julio","Melilla","Melilla","104.0","68.0"
"Año 2016","Julio","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Agosto","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Agosto","Andalucía","Almería","1580.0","525.0"
"Año 2016","Agosto","Andalucía","Cádiz","2446.0","1123.0"
"Año 2016","Agosto","Andalucía","Córdoba","909.0","545.0"
"Año 2016","Agosto","Andalucía","Granada","1325.0","633.0"
"Año 2016","Agosto","Andalucía","Huelva","888.0","282.0"
"Año 2016","Agosto","Andalucía","Jaén","1294.0","623.0"
"Año 2016","Agosto","Andalucía","Málaga","2943.0","937.0"
"Año 2016","Agosto","Andalucía","Sevilla","2857.0","679.0"
"Año 2016","Agosto","Aragón","Huesca","233.0","59.0"
"Año 2016","Agosto","Aragón","Teruel","90.0","44.0"
"Año 2016","Agosto","Aragón","Zaragoza","1087.0","510.0"
"Año 2016","Agosto","Principado de Asturias","Asturias","1118.0","328.0"
"Año 2016","Agosto","Illes Balears","Illes Balears","2202.0","531.0"
"Año 2016","Agosto","Canarias","Las Palmas","1618.0","1077.0"
"Año 2016","Agosto","Canarias","Santa Cruz de Tenerife","2199.0","803.0"
"Año 2016","Agosto","Cantabria","Cantabria","680.0","265.0"
"Año 2016","Agosto","Castilla y León","Ávila","157.0","68.0"
"Año 2016","Agosto","Castilla y León","Burgos","382.0","125.0"
"Año 2016","Agosto","Castilla y León","León","505.0","134.0"
"Año 2016","Agosto","Castilla y León","Palencia","188.0","37.0"
"Año 2016","Agosto","Castilla y León","Salamanca","381.0","59.0"
"Año 2016","Agosto","Castilla y León","Segovia","167.0","123.0"
"Año 2016","Agosto","Castilla y León","Soria","82.0","28.0"
"Año 2016","Agosto","Castilla y León","Valladolid","505.0","93.0"
"Año 2016","Agosto","Castilla y León","Zamora","124.0","23.0"
"Año 2016","Agosto","Castilla-La Mancha","Albacete","574.0","105.0"
"Año 2016","Agosto","Castilla-La Mancha","Ciudad Real","655.0","271.0"
"Año 2016","Agosto","Castilla-La Mancha","Cuenca","259.0","38.0"
"Año 2016","Agosto","Castilla-La Mancha","Guadalajara","315.0","73.0"
"Año 2016","Agosto","Castilla-La Mancha","Toledo","935.0","170.0"
"Año 2016","Agosto","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Agosto","Cataluña","Girona","0.0","0.0"
"Año 2016","Agosto","Cataluña","Lleida","0.0","0.0"
"Año 2016","Agosto","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Agosto","Comunitat Valenciana","Alicante/Alacant","3751.0","1279.0"
"Año 2016","Agosto","Comunitat Valenciana","Castellón/Castelló","712.0","212.0"
"Año 2016","Agosto","Comunitat Valenciana","Valencia/València","3787.0","1043.0"
"Año 2016","Agosto","Extremadura","Badajoz","852.0","427.0"
"Año 2016","Agosto","Extremadura","Cáceres","658.0","227.0"
"Año 2016","Agosto","Galicia","A Coruña","1217.0","522.0"
"Año 2016","Agosto","Galicia","Lugo","452.0","146.0"
"Año 2016","Agosto","Galicia","Ourense","338.0","58.0"
"Año 2016","Agosto","Galicia","Pontevedra","906.0","274.0"
"Año 2016","Agosto","Comunidad de Madrid","Madrid","7249.0","1665.0"
"Año 2016","Agosto","Región de Murcia","Murcia","2394.0","1083.0"
"Año 2016","Agosto","Comunidad Foral de Navarra","Navarra","774.0","245.0"
"Año 2016","Agosto","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Agosto","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Agosto","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Agosto","La Rioja","La Rioja","344.0","186.0"
"Año 2016","Agosto","Ceuta","Ceuta","145.0","31.0"
"Año 2016","Agosto","Melilla","Melilla","105.0","71.0"
"Año 2016","Agosto","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Septiembre","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Septiembre","Andalucía","Almería","1591.0","585.0"
"Año 2016","Septiembre","Andalucía","Cádiz","2473.0","1222.0"
"Año 2016","Septiembre","Andalucía","Córdoba","912.0","561.0"
"Año 2016","Septiembre","Andalucía","Granada","1345.0","643.0"
"Año 2016","Septiembre","Andalucía","Huelva","909.0","311.0"
"Año 2016","Septiembre","Andalucía","Jaén","1297.0","638.0"
"Año 2016","Septiembre","Andalucía","Málaga","2935.0","991.0"
"Año 2016","Septiembre","Andalucía","Sevilla","2908.0","909.0"
"Año 2016","Septiembre","Aragón","Huesca","235.0","64.0"
"Año 2016","Septiembre","Aragón","Teruel","90.0","43.0"
"Año 2016","Septiembre","Aragón","Zaragoza","1119.0","670.0"
"Año 2016","Septiembre","Principado de Asturias","Asturias","1132.0","353.0"
"Año 2016","Septiembre","Illes Balears","Illes Balears","2216.0","643.0"
"Año 2016","Septiembre","Canarias","Las Palmas","1668.0","1062.0"
"Año 2016","Septiembre","Canarias","Santa Cruz de Tenerife","2220.0","821.0"
"Año 2016","Septiembre","Cantabria","Cantabria","676.0","268.0"
"Año 2016","Septiembre","Castilla y León","Ávila","156.0","73.0"
"Año 2016","Septiembre","Castilla y León","Burgos","392.0","139.0"
"Año 2016","Septiembre","Castilla y León","León","526.0","177.0"
"Año 2016","Septiembre","Castilla y León","Palencia","197.0","53.0"
"Año 2016","Septiembre","Castilla y León","Salamanca","363.0","66.0"
"Año 2016","Septiembre","Castilla y León","Segovia","174.0","123.0"
"Año 2016","Septiembre","Castilla y León","Soria","82.0","27.0"
"Año 2016","Septiembre","Castilla y León","Valladolid","508.0","64.0"
"Año 2016","Septiembre","Castilla y León","Zamora","128.0","23.0"
"Año 2016","Septiembre","Castilla-La Mancha","Albacete","580.0","117.0"
"Año 2016","Septiembre","Castilla-La Mancha","Ciudad Real","644.0","269.0"
"Año 2016","Septiembre","Castilla-La Mancha","Cuenca","267.0","45.0"
"Año 2016","Septiembre","Castilla-La Mancha","Guadalajara","317.0","81.0"
"Año 2016","Septiembre","Castilla-La Mancha","Toledo","944.0","192.0"
"Año 2016","Septiembre","Cataluña","Barcelona","0.0","0.0"
"Año 2016","Septiembre","Cataluña","Girona","0.0","0.0"
"Año 2016","Septiembre","Cataluña","Lleida","0.0","0.0"
"Año 2016","Septiembre","Cataluña","Tarragona","0.0","0.0"
"Año 2016","Septiembre","Comunitat Valenciana","Alicante/Alacant","3771.0","1337.0"
"Año 2016","Septiembre","Comunitat Valenciana","Castellón/Castelló","705.0","238.0"
"Año 2016","Septiembre","Comunitat Valenciana","Valencia/València","3832.0","1187.0"
"Año 2016","Septiembre","Extremadura","Badajoz","851.0","419.0"
"Año 2016","Septiembre","Extremadura","Cáceres","672.0","246.0"
"Año 2016","Septiembre","Galicia","A Coruña","1239.0","566.0"
"Año 2016","Septiembre","Galicia","Lugo","463.0","163.0"
"Año 2016","Septiembre","Galicia","Ourense","355.0","80.0"
"Año 2016","Septiembre","Galicia","Pontevedra","905.0","310.0"
"Año 2016","Septiembre","Comunidad de Madrid","Madrid","7218.0","1882.0"
"Año 2016","Septiembre","Región de Murcia","Murcia","2383.0","1117.0"
"Año 2016","Septiembre","Comunidad Foral de Navarra","Navarra","811.0","285.0"
"Año 2016","Septiembre","País Vasco","Araba/Álava","0.0","0.0"
"Año 2016","Septiembre","País Vasco","Bizkaia","0.0","0.0"
"Año 2016","Septiembre","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2016","Septiembre","La Rioja","La Rioja","349.0","195.0"
"Año 2016","Septiembre","Ceuta","Ceuta","145.0","37.0"
"Año 2016","Septiembre","Melilla","Melilla","115.0","71.0"
"Año 2016","Septiembre","Extranjero","Extranjero","0.0","0.0"
"Año 2016","Octubre","Desconocida","Desconocida","0.0","0.0"
"Año 2016","Octubre","Andalucía","Almería","1615.0","647.0"
