"Año","Mes","Comunidad autónoma","Provincia","Número de casos","Número de casos con protección policial"
"Año 2019","Junio","Andalucía","Granada","1474.0","873.0"
"Año 2019","Junio","Andalucía","Huelva","1092.0","441.0"
"Año 2019","Junio","Andalucía","Jaén","1261.0","692.0"
"Año 2019","Junio","Andalucía","Málaga","3041.0","1480.0"
"Año 2019","Junio","Andalucía","Sevilla","3233.0","1724.0"
"Año 2019","Junio","Aragón","Huesca","287.0","106.0"
"Año 2019","Junio","Aragón","Teruel","125.0","57.0"
"Año 2019","Junio","Aragón","Zaragoza","1275.0","552.0"
"Año 2019","Junio","Principado de Asturias","Asturias","1248.0","504.0"
"Año 2019","Junio","Illes Balears","Illes Balears","2509.0","1094.0"
"Año 2019","Junio","Canarias","Las Palmas","1856.0","992.0"
"Año 2019","Junio","Canarias","Santa Cruz de Tenerife","1948.0","1227.0"
"Año 2019","Junio","Cantabria","Cantabria","729.0","320.0"
"Año 2019","Junio","Castilla y León","Ávila","204.0","109.0"
"Año 2019","Junio","Castilla y León","Burgos","550.0","250.0"
"Año 2019","Junio","Castilla y León","León","549.0","258.0"
"Año 2019","Junio","Castilla y León","Palencia","199.0","106.0"
"Año 2019","Junio","Castilla y León","Salamanca","315.0","99.0"
"Año 2019","Junio","Castilla y León","Segovia","170.0","96.0"
"Año 2019","Junio","Castilla y León","Soria","104.0","24.0"
"Año 2019","Junio","Castilla y León","Valladolid","446.0","123.0"
"Año 2019","Junio","Castilla y León","Zamora","127.0","55.0"
"Año 2019","Junio","Castilla-La Mancha","Albacete","631.0","275.0"
"Año 2019","Junio","Castilla-La Mancha","Ciudad Real","725.0","279.0"
"Año 2019","Junio","Castilla-La Mancha","Cuenca","341.0","91.0"
"Año 2019","Junio","Castilla-La Mancha","Guadalajara","457.0","235.0"
"Año 2019","Junio","Castilla-La Mancha","Toledo","1030.0","357.0"
"Año 2019","Junio","Cataluña","Barcelona","0.0","0.0"
"Año 2019","Junio","Cataluña","Girona","0.0","0.0"
"Año 2019","Junio","Cataluña","Lleida","0.0","0.0"
"Año 2019","Junio","Cataluña","Tarragona","0.0","0.0"
"Año 2019","Junio","Comunitat Valenciana","Alicante/Alacant","3673.0","1755.0"
"Año 2019","Junio","Comunitat Valenciana","Castellón/Castelló","935.0","506.0"
"Año 2019","Junio","Comunitat Valenciana","Valencia/València","4362.0","2053.0"
"Año 2019","Junio","Extremadura","Badajoz","917.0","544.0"
"Año 2019","Junio","Extremadura","Cáceres","680.0","286.0"
"Año 2019","Junio","Galicia","A Coruña","1542.0","936.0"
"Año 2019","Junio","Galicia","Lugo","474.0","199.0"
"Año 2019","Junio","Galicia","Ourense","366.0","126.0"
"Año 2019","Junio","Galicia","Pontevedra","1061.0","515.0"
"Año 2019","Junio","Comunidad de Madrid","Madrid","8091.0","3450.0"
"Año 2019","Junio","Región de Murcia","Murcia","2776.0","1516.0"
"Año 2019","Junio","Comunidad Foral de Navarra","Navarra","966.0","510.0"
"Año 2019","Junio","País Vasco","Araba/Álava","0.0","0.0"
"Año 2019","Junio","País Vasco","Bizkaia","0.0","0.0"
"Año 2019","Junio","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2019","Junio","La Rioja","La Rioja","424.0","223.0"
"Año 2019","Junio","Ceuta","Ceuta","117.0","63.0"
"Año 2019","Junio","Melilla","Melilla","135.0","71.0"
"Año 2019","Junio","Extranjero","Extranjero","0.0","0.0"
"Año 2019","Julio","Desconocida","Desconocida","0.0","0.0"
"Año 2019","Julio","Andalucía","Almería","2015.0","802.0"
"Año 2019","Julio","Andalucía","Cádiz","2715.0","1417.0"
"Año 2019","Julio","Andalucía","Córdoba","972.0","649.0"
"Año 2019","Julio","Andalucía","Granada","1474.0","870.0"
"Año 2019","Julio","Andalucía","Huelva","1101.0","446.0"
"Año 2019","Julio","Andalucía","Jaén","1282.0","700.0"
"Año 2019","Julio","Andalucía","Málaga","3022.0","1463.0"
"Año 2019","Julio","Andalucía","Sevilla","3226.0","1714.0"
"Año 2019","Julio","Aragón","Huesca","289.0","108.0"
"Año 2019","Julio","Aragón","Teruel","131.0","59.0"
"Año 2019","Julio","Aragón","Zaragoza","1276.0","530.0"
"Año 2019","Julio","Principado de Asturias","Asturias","1270.0","523.0"
"Año 2019","Julio","Illes Balears","Illes Balears","2592.0","1138.0"
"Año 2019","Julio","Canarias","Las Palmas","1828.0","976.0"
"Año 2019","Julio","Canarias","Santa Cruz de Tenerife","1978.0","1249.0"
"Año 2019","Julio","Cantabria","Cantabria","757.0","330.0"
"Año 2019","Julio","Castilla y León","Ávila","205.0","106.0"
"Año 2019","Julio","Castilla y León","Burgos","556.0","252.0"
"Año 2019","Julio","Castilla y León","León","551.0","257.0"
"Año 2019","Julio","Castilla y León","Palencia","209.0","117.0"
"Año 2019","Julio","Castilla y León","Salamanca","321.0","98.0"
"Año 2019","Julio","Castilla y León","Segovia","166.0","85.0"
"Año 2019","Julio","Castilla y León","Soria","110.0","32.0"
"Año 2019","Julio","Castilla y León","Valladolid","459.0","140.0"
"Año 2019","Julio","Castilla y León","Zamora","125.0","55.0"
"Año 2019","Julio","Castilla-La Mancha","Albacete","649.0","274.0"
"Año 2019","Julio","Castilla-La Mancha","Ciudad Real","733.0","285.0"
"Año 2019","Julio","Castilla-La Mancha","Cuenca","352.0","97.0"
"Año 2019","Julio","Castilla-La Mancha","Guadalajara","484.0","253.0"
"Año 2019","Julio","Castilla-La Mancha","Toledo","1056.0","372.0"
"Año 2019","Julio","Cataluña","Barcelona","0.0","0.0"
"Año 2019","Julio","Cataluña","Girona","0.0","0.0"
"Año 2019","Julio","Cataluña","Lleida","0.0","0.0"
"Año 2019","Julio","Cataluña","Tarragona","0.0","0.0"
"Año 2019","Julio","Comunitat Valenciana","Alicante/Alacant","3744.0","1773.0"
"Año 2019","Julio","Comunitat Valenciana","Castellón/Castelló","935.0","502.0"
"Año 2019","Julio","Comunitat Valenciana","Valencia/València","4454.0","2086.0"
"Año 2019","Julio","Extremadura","Badajoz","938.0","553.0"
"Año 2019","Julio","Extremadura","Cáceres","677.0","273.0"
"Año 2019","Julio","Galicia","A Coruña","1558.0","937.0"
"Año 2019","Julio","Galicia","Lugo","482.0","205.0"
"Año 2019","Julio","Galicia","Ourense","374.0","130.0"
"Año 2019","Julio","Galicia","Pontevedra","1058.0","522.0"
"Año 2019","Julio","Comunidad de Madrid","Madrid","8125.0","3438.0"
"Año 2019","Julio","Región de Murcia","Murcia","2807.0","1515.0"
"Año 2019","Julio","Comunidad Foral de Navarra","Navarra","975.0","504.0"
"Año 2019","Julio","País Vasco","Araba/Álava","0.0","0.0"
"Año 2019","Julio","País Vasco","Bizkaia","0.0","0.0"
"Año 2019","Julio","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2019","Julio","La Rioja","La Rioja","421.0","223.0"
"Año 2019","Julio","Ceuta","Ceuta","120.0","70.0"
"Año 2019","Julio","Melilla","Melilla","127.0","66.0"
"Año 2019","Julio","Extranjero","Extranjero","0.0","0.0"
"Año 2019","Agosto","Desconocida","Desconocida","0.0","0.0"
"Año 2019","Agosto","Andalucía","Almería","2053.0","859.0"
"Año 2019","Agosto","Andalucía","Cádiz","2752.0","1461.0"
"Año 2019","Agosto","Andalucía","Córdoba","1011.0","678.0"
"Año 2019","Agosto","Andalucía","Granada","1494.0","871.0"
"Año 2019","Agosto","Andalucía","Huelva","1114.0","453.0"
"Año 2019","Agosto","Andalucía","Jaén","1315.0","715.0"
"Año 2019","Agosto","Andalucía","Málaga","3143.0","1542.0"
"Año 2019","Agosto","Andalucía","Sevilla","3224.0","1693.0"
"Año 2019","Agosto","Aragón","Huesca","278.0","102.0"
"Año 2019","Agosto","Aragón","Teruel","136.0","67.0"
"Año 2019","Agosto","Aragón","Zaragoza","1333.0","572.0"
"Año 2019","Agosto","Principado de Asturias","Asturias","1325.0","563.0"
"Año 2019","Agosto","Illes Balears","Illes Balears","2706.0","1201.0"
"Año 2019","Agosto","Canarias","Las Palmas","1870.0","985.0"
"Año 2019","Agosto","Canarias","Santa Cruz de Tenerife","2091.0","1335.0"
"Año 2019","Agosto","Cantabria","Cantabria","741.0","336.0"
"Año 2019","Agosto","Castilla y León","Ávila","211.0","117.0"
"Año 2019","Agosto","Castilla y León","Burgos","574.0","253.0"
"Año 2019","Agosto","Castilla y León","León","554.0","255.0"
"Año 2019","Agosto","Castilla y León","Palencia","221.0","122.0"
"Año 2019","Agosto","Castilla y León","Salamanca","330.0","105.0"
"Año 2019","Agosto","Castilla y León","Segovia","175.0","92.0"
"Año 2019","Agosto","Castilla y León","Soria","117.0","39.0"
"Año 2019","Agosto","Castilla y León","Valladolid","484.0","161.0"
"Año 2019","Agosto","Castilla y León","Zamora","131.0","58.0"
"Año 2019","Agosto","Castilla-La Mancha","Albacete","657.0","269.0"
"Año 2019","Agosto","Castilla-La Mancha","Ciudad Real","732.0","279.0"
"Año 2019","Agosto","Castilla-La Mancha","Cuenca","370.0","110.0"
"Año 2019","Agosto","Castilla-La Mancha","Guadalajara","500.0","264.0"
"Año 2019","Agosto","Castilla-La Mancha","Toledo","1080.0","390.0"
"Año 2019","Agosto","Cataluña","Barcelona","0.0","0.0"
"Año 2019","Agosto","Cataluña","Girona","0.0","0.0"
"Año 2019","Agosto","Cataluña","Lleida","0.0","0.0"
"Año 2019","Agosto","Cataluña","Tarragona","0.0","0.0"
"Año 2019","Agosto","Comunitat Valenciana","Alicante/Alacant","3798.0","1834.0"
"Año 2019","Agosto","Comunitat Valenciana","Castellón/Castelló","974.0","521.0"
"Año 2019","Agosto","Comunitat Valenciana","Valencia/València","4509.0","2131.0"
"Año 2019","Agosto","Extremadura","Badajoz","963.0","578.0"
"Año 2019","Agosto","Extremadura","Cáceres","698.0","283.0"
"Año 2019","Agosto","Galicia","A Coruña","1582.0","949.0"
"Año 2019","Agosto","Galicia","Lugo","481.0","211.0"
"Año 2019","Agosto","Galicia","Ourense","379.0","139.0"
"Año 2019","Agosto","Galicia","Pontevedra","1128.0","568.0"
"Año 2019","Agosto","Comunidad de Madrid","Madrid","8293.0","3595.0"
"Año 2019","Agosto","Región de Murcia","Murcia","2912.0","1586.0"
"Año 2019","Agosto","Comunidad Foral de Navarra","Navarra","1003.0","528.0"
"Año 2019","Agosto","País Vasco","Araba/Álava","0.0","0.0"
"Año 2019","Agosto","País Vasco","Bizkaia","0.0","0.0"
"Año 2019","Agosto","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2019","Agosto","La Rioja","La Rioja","433.0","239.0"
"Año 2019","Agosto","Ceuta","Ceuta","122.0","76.0"
"Año 2019","Agosto","Melilla","Melilla","129.0","68.0"
"Año 2019","Agosto","Extranjero","Extranjero","0.0","0.0"
"Año 2019","Septiembre","Desconocida","Desconocida","0.0","0.0"
"Año 2019","Septiembre","Andalucía","Almería","2103.0","892.0"
"Año 2019","Septiembre","Andalucía","Cádiz","2766.0","1509.0"
"Año 2019","Septiembre","Andalucía","Córdoba","1016.0","680.0"
"Año 2019","Septiembre","Andalucía","Granada","1543.0","911.0"
"Año 2019","Septiembre","Andalucía","Huelva","1114.0","475.0"
"Año 2019","Septiembre","Andalucía","Jaén","1322.0","726.0"
"Año 2019","Septiembre","Andalucía","Málaga","3150.0","1542.0"
"Año 2019","Septiembre","Andalucía","Sevilla","3269.0","1744.0"
"Año 2019","Septiembre","Aragón","Huesca","282.0","106.0"
"Año 2019","Septiembre","Aragón","Teruel","127.0","67.0"
"Año 2019","Septiembre","Aragón","Zaragoza","1334.0","621.0"
"Año 2019","Septiembre","Principado de Asturias","Asturias","1336.0","580.0"
"Año 2019","Septiembre","Illes Balears","Illes Balears","2670.0","1170.0"
"Año 2019","Septiembre","Canarias","Las Palmas","1915.0","1023.0"
"Año 2019","Septiembre","Canarias","Santa Cruz de Tenerife","2169.0","1393.0"
"Año 2019","Septiembre","Cantabria","Cantabria","721.0","333.0"
"Año 2019","Septiembre","Castilla y León","Ávila","216.0","120.0"
"Año 2019","Septiembre","Castilla y León","Burgos","569.0","274.0"
"Año 2019","Septiembre","Castilla y León","León","575.0","269.0"
"Año 2019","Septiembre","Castilla y León","Palencia","228.0","124.0"
"Año 2019","Septiembre","Castilla y León","Salamanca","315.0","94.0"
"Año 2019","Septiembre","Castilla y León","Segovia","175.0","93.0"
"Año 2019","Septiembre","Castilla y León","Soria","121.0","38.0"
