"Año","Mes","Comunidad autónoma","Provincia","Altas","Bajas","Usuarias activas"
"Año 2007","Enero","Castilla-La Mancha","Ciudad Real","19.0","3.0","50.0"
"Año 2007","Enero","Castilla-La Mancha","Cuenca","1.0","0.0","10.0"
"Año 2007","Enero","Castilla-La Mancha","Guadalajara","7.0","0.0","12.0"
"Año 2007","Enero","Castilla-La Mancha","Toledo","19.0","0.0","47.0"
"Año 2007","Enero","Cataluña","Barcelona","94.0","-62.0","406.0"
"Año 2007","Enero","Cataluña","Girona","8.0","-11.0","64.0"
"Año 2007","Enero","Cataluña","Lleida","5.0","-7.0","32.0"
"Año 2007","Enero","Cataluña","Tarragona","32.0","-29.0","146.0"
"Año 2007","Enero","Comunitat Valenciana","Alicante/Alacant","153.0","19.0","364.0"
"Año 2007","Enero","Comunitat Valenciana","Castellón/Castelló","105.0","23.0","184.0"
"Año 2007","Enero","Comunitat Valenciana","Valencia/València","270.0","45.0","498.0"
"Año 2007","Enero","Extremadura","Badajoz","20.0","2.0","43.0"
"Año 2007","Enero","Extremadura","Cáceres","27.0","7.0","35.0"
"Año 2007","Enero","Galicia","A Coruña","9.0","-29.0","128.0"
"Año 2007","Enero","Galicia","Lugo","-1.0","-3.0","14.0"
"Año 2007","Enero","Galicia","Ourense","5.0","-4.0","20.0"
"Año 2007","Enero","Galicia","Pontevedra","14.0","-14.0","51.0"
"Año 2007","Enero","Comunidad de Madrid","Madrid","361.0","-138.0","1208.0"
"Año 2007","Enero","Región de Murcia","Murcia","36.0","9.0","46.0"
"Año 2007","Enero","Comunidad Foral de Navarra","Navarra","3.0","-2.0","5.0"
"Año 2007","Enero","País Vasco","Araba/Álava","6.0","0.0","6.0"
"Año 2007","Enero","País Vasco","Bizkaia","15.0","-20.0","89.0"
"Año 2007","Enero","País Vasco","Gipuzkoa","2.0","-2.0","4.0"
"Año 2007","Enero","La Rioja","La Rioja","1.0","0.0","1.0"
"Año 2007","Enero","Ceuta","Ceuta","0.0","1.0","1.0"
"Año 2007","Enero","Melilla","Melilla","7.0","0.0","8.0"
"Año 2007","Febrero","Andalucía","Almería","0.0","1.0","10.0"
"Año 2007","Febrero","Andalucía","Cádiz","8.0","0.0","205.0"
"Año 2007","Febrero","Andalucía","Córdoba","4.0","1.0","54.0"
"Año 2007","Febrero","Andalucía","Granada","14.0","4.0","163.0"
"Año 2007","Febrero","Andalucía","Huelva","7.0","1.0","66.0"
"Año 2007","Febrero","Andalucía","Jaén","4.0","2.0","52.0"
"Año 2007","Febrero","Andalucía","Málaga","20.0","8.0","263.0"
"Año 2007","Febrero","Andalucía","Sevilla","22.0","12.0","401.0"
"Año 2007","Febrero","Aragón","Huesca","1.0","0.0","22.0"
"Año 2007","Febrero","Aragón","Teruel","-1.0","-1.0","3.0"
"Año 2007","Febrero","Aragón","Zaragoza","0.0","0.0","1.0"
"Año 2007","Febrero","Principado de Asturias","Asturias","6.0","5.0","318.0"
"Año 2007","Febrero","Illes Balears","Illes Balears","2.0","-2.0","125.0"
"Año 2007","Febrero","Canarias","Las Palmas","14.0","4.0","212.0"
"Año 2007","Febrero","Canarias","Santa Cruz de Tenerife","27.0","7.0","323.0"
"Año 2007","Febrero","Cantabria","Cantabria","4.0","-1.0","103.0"
"Año 2007","Febrero","Castilla y León","Ávila","-1.0","-1.0","8.0"
"Año 2007","Febrero","Castilla y León","Burgos","1.0","6.0","25.0"
"Año 2007","Febrero","Castilla y León","León","3.0","1.0","59.0"
"Año 2007","Febrero","Castilla y León","Palencia","0.0","1.0","7.0"
"Año 2007","Febrero","Castilla y León","Salamanca","0.0","1.0","8.0"
"Año 2007","Febrero","Castilla y León","Segovia","0.0","0.0","4.0"
"Año 2007","Febrero","Castilla y León","Soria","1.0","0.0","29.0"
"Año 2007","Febrero","Castilla y León","Valladolid","0.0","1.0","14.0"
"Año 2007","Febrero","Castilla y León","Zamora","1.0","1.0","17.0"
"Año 2007","Febrero","Castilla-La Mancha","Albacete","2.0","0.0","24.0"
"Año 2007","Febrero","Castilla-La Mancha","Ciudad Real","4.0","1.0","53.0"
"Año 2007","Febrero","Castilla-La Mancha","Cuenca","1.0","0.0","11.0"
"Año 2007","Febrero","Castilla-La Mancha","Guadalajara","1.0","0.0","13.0"
"Año 2007","Febrero","Castilla-La Mancha","Toledo","9.0","1.0","55.0"
"Año 2007","Febrero","Cataluña","Barcelona","12.0","-2.0","420.0"
"Año 2007","Febrero","Cataluña","Girona","-2.0","-4.0","66.0"
