"Año","Trimestre","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2010","Segundo","Cataluña","Tarragona","238.0"
"Año 2010","Segundo","Comunitat Valenciana","Alicante/Alacant","588.0"
"Año 2010","Segundo","Comunitat Valenciana","Castellón/Castelló","109.0"
"Año 2010","Segundo","Comunitat Valenciana","Valencia/València","525.0"
"Año 2010","Segundo","Extremadura","Badajoz","161.0"
"Año 2010","Segundo","Extremadura","Cáceres","58.0"
"Año 2010","Segundo","Galicia","A Coruña","83.0"
"Año 2010","Segundo","Galicia","Lugo","50.0"
"Año 2010","Segundo","Galicia","Ourense","78.0"
"Año 2010","Segundo","Galicia","Pontevedra","140.0"
"Año 2010","Segundo","Comunidad de Madrid","Madrid","1582.0"
"Año 2010","Segundo","Región de Murcia","Murcia","499.0"
"Año 2010","Segundo","Comunidad Foral de Navarra","Navarra","82.0"
"Año 2010","Segundo","País Vasco","Araba/Álava","34.0"
"Año 2010","Segundo","País Vasco","Gipuzkoa","73.0"
"Año 2010","Segundo","País Vasco","Bizkaia","124.0"
"Año 2010","Segundo","La Rioja","La Rioja","63.0"
"Año 2010","Segundo","Ceuta","Ceuta","14.0"
"Año 2010","Segundo","Melilla","Melilla","1.0"
"Año 2010","Tercero","Andalucía","Almería","93.0"
"Año 2010","Tercero","Andalucía","Cádiz","279.0"
"Año 2010","Tercero","Andalucía","Córdoba","105.0"
"Año 2010","Tercero","Andalucía","Granada","106.0"
"Año 2010","Tercero","Andalucía","Huelva","165.0"
"Año 2010","Tercero","Andalucía","Jaén","117.0"
"Año 2010","Tercero","Andalucía","Málaga","287.0"
"Año 2010","Tercero","Andalucía","Sevilla","460.0"
"Año 2010","Tercero","Aragón","Huesca","25.0"
"Año 2010","Tercero","Aragón","Teruel","13.0"
"Año 2010","Tercero","Aragón","Zaragoza","119.0"
"Año 2010","Tercero","Principado de Asturias","Asturias","207.0"
"Año 2010","Tercero","Illes Balears","Illes Balears","363.0"
"Año 2010","Tercero","Canarias","Las Palmas","310.0"
"Año 2010","Tercero","Canarias","Santa Cruz de Tenerife","327.0"
"Año 2010","Tercero","Cantabria","Cantabria","88.0"
"Año 2010","Tercero","Castilla y León","Ávila","25.0"
"Año 2010","Tercero","Castilla y León","Burgos","66.0"
"Año 2010","Tercero","Castilla y León","León","111.0"
"Año 2010","Tercero","Castilla y León","Palencia","16.0"
"Año 2010","Tercero","Castilla y León","Salamanca","20.0"
"Año 2010","Tercero","Castilla y León","Segovia","36.0"
"Año 2010","Tercero","Castilla y León","Soria","21.0"
"Año 2010","Tercero","Castilla y León","Valladolid","122.0"
"Año 2010","Tercero","Castilla y León","Zamora","12.0"
"Año 2010","Tercero","Castilla-La Mancha","Albacete","76.0"
"Año 2010","Tercero","Castilla-La Mancha","Ciudad Real","125.0"
"Año 2010","Tercero","Castilla-La Mancha","Cuenca","31.0"
"Año 2010","Tercero","Castilla-La Mancha","Guadalajara","86.0"
"Año 2010","Tercero","Castilla-La Mancha","Toledo","166.0"
"Año 2010","Tercero","Cataluña","Barcelona","1116.0"
"Año 2010","Tercero","Cataluña","Girona","257.0"
"Año 2010","Tercero","Cataluña","Lleida","70.0"
"Año 2010","Tercero","Cataluña","Tarragona","276.0"
"Año 2010","Tercero","Comunitat Valenciana","Alicante/Alacant","692.0"
"Año 2010","Tercero","Comunitat Valenciana","Castellón/Castelló","149.0"
"Año 2010","Tercero","Comunitat Valenciana","Valencia/València","475.0"
"Año 2010","Tercero","Extremadura","Badajoz","144.0"
"Año 2010","Tercero","Extremadura","Cáceres","58.0"
"Año 2010","Tercero","Galicia","A Coruña","134.0"
"Año 2010","Tercero","Galicia","Lugo","57.0"
"Año 2010","Tercero","Galicia","Ourense","40.0"
"Año 2010","Tercero","Galicia","Pontevedra","119.0"
"Año 2010","Tercero","Comunidad de Madrid","Madrid","1570.0"
"Año 2010","Tercero","Región de Murcia","Murcia","576.0"
"Año 2010","Tercero","Comunidad Foral de Navarra","Navarra","87.0"
"Año 2010","Tercero","País Vasco","Araba/Álava","65.0"
