"Año","Mes","Comunidad autónoma","Provincia","Instalaciones acumuladas","Desinstalaciones acumuladas","Dispositivos activos"
"Año 2013","Marzo","Comunitat Valenciana","Alicante/Alacant","66.0","25.0","41.0"
"Año 2013","Marzo","Comunitat Valenciana","Castellón/Castelló","6.0","4.0","2.0"
"Año 2013","Marzo","Comunitat Valenciana","Valencia/València","124.0","65.0","59.0"
"Año 2013","Marzo","Extremadura","Badajoz","18.0","13.0","5.0"
"Año 2013","Marzo","Extremadura","Cáceres","9.0","4.0","5.0"
"Año 2013","Marzo","Galicia","A Coruña","19.0","14.0","5.0"
"Año 2013","Marzo","Galicia","Lugo","11.0","6.0","5.0"
"Año 2013","Marzo","Galicia","Ourense","2.0","2.0","0.0"
"Año 2013","Marzo","Galicia","Pontevedra","22.0","17.0","5.0"
"Año 2013","Marzo","Comunidad de Madrid","Madrid","653.0","441.0","212.0"
"Año 2013","Marzo","Región de Murcia","Murcia","23.0","14.0","9.0"
"Año 2013","Marzo","Comunidad Foral de Navarra","Navarra","5.0","2.0","3.0"
"Año 2013","Marzo","País Vasco","Araba/Álava","3.0","3.0","0.0"
"Año 2013","Marzo","País Vasco","Bizkaia","63.0","39.0","24.0"
"Año 2013","Marzo","País Vasco","Gipuzkoa","25.0","19.0","6.0"
"Año 2013","Marzo","La Rioja","La Rioja","12.0","10.0","2.0"
"Año 2013","Marzo","Ceuta","Ceuta","0.0","0.0","0.0"
"Año 2013","Marzo","Melilla","Melilla","0.0","0.0","0.0"
"Año 2013","Abril","Andalucía","Almería","35.0","15.0","20.0"
"Año 2013","Abril","Andalucía","Cádiz","32.0","22.0","10.0"
"Año 2013","Abril","Andalucía","Córdoba","20.0","13.0","7.0"
"Año 2013","Abril","Andalucía","Granada","56.0","31.0","25.0"
"Año 2013","Abril","Andalucía","Huelva","14.0","9.0","5.0"
"Año 2013","Abril","Andalucía","Jaén","63.0","37.0","26.0"
"Año 2013","Abril","Andalucía","Málaga","102.0","60.0","42.0"
"Año 2013","Abril","Andalucía","Sevilla","69.0","40.0","29.0"
"Año 2013","Abril","Aragón","Huesca","5.0","2.0","3.0"
"Año 2013","Abril","Aragón","Teruel","15.0","14.0","1.0"
"Año 2013","Abril","Aragón","Zaragoza","12.0","6.0","6.0"
"Año 2013","Abril","Principado de Asturias","Asturias","35.0","26.0","9.0"
"Año 2013","Abril","Illes Balears","Illes Balears","35.0","21.0","14.0"
"Año 2013","Abril","Canarias","Las Palmas","32.0","15.0","17.0"
"Año 2013","Abril","Canarias","Santa Cruz de Tenerife","43.0","19.0","24.0"
"Año 2013","Abril","Cantabria","Cantabria","56.0","35.0","21.0"
"Año 2013","Abril","Castilla y León","Ávila","4.0","2.0","2.0"
"Año 2013","Abril","Castilla y León","Burgos","2.0","2.0","0.0"
"Año 2013","Abril","Castilla y León","León","6.0","3.0","3.0"
"Año 2013","Abril","Castilla y León","Palencia","14.0","12.0","2.0"
"Año 2013","Abril","Castilla y León","Salamanca","1.0","0.0","1.0"
"Año 2013","Abril","Castilla y León","Segovia","12.0","7.0","5.0"
"Año 2013","Abril","Castilla y León","Soria","19.0","15.0","4.0"
"Año 2013","Abril","Castilla y León","Valladolid","8.0","8.0","0.0"
"Año 2013","Abril","Castilla y León","Zamora","1.0","1.0","0.0"
"Año 2013","Abril","Castilla-La Mancha","Albacete","6.0","3.0","3.0"
"Año 2013","Abril","Castilla-La Mancha","Ciudad Real","24.0","13.0","11.0"
"Año 2013","Abril","Castilla-La Mancha","Cuenca","2.0","0.0","2.0"
