"Año","Trimestre","Mes","Comunidad autónoma","Provincia","Total consultas pertinentes","Llamadas pertinentes","WhatsApp pertinentes","Correos electrónicos pertinentes","Chats pertinentes"
"2012","Primero","Febrero","Comunidad de Madrid","Madrid","1015.0","1015.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Región de Murcia","Murcia","110.0","110.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Comunidad Foral de Navarra","Navarra","59.0","59.0","0.0","0.0","0.0"
"2012","Primero","Febrero","País Vasco","Araba/Álava","30.0","30.0","0.0","0.0","0.0"
"2012","Primero","Febrero","País Vasco","Bizkaia","77.0","77.0","0.0","0.0","0.0"
"2012","Primero","Febrero","País Vasco","Gipuzkoa","34.0","34.0","0.0","0.0","0.0"
"2012","Primero","Febrero","La Rioja","La Rioja","20.0","20.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Ceuta","Ceuta","4.0","4.0","0.0","0.0","0.0"
"2012","Primero","Febrero","Melilla","Melilla","11.0","11.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Almería","67.0","67.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Cádiz","89.0","89.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Córdoba","58.0","58.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Granada","111.0","111.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Huelva","42.0","42.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Jaén","56.0","56.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Málaga","181.0","181.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Andalucía","Sevilla","205.0","205.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Aragón","Huesca","6.0","6.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Aragón","Teruel","4.0","4.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Aragón","Zaragoza","66.0","66.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Principado de Asturias","Asturias","107.0","107.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Illes Balears","Illes Balears","75.0","75.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Canarias","Las Palmas","161.0","161.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Canarias","Santa Cruz de Tenerife","131.0","131.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Cantabria","Cantabria","51.0","51.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Ávila","23.0","23.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Burgos","31.0","31.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","León","55.0","55.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Palencia","4.0","4.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Salamanca","38.0","38.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Segovia","20.0","20.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Soria","5.0","5.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Valladolid","42.0","42.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla y León","Zamora","18.0","18.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla-La Mancha","Albacete","15.0","15.0","0.0","0.0","0.0"
