"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2010","Cantabria","Cantabria","27.0"
"Año 2010","Castilla y León","Ávila","4.0"
"Año 2010","Castilla y León","Burgos","9.0"
"Año 2010","Castilla y León","León","17.0"
"Año 2010","Castilla y León","Palencia","8.0"
"Año 2010","Castilla y León","Salamanca","20.0"
"Año 2010","Castilla y León","Segovia","1.0"
"Año 2010","Castilla y León","Soria","3.0"
"Año 2010","Castilla y León","Valladolid","16.0"
"Año 2010","Castilla y León","Zamora","2.0"
"Año 2010","Castilla-La Mancha","Albacete","23.0"
"Año 2010","Castilla-La Mancha","Ciudad Real","32.0"
"Año 2010","Castilla-La Mancha","Cuenca","4.0"
"Año 2010","Castilla-La Mancha","Guadalajara","14.0"
"Año 2010","Castilla-La Mancha","Toledo","16.0"
"Año 2010","Cataluña","Barcelona","63.0"
"Año 2010","Cataluña","Girona","16.0"
"Año 2010","Cataluña","Lleida","9.0"
"Año 2010","Cataluña","Tarragona","34.0"
"Año 2010","Comunitat Valenciana","Alicante/Alacant","114.0"
"Año 2010","Comunitat Valenciana","Castellón/Castelló","39.0"
"Año 2010","Comunitat Valenciana","Valencia/València","79.0"
"Año 2010","Extremadura","Badajoz","20.0"
"Año 2010","Extremadura","Cáceres","33.0"
"Año 2010","Galicia","A Coruña","32.0"
"Año 2010","Galicia","Lugo","14.0"
"Año 2010","Galicia","Ourense","9.0"
"Año 2010","Galicia","Pontevedra","48.0"
"Año 2010","Comunidad de Madrid","Madrid","178.0"
"Año 2010","Región de Murcia","Murcia","44.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","37.0"
"Año 2010","País Vasco","Araba/Álava","5.0"
"Año 2010","País Vasco","Bizkaia","43.0"
"Año 2010","País Vasco","Gipuzkoa","6.0"
"Año 2010","La Rioja","La Rioja","22.0"
"Año 2010","Ceuta","Ceuta","1.0"
"Año 2010","Melilla","Melilla","2.0"
"Año 2011","Andalucía","Almería","45.0"
"Año 2011","Andalucía","Cádiz","92.0"
"Año 2011","Andalucía","Córdoba","45.0"
"Año 2011","Andalucía","Granada","122.0"
"Año 2011","Andalucía","Huelva","35.0"
"Año 2011","Andalucía","Jaén","43.0"
"Año 2011","Andalucía","Málaga","135.0"
"Año 2011","Andalucía","Sevilla","92.0"
"Año 2011","Aragón","Huesca","14.0"
"Año 2011","Aragón","Teruel","10.0"
"Año 2011","Aragón","Zaragoza","57.0"
"Año 2011","Principado de Asturias","Asturias","71.0"
"Año 2011","Illes Balears","Illes Balears","43.0"
"Año 2011","Canarias","Las Palmas","52.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","122.0"
"Año 2011","Cantabria","Cantabria","30.0"
"Año 2011","Castilla y León","Ávila","8.0"
"Año 2011","Castilla y León","Burgos","9.0"
"Año 2011","Castilla y León","León","19.0"
"Año 2011","Castilla y León","Palencia","10.0"
"Año 2011","Castilla y León","Salamanca","19.0"
"Año 2011","Castilla y León","Segovia","2.0"
"Año 2011","Castilla y León","Soria","5.0"
"Año 2011","Castilla y León","Valladolid","16.0"
"Año 2011","Castilla y León","Zamora","9.0"
"Año 2011","Castilla-La Mancha","Albacete","22.0"
"Año 2011","Castilla-La Mancha","Ciudad Real","46.0"
"Año 2011","Castilla-La Mancha","Cuenca","4.0"
"Año 2011","Castilla-La Mancha","Guadalajara","11.0"
"Año 2011","Castilla-La Mancha","Toledo","55.0"
"Año 2011","Cataluña","Barcelona","117.0"
