"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2007","Castilla y León","Ávila","5.0"
"Año 2007","Castilla y León","Burgos","8.0"
"Año 2007","Castilla y León","León","22.0"
"Año 2007","Castilla y León","Palencia","14.0"
"Año 2007","Castilla y León","Salamanca","21.0"
"Año 2007","Castilla y León","Segovia","0.0"
"Año 2007","Castilla y León","Soria","4.0"
"Año 2007","Castilla y León","Valladolid","13.0"
"Año 2007","Castilla y León","Zamora","2.0"
"Año 2007","Castilla-La Mancha","Albacete","8.0"
"Año 2007","Castilla-La Mancha","Ciudad Real","22.0"
"Año 2007","Castilla-La Mancha","Cuenca","3.0"
"Año 2007","Castilla-La Mancha","Guadalajara","10.0"
"Año 2007","Castilla-La Mancha","Toledo","14.0"
"Año 2007","Cataluña","Barcelona","42.0"
"Año 2007","Cataluña","Girona","2.0"
"Año 2007","Cataluña","Lleida","6.0"
"Año 2007","Cataluña","Tarragona","9.0"
"Año 2007","Comunitat Valenciana","Alicante/Alacant","37.0"
"Año 2007","Comunitat Valenciana","Castellón/Castelló","20.0"
"Año 2007","Comunitat Valenciana","Valencia/València","34.0"
"Año 2007","Extremadura","Badajoz","15.0"
"Año 2007","Extremadura","Cáceres","5.0"
"Año 2007","Galicia","A Coruña","33.0"
"Año 2007","Galicia","Lugo","17.0"
"Año 2007","Galicia","Ourense","12.0"
"Año 2007","Galicia","Pontevedra","20.0"
"Año 2007","Comunidad de Madrid","Madrid","139.0"
"Año 2007","Región de Murcia","Murcia","12.0"
"Año 2007","Comunidad Foral de Navarra","Navarra","24.0"
"Año 2007","País Vasco","Araba/Álava","0.0"
"Año 2007","País Vasco","Bizkaia","22.0"
"Año 2007","País Vasco","Gipuzkoa","7.0"
"Año 2007","La Rioja","La Rioja","15.0"
"Año 2007","Ceuta","Ceuta","0.0"
"Año 2007","Melilla","Melilla","11.0"
"Año 2008","Andalucía","Almería","24.0"
"Año 2008","Andalucía","Cádiz","73.0"
"Año 2008","Andalucía","Córdoba","35.0"
"Año 2008","Andalucía","Granada","117.0"
"Año 2008","Andalucía","Huelva","26.0"
"Año 2008","Andalucía","Jaén","27.0"
"Año 2008","Andalucía","Málaga","58.0"
"Año 2008","Andalucía","Sevilla","74.0"
"Año 2008","Aragón","Huesca","4.0"
"Año 2008","Aragón","Teruel","4.0"
"Año 2008","Aragón","Zaragoza","20.0"
"Año 2008","Principado de Asturias","Asturias","29.0"
"Año 2008","Illes Balears","Illes Balears","33.0"
"Año 2008","Canarias","Las Palmas","38.0"
"Año 2008","Canarias","Santa Cruz de Tenerife","111.0"
"Año 2008","Cantabria","Cantabria","13.0"
"Año 2008","Castilla y León","Ávila","10.0"
"Año 2008","Castilla y León","Burgos","16.0"
"Año 2008","Castilla y León","León","35.0"
"Año 2008","Castilla y León","Palencia","9.0"
"Año 2008","Castilla y León","Salamanca","24.0"
"Año 2008","Castilla y León","Segovia","2.0"
"Año 2008","Castilla y León","Soria","5.0"
"Año 2008","Castilla y León","Valladolid","10.0"
"Año 2008","Castilla y León","Zamora","5.0"
"Año 2008","Castilla-La Mancha","Albacete","11.0"
"Año 2008","Castilla-La Mancha","Ciudad Real","36.0"
"Año 2008","Castilla-La Mancha","Cuenca","1.0"
"Año 2008","Castilla-La Mancha","Guadalajara","6.0"
"Año 2008","Castilla-La Mancha","Toledo","8.0"
"Año 2008","Cataluña","Barcelona","38.0"
"Año 2008","Cataluña","Girona","11.0"
"Año 2008","Cataluña","Lleida","10.0"
"Año 2008","Cataluña","Tarragona","14.0"
"Año 2008","Comunitat Valenciana","Alicante/Alacant","49.0"
"Año 2008","Comunitat Valenciana","Castellón/Castelló","8.0"
"Año 2008","Comunitat Valenciana","Valencia/València","55.0"
"Año 2008","Extremadura","Badajoz","25.0"
"Año 2008","Extremadura","Cáceres","12.0"
"Año 2008","Galicia","A Coruña","23.0"
"Año 2008","Galicia","Lugo","15.0"
"Año 2008","Galicia","Ourense","28.0"
"Año 2008","Galicia","Pontevedra","12.0"
"Año 2008","Comunidad de Madrid","Madrid","117.0"
"Año 2008","Región de Murcia","Murcia","24.0"
"Año 2008","Comunidad Foral de Navarra","Navarra","25.0"
"Año 2008","País Vasco","Araba/Álava","5.0"
"Año 2008","País Vasco","Bizkaia","23.0"
"Año 2008","País Vasco","Gipuzkoa","8.0"
"Año 2008","La Rioja","La Rioja","13.0"
"Año 2008","Ceuta","Ceuta","0.0"
"Año 2008","Melilla","Melilla","6.0"
"Año 2009","Andalucía","Almería","43.0"
"Año 2009","Andalucía","Cádiz","76.0"
"Año 2009","Andalucía","Córdoba","43.0"
"Año 2009","Andalucía","Granada","177.0"
"Año 2009","Andalucía","Huelva","34.0"
"Año 2009","Andalucía","Jaén","45.0"
"Año 2009","Andalucía","Málaga","65.0"
"Año 2009","Andalucía","Sevilla","102.0"
"Año 2009","Aragón","Huesca","13.0"
"Año 2009","Aragón","Teruel","8.0"
"Año 2009","Aragón","Zaragoza","34.0"
"Año 2009","Principado de Asturias","Asturias","27.0"
"Año 2009","Illes Balears","Illes Balears","49.0"
"Año 2009","Canarias","Las Palmas","48.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","111.0"
"Año 2009","Cantabria","Cantabria","25.0"
"Año 2009","Castilla y León","Ávila","5.0"
"Año 2009","Castilla y León","Burgos","10.0"
"Año 2009","Castilla y León","León","32.0"
"Año 2009","Castilla y León","Palencia","10.0"
"Año 2009","Castilla y León","Salamanca","41.0"
"Año 2009","Castilla y León","Segovia","7.0"
"Año 2009","Castilla y León","Soria","6.0"
"Año 2009","Castilla y León","Valladolid","17.0"
"Año 2009","Castilla y León","Zamora","6.0"
"Año 2009","Castilla-La Mancha","Albacete","19.0"
"Año 2009","Castilla-La Mancha","Ciudad Real","26.0"
"Año 2009","Castilla-La Mancha","Cuenca","5.0"
"Año 2009","Castilla-La Mancha","Guadalajara","14.0"
"Año 2009","Castilla-La Mancha","Toledo","14.0"
"Año 2009","Cataluña","Barcelona","59.0"
"Año 2009","Cataluña","Girona","9.0"
"Año 2009","Cataluña","Lleida","17.0"
"Año 2009","Cataluña","Tarragona","22.0"
"Año 2009","Comunitat Valenciana","Alicante/Alacant","90.0"
"Año 2009","Comunitat Valenciana","Castellón/Castelló","29.0"
"Año 2009","Comunitat Valenciana","Valencia/València","82.0"
"Año 2009","Extremadura","Badajoz","18.0"
"Año 2009","Extremadura","Cáceres","34.0"
"Año 2009","Galicia","A Coruña","33.0"
"Año 2009","Galicia","Lugo","14.0"
"Año 2009","Galicia","Ourense","24.0"
"Año 2009","Galicia","Pontevedra","28.0"
"Año 2009","Comunidad de Madrid","Madrid","178.0"
"Año 2009","Región de Murcia","Murcia","44.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","27.0"
"Año 2009","País Vasco","Araba/Álava","13.0"
"Año 2009","País Vasco","Bizkaia","41.0"
"Año 2009","País Vasco","Gipuzkoa","7.0"
"Año 2009","La Rioja","La Rioja","19.0"
"Año 2009","Ceuta","Ceuta","0.0"
"Año 2009","Melilla","Melilla","4.0"
"Año 2010","Andalucía","Almería","36.0"
"Año 2010","Andalucía","Cádiz","55.0"
"Año 2010","Andalucía","Córdoba","36.0"
"Año 2010","Andalucía","Granada","137.0"
"Año 2010","Andalucía","Huelva","25.0"
"Año 2010","Andalucía","Jaén","34.0"
"Año 2010","Andalucía","Málaga","72.0"
"Año 2010","Andalucía","Sevilla","82.0"
"Año 2010","Aragón","Huesca","11.0"
"Año 2010","Aragón","Teruel","9.0"
"Año 2010","Aragón","Zaragoza","34.0"
"Año 2010","Principado de Asturias","Asturias","45.0"
"Año 2010","Illes Balears","Illes Balears","40.0"
"Año 2010","Canarias","Las Palmas","70.0"
"Año 2010","Canarias","Santa Cruz de Tenerife","123.0"
