"Año","Comunidad autónoma","Provincia","Número de perceptoras"
"Año 2011","Comunidad de Madrid","Madrid","2247.0"
"Año 2011","Región de Murcia","Murcia","1246.0"
"Año 2011","Comunidad Foral de Navarra","Navarra","191.0"
"Año 2011","País Vasco","Araba/Álava","64.0"
"Año 2011","País Vasco","Bizkaia","239.0"
"Año 2011","País Vasco","Gipuzkoa","141.0"
"Año 2011","La Rioja","La Rioja","148.0"
"Año 2011","Ceuta","Ceuta","20.0"
"Año 2011","Melilla","Melilla","51.0"
"Año 2012","Andalucía","Almería","842.0"
"Año 2012","Andalucía","Cádiz","1598.0"
"Año 2012","Andalucía","Córdoba","600.0"
"Año 2012","Andalucía","Granada","1084.0"
"Año 2012","Andalucía","Huelva","518.0"
"Año 2012","Andalucía","Jaén","750.0"
"Año 2012","Andalucía","Málaga","1680.0"
"Año 2012","Andalucía","Sevilla","1566.0"
"Año 2012","Aragón","Huesca","87.0"
"Año 2012","Aragón","Teruel","63.0"
"Año 2012","Aragón","Zaragoza","460.0"
"Año 2012","Principado de Asturias","Asturias","665.0"
"Año 2012","Illes Balears","Illes Balears","542.0"
"Año 2012","Canarias","Las Palmas","1012.0"
"Año 2012","Canarias","Santa Cruz de Tenerife","1033.0"
"Año 2012","Cantabria","Cantabria","249.0"
"Año 2012","Castilla y León","Ávila","71.0"
"Año 2012","Castilla y León","Burgos","185.0"
"Año 2012","Castilla y León","León","209.0"
"Año 2012","Castilla y León","Palencia","83.0"
"Año 2012","Castilla y León","Salamanca","165.0"
"Año 2012","Castilla y León","Segovia","46.0"
"Año 2012","Castilla y León","Soria","35.0"
"Año 2012","Castilla y León","Valladolid","186.0"
"Año 2012","Castilla y León","Zamora","79.0"
"Año 2012","Castilla-La Mancha","Albacete","367.0"
"Año 2012","Castilla-La Mancha","Ciudad Real","522.0"
"Año 2012","Castilla-La Mancha","Cuenca","92.0"
"Año 2012","Castilla-La Mancha","Guadalajara","154.0"
"Año 2012","Castilla-La Mancha","Toledo","504.0"
"Año 2012","Cataluña","Barcelona","1979.0"
"Año 2012","Cataluña","Girona","255.0"
"Año 2012","Cataluña","Lleida","192.0"
"Año 2012","Cataluña","Tarragona","643.0"
"Año 2012","Comunitat Valenciana","Alicante/Alacant","2163.0"
"Año 2012","Comunitat Valenciana","Castellón/Castelló","510.0"
"Año 2012","Comunitat Valenciana","Valencia/València","2447.0"
"Año 2012","Extremadura","Badajoz","555.0"
"Año 2012","Extremadura","Cáceres","322.0"
"Año 2012","Galicia","A Coruña","419.0"
"Año 2012","Galicia","Lugo","127.0"
"Año 2012","Galicia","Ourense","152.0"
"Año 2012","Galicia","Pontevedra","365.0"
"Año 2012","Comunidad de Madrid","Madrid","2263.0"
"Año 2012","Región de Murcia","Murcia","1272.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","229.0"
"Año 2012","País Vasco","Araba/Álava","64.0"
"Año 2012","País Vasco","Bizkaia","304.0"
"Año 2012","País Vasco","Gipuzkoa","129.0"
"Año 2012","La Rioja","La Rioja","164.0"
"Año 2012","Ceuta","Ceuta","13.0"
"Año 2012","Melilla","Melilla","51.0"
"Año 2013","Andalucía","Almería","827.0"
"Año 2013","Andalucía","Cádiz","1590.0"
"Año 2013","Andalucía","Córdoba","592.0"
"Año 2013","Andalucía","Granada","1101.0"
"Año 2013","Andalucía","Huelva","537.0"
"Año 2013","Andalucía","Jaén","804.0"
"Año 2013","Andalucía","Málaga","1733.0"
"Año 2013","Andalucía","Sevilla","1649.0"
"Año 2013","Aragón","Huesca","100.0"
"Año 2013","Aragón","Teruel","77.0"
"Año 2013","Aragón","Zaragoza","540.0"
"Año 2013","Principado de Asturias","Asturias","747.0"
"Año 2013","Illes Balears","Illes Balears","630.0"
"Año 2013","Canarias","Las Palmas","1126.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","1149.0"
"Año 2013","Cantabria","Cantabria","269.0"
"Año 2013","Castilla y León","Ávila","89.0"
"Año 2013","Castilla y León","Burgos","193.0"
"Año 2013","Castilla y León","León","213.0"
"Año 2013","Castilla y León","Palencia","100.0"
"Año 2013","Castilla y León","Salamanca","184.0"
"Año 2013","Castilla y León","Segovia","61.0"
"Año 2013","Castilla y León","Soria","42.0"
"Año 2013","Castilla y León","Valladolid","221.0"
"Año 2013","Castilla y León","Zamora","80.0"
"Año 2013","Castilla-La Mancha","Albacete","439.0"
"Año 2013","Castilla-La Mancha","Ciudad Real","595.0"
"Año 2013","Castilla-La Mancha","Cuenca","114.0"
"Año 2013","Castilla-La Mancha","Guadalajara","189.0"
"Año 2013","Castilla-La Mancha","Toledo","570.0"
"Año 2013","Cataluña","Barcelona","2403.0"
"Año 2013","Cataluña","Girona","329.0"
"Año 2013","Cataluña","Lleida","232.0"
"Año 2013","Cataluña","Tarragona","674.0"
"Año 2013","Comunitat Valenciana","Alicante/Alacant","2220.0"
"Año 2013","Comunitat Valenciana","Castellón/Castelló","533.0"
"Año 2013","Comunitat Valenciana","Valencia/València","2595.0"
"Año 2013","Extremadura","Badajoz","570.0"
"Año 2013","Extremadura","Cáceres","353.0"
"Año 2013","Galicia","A Coruña","471.0"
"Año 2013","Galicia","Lugo","158.0"
"Año 2013","Galicia","Ourense","176.0"
"Año 2013","Galicia","Pontevedra","392.0"
"Año 2013","Comunidad de Madrid","Madrid","2439.0"
"Año 2013","Región de Murcia","Murcia","1300.0"
"Año 2013","Comunidad Foral de Navarra","Navarra","243.0"
"Año 2013","País Vasco","Araba/Álava","83.0"
"Año 2013","País Vasco","Bizkaia","439.0"
"Año 2013","País Vasco","Gipuzkoa","141.0"
"Año 2013","La Rioja","La Rioja","188.0"
"Año 2013","Ceuta","Ceuta","25.0"
"Año 2013","Melilla","Melilla","71.0"
"Año 2014","Andalucía","Almería","831.0"
"Año 2014","Andalucía","Cádiz","1595.0"
"Año 2014","Andalucía","Córdoba","631.0"
"Año 2014","Andalucía","Granada","1172.0"
"Año 2014","Andalucía","Huelva","622.0"
"Año 2014","Andalucía","Jaén","850.0"
"Año 2014","Andalucía","Málaga","1673.0"
"Año 2014","Andalucía","Sevilla","1767.0"
"Año 2014","Aragón","Huesca","103.0"
"Año 2014","Aragón","Teruel","91.0"
"Año 2014","Aragón","Zaragoza","555.0"
"Año 2014","Principado de Asturias","Asturias","761.0"
"Año 2014","Illes Balears","Illes Balears","665.0"
"Año 2014","Canarias","Las Palmas","1252.0"
"Año 2014","Canarias","Santa Cruz de Tenerife","1154.0"
"Año 2014","Cantabria","Cantabria","306.0"
"Año 2014","Castilla y León","Ávila","104.0"
"Año 2014","Castilla y León","Burgos","224.0"
"Año 2014","Castilla y León","León","222.0"
"Año 2014","Castilla y León","Palencia","85.0"
"Año 2014","Castilla y León","Salamanca","183.0"
"Año 2014","Castilla y León","Segovia","52.0"
"Año 2014","Castilla y León","Soria","43.0"
"Año 2014","Castilla y León","Valladolid","256.0"
"Año 2014","Castilla y León","Zamora","74.0"
"Año 2014","Castilla-La Mancha","Albacete","443.0"
"Año 2014","Castilla-La Mancha","Ciudad Real","643.0"
"Año 2014","Castilla-La Mancha","Cuenca","140.0"
"Año 2014","Castilla-La Mancha","Guadalajara","202.0"
"Año 2014","Castilla-La Mancha","Toledo","627.0"
"Año 2014","Cataluña","Barcelona","2757.0"
"Año 2014","Cataluña","Girona","377.0"
"Año 2014","Cataluña","Lleida","287.0"
"Año 2014","Cataluña","Tarragona","628.0"
"Año 2014","Comunitat Valenciana","Alicante/Alacant","2201.0"
"Año 2014","Comunitat Valenciana","Castellón/Castelló","543.0"
"Año 2014","Comunitat Valenciana","Valencia/València","2655.0"
"Año 2014","Extremadura","Badajoz","619.0"
"Año 2014","Extremadura","Cáceres","380.0"
"Año 2014","Galicia","A Coruña","519.0"
"Año 2014","Galicia","Lugo","189.0"
"Año 2014","Galicia","Ourense","178.0"
"Año 2014","Galicia","Pontevedra","425.0"
"Año 2014","Comunidad de Madrid","Madrid","2649.0"
"Año 2014","Región de Murcia","Murcia","1469.0"
"Año 2014","Comunidad Foral de Navarra","Navarra","239.0"
"Año 2014","País Vasco","Araba/Álava","123.0"
"Año 2014","País Vasco","Bizkaia","505.0"
"Año 2014","País Vasco","Gipuzkoa","152.0"
"Año 2014","La Rioja","La Rioja","201.0"
"Año 2014","Ceuta","Ceuta","48.0"
"Año 2014","Melilla","Melilla","80.0"
"Año 2015","Andalucía","Almería","826.0"
"Año 2015","Andalucía","Cádiz","1587.0"
"Año 2015","Andalucía","Córdoba","649.0"
"Año 2015","Andalucía","Granada","1184.0"
"Año 2015","Andalucía","Huelva","601.0"
"Año 2015","Andalucía","Jaén","837.0"
"Año 2015","Andalucía","Málaga","1603.0"
"Año 2015","Andalucía","Sevilla","1788.0"
"Año 2015","Aragón","Huesca","86.0"
"Año 2015","Aragón","Teruel","69.0"
"Año 2015","Aragón","Zaragoza","596.0"
"Año 2015","Principado de Asturias","Asturias","763.0"
"Año 2015","Illes Balears","Illes Balears","724.0"
"Año 2015","Canarias","Las Palmas","1269.0"
"Año 2015","Canarias","Santa Cruz de Tenerife","1146.0"
"Año 2015","Cantabria","Cantabria","316.0"
"Año 2015","Castilla y León","Ávila","86.0"
"Año 2015","Castilla y León","Burgos","206.0"
"Año 2015","Castilla y León","León","262.0"
"Año 2015","Castilla y León","Palencia","80.0"
"Año 2015","Castilla y León","Salamanca","166.0"
"Año 2015","Castilla y León","Segovia","58.0"
"Año 2015","Castilla y León","Soria","35.0"
"Año 2015","Castilla y León","Valladolid","290.0"
"Año 2015","Castilla y León","Zamora","76.0"
"Año 2015","Castilla-La Mancha","Albacete","408.0"
"Año 2015","Castilla-La Mancha","Ciudad Real","649.0"
"Año 2015","Castilla-La Mancha","Cuenca","143.0"
"Año 2015","Castilla-La Mancha","Guadalajara","213.0"
"Año 2015","Castilla-La Mancha","Toledo","661.0"
"Año 2015","Cataluña","Barcelona","2896.0"
"Año 2015","Cataluña","Girona","399.0"
"Año 2015","Cataluña","Lleida","319.0"
"Año 2015","Cataluña","Tarragona","586.0"
"Año 2015","Comunitat Valenciana","Alicante/Alacant","2189.0"
"Año 2015","Comunitat Valenciana","Castellón/Castelló","524.0"
"Año 2015","Comunitat Valenciana","Valencia/València","2590.0"
"Año 2015","Extremadura","Badajoz","631.0"
"Año 2015","Extremadura","Cáceres","390.0"
"Año 2015","Galicia","A Coruña","540.0"
"Año 2015","Galicia","Lugo","176.0"
"Año 2015","Galicia","Ourense","175.0"
"Año 2015","Galicia","Pontevedra","412.0"
"Año 2015","Comunidad de Madrid","Madrid","2609.0"
"Año 2015","Región de Murcia","Murcia","1537.0"
"Año 2015","Comunidad Foral de Navarra","Navarra","258.0"
"Año 2015","País Vasco","Araba/Álava","98.0"
"Año 2015","País Vasco","Bizkaia","463.0"
"Año 2015","País Vasco","Gipuzkoa","194.0"
"Año 2015","La Rioja","La Rioja","183.0"
"Año 2015","Ceuta","Ceuta","68.0"
"Año 2015","Melilla","Melilla","81.0"
"Año 2016","Andalucía","Almería","819.0"
"Año 2016","Andalucía","Cádiz","1537.0"
"Año 2016","Andalucía","Córdoba","631.0"
"Año 2016","Andalucía","Granada","1162.0"
"Año 2016","Andalucía","Huelva","553.0"
"Año 2016","Andalucía","Jaén","811.0"
"Año 2016","Andalucía","Málaga","1460.0"
"Año 2016","Andalucía","Sevilla","1771.0"
"Año 2016","Aragón","Huesca","77.0"
"Año 2016","Aragón","Teruel","67.0"
"Año 2016","Aragón","Zaragoza","545.0"
"Año 2016","Principado de Asturias","Asturias","750.0"
"Año 2016","Illes Balears","Illes Balears","698.0"
"Año 2016","Canarias","Las Palmas","1134.0"
"Año 2016","Canarias","Santa Cruz de Tenerife","1157.0"
"Año 2016","Cantabria","Cantabria","303.0"
"Año 2016","Castilla y León","Ávila","82.0"
"Año 2016","Castilla y León","Burgos","202.0"
"Año 2016","Castilla y León","León","253.0"
"Año 2016","Castilla y León","Palencia","76.0"
"Año 2016","Castilla y León","Salamanca","142.0"
"Año 2016","Castilla y León","Segovia","53.0"
"Año 2016","Castilla y León","Soria","36.0"
"Año 2016","Castilla y León","Valladolid","295.0"
"Año 2016","Castilla y León","Zamora","71.0"
"Año 2016","Castilla-La Mancha","Albacete","397.0"
"Año 2016","Castilla-La Mancha","Ciudad Real","594.0"
"Año 2016","Castilla-La Mancha","Cuenca","136.0"
"Año 2016","Castilla-La Mancha","Guadalajara","171.0"
"Año 2016","Castilla-La Mancha","Toledo","659.0"
"Año 2016","Cataluña","Barcelona","2942.0"
