"Año","Comunidad autónoma","Número de ayudas concedidas Art 27"
"Año 2023","Extremadura","87.0"
"Año 2023","Galicia","244.0"
"Año 2023","Comunidad de Madrid","88.0"
"Año 2023","Región de Murcia","52.0"
"Año 2023","Comunidad Foral de Navarra","9.0"
"Año 2023","País Vasco","385.0"
"Año 2023","La Rioja","2.0"
"Año 2024","Andalucía","68.0"
"Año 2024","Aragón","6.0"
"Año 2024","Illes Balears","2.0"
"Año 2024","Canarias","182.0"
"Año 2024","Cantabria","2.0"
"Año 2024","Castilla y León","30.0"
"Año 2024","Castilla-La Mancha","9.0"
"Año 2024","Comunitat Valenciana","20.0"
"Año 2024","Extremadura","73.0"
"Año 2024","Galicia","301.0"
"Año 2024","Comunidad de Madrid","64.0"
"Año 2024","Región de Murcia","30.0"
"Año 2024","Comunidad Foral de Navarra","13.0"
"Año 2024","La Rioja","2.0"
