Medidas cautelares;Comunidades y ciudades autónomas;Periodo;Total
Total medidas cautelares dictadas;Murcia, Región de;2017;3.793
Total medidas cautelares dictadas;Murcia, Región de;2016;3.830
Total medidas cautelares dictadas;Murcia, Región de;2015;3.795
Total medidas cautelares dictadas;Murcia, Región de;2014;3.679
Total medidas cautelares dictadas;Murcia, Región de;2013;3.823
Total medidas cautelares dictadas;Murcia, Región de;2012;3.894
Total medidas cautelares dictadas;Murcia, Región de;2011;3.946
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2023;1.251
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2022;1.067
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2021;965
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2020;871
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2019;1.022
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2018;961
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2017;902
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2016;1.112
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2015;993
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2014;860
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2013;815
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2012;809
Total medidas cautelares dictadas;Navarra, Comunidad Foral de;2011;1.016
Total medidas cautelares dictadas;País Vasco;2023;2.059
Total medidas cautelares dictadas;País Vasco;2022;2.157
Total medidas cautelares dictadas;País Vasco;2021;1.726
Total medidas cautelares dictadas;País Vasco;2020;1.525
Total medidas cautelares dictadas;País Vasco;2019;1.956
Total medidas cautelares dictadas;País Vasco;2018;2.183
Total medidas cautelares dictadas;País Vasco;2017;1.846
Total medidas cautelares dictadas;País Vasco;2016;1.659
Total medidas cautelares dictadas;País Vasco;2015;1.481
Total medidas cautelares dictadas;País Vasco;2014;1.712
Total medidas cautelares dictadas;País Vasco;2013;1.733
Total medidas cautelares dictadas;País Vasco;2012;2.058
Total medidas cautelares dictadas;País Vasco;2011;1.998
Total medidas cautelares dictadas;Rioja, La;2023;1.129
Total medidas cautelares dictadas;Rioja, La;2022;964
Total medidas cautelares dictadas;Rioja, La;2021;1.042
Total medidas cautelares dictadas;Rioja, La;2020;875
Total medidas cautelares dictadas;Rioja, La;2019;908
Total medidas cautelares dictadas;Rioja, La;2018;1.103
Total medidas cautelares dictadas;Rioja, La;2017;840
Total medidas cautelares dictadas;Rioja, La;2016;757
Total medidas cautelares dictadas;Rioja, La;2015;720
Total medidas cautelares dictadas;Rioja, La;2014;618
Total medidas cautelares dictadas;Rioja, La;2013;511
Total medidas cautelares dictadas;Rioja, La;2012;609
Total medidas cautelares dictadas;Rioja, La;2011;571
Total medidas cautelares dictadas;Ceuta;2023;257
Total medidas cautelares dictadas;Ceuta;2022;201
Total medidas cautelares dictadas;Ceuta;2021;222
Total medidas cautelares dictadas;Ceuta;2020;156
Total medidas cautelares dictadas;Ceuta;2019;169
Total medidas cautelares dictadas;Ceuta;2018;179
Total medidas cautelares dictadas;Ceuta;2017;225
Total medidas cautelares dictadas;Ceuta;2016;286
Total medidas cautelares dictadas;Ceuta;2015;200
Total medidas cautelares dictadas;Ceuta;2014;185
Total medidas cautelares dictadas;Ceuta;2013;183
Total medidas cautelares dictadas;Ceuta;2012;108
Total medidas cautelares dictadas;Ceuta;2011;129
Total medidas cautelares dictadas;Melilla;2023;441
Total medidas cautelares dictadas;Melilla;2022;319
Total medidas cautelares dictadas;Melilla;2021;177
Total medidas cautelares dictadas;Melilla;2020;270
Total medidas cautelares dictadas;Melilla;2019;238
Total medidas cautelares dictadas;Melilla;2018;180
Total medidas cautelares dictadas;Melilla;2017;261
Total medidas cautelares dictadas;Melilla;2016;149
Total medidas cautelares dictadas;Melilla;2015;200
Total medidas cautelares dictadas;Melilla;2014;128
Total medidas cautelares dictadas;Melilla;2013;112
Total medidas cautelares dictadas;Melilla;2012;99
Total medidas cautelares dictadas;Melilla;2011;108
Civiles;Total Nacional;2023;27.979
Civiles;Total Nacional;2022;26.253
Civiles;Total Nacional;2021;24.300
Civiles;Total Nacional;2020;23.924
Civiles;Total Nacional;2019;25.703
Civiles;Total Nacional;2018;25.193
Civiles;Total Nacional;2017;23.026
Civiles;Total Nacional;2016;22.765
Civiles;Total Nacional;2015;21.025
Civiles;Total Nacional;2014;20.601
Civiles;Total Nacional;2013;20.350
Civiles;Total Nacional;2012;22.445
Civiles;Total Nacional;2011;23.737
Civiles;Andalucía;2023;6.253
Civiles;Andalucía;2022;5.556
Civiles;Andalucía;2021;4.969
Civiles;Andalucía;2020;5.212
Civiles;Andalucía;2019;4.998
Civiles;Andalucía;2018;5.182
Civiles;Andalucía;2017;4.875
Civiles;Andalucía;2016;5.151
Civiles;Andalucía;2015;4.499
Civiles;Andalucía;2014;4.318
Civiles;Andalucía;2013;4.293
Civiles;Andalucía;2012;5.168
Civiles;Andalucía;2011;4.951
Civiles;Aragón;2023;883
Civiles;Aragón;2022;720
Civiles;Aragón;2021;765
Civiles;Aragón;2020;780
Civiles;Aragón;2019;750
Civiles;Aragón;2018;878
Civiles;Aragón;2017;814
Civiles;Aragón;2016;1.002
Civiles;Aragón;2015;785
Civiles;Aragón;2014;764
Civiles;Aragón;2013;765
Civiles;Aragón;2012;687
Civiles;Aragón;2011;820
Civiles;Asturias, Principado de;2023;577
Civiles;Asturias, Principado de;2022;628
Civiles;Asturias, Principado de;2021;485
Civiles;Asturias, Principado de;2020;524
Civiles;Asturias, Principado de;2019;590
Civiles;Asturias, Principado de;2018;427
Civiles;Asturias, Principado de;2017;457
Civiles;Asturias, Principado de;2016;421
Civiles;Asturias, Principado de;2015;352
Civiles;Asturias, Principado de;2014;308
Civiles;Asturias, Principado de;2013;301
Civiles;Asturias, Principado de;2012;264
Civiles;Asturias, Principado de;2011;351
Civiles;Balears, Illes;2023;785
Civiles;Balears, Illes;2022;756
Civiles;Balears, Illes;2021;648
Civiles;Balears, Illes;2020;597
Civiles;Balears, Illes;2019;649
Civiles;Balears, Illes;2018;570
Civiles;Balears, Illes;2017;704
Civiles;Balears, Illes;2016;649
Civiles;Balears, Illes;2015;600
Civiles;Balears, Illes;2014;501
Civiles;Balears, Illes;2013;578
Civiles;Balears, Illes;2012;495
Civiles;Balears, Illes;2011;589
Civiles;Canarias;2023;1.548
Civiles;Canarias;2022;1.260
Civiles;Canarias;2021;1.446
Civiles;Canarias;2020;1.193
Civiles;Canarias;2019;1.083
Civiles;Canarias;2018;1.022
Civiles;Canarias;2017;705
Civiles;Canarias;2016;787
Civiles;Canarias;2015;727
Civiles;Canarias;2014;673
Civiles;Canarias;2013;529
Civiles;Canarias;2012;606
Civiles;Canarias;2011;680
Civiles;Cantabria;2023;354
Civiles;Cantabria;2022;288
Civiles;Cantabria;2021;240
Civiles;Cantabria;2020;205
Civiles;Cantabria;2019;217
Civiles;Cantabria;2018;341
Civiles;Cantabria;2017;293
Civiles;Cantabria;2016;373
Civiles;Cantabria;2015;220
Civiles;Cantabria;2014;291
Civiles;Cantabria;2013;201
Civiles;Cantabria;2012;230
Civiles;Cantabria;2011;253
Civiles;Castilla y León;2023;1.309
Civiles;Castilla y León;2022;1.006
Civiles;Castilla y León;2021;1.054
Civiles;Castilla y León;2020;1.103
Civiles;Castilla y León;2019;1.162
Civiles;Castilla y León;2018;994
Civiles;Castilla y León;2017;1.014
Civiles;Castilla y León;2016;905
Civiles;Castilla y León;2015;989
Civiles;Castilla y León;2014;1.025
Civiles;Castilla y León;2013;1.041
Civiles;Castilla y León;2012;1.063
Civiles;Castilla y León;2011;1.132
Civiles;Castilla - La Mancha;2023;1.653
Civiles;Castilla - La Mancha;2022;1.785
Civiles;Castilla - La Mancha;2021;1.581
Civiles;Castilla - La Mancha;2020;1.399
Civiles;Castilla - La Mancha;2019;1.661
Civiles;Castilla - La Mancha;2018;1.595
Civiles;Castilla - La Mancha;2017;1.388
Civiles;Castilla - La Mancha;2016;1.505
Civiles;Castilla - La Mancha;2015;1.666
Civiles;Castilla - La Mancha;2014;1.619
Civiles;Castilla - La Mancha;2013;1.453
Civiles;Castilla - La Mancha;2012;1.732
Civiles;Castilla - La Mancha;2011;1.743
Civiles;Cataluña;2023;2.416
Civiles;Cataluña;2022;2.548
Civiles;Cataluña;2021;2.270
Civiles;Cataluña;2020;2.489
Civiles;Cataluña;2019;2.617
Civiles;Cataluña;2018;2.752
Civiles;Cataluña;2017;2.423
Civiles;Cataluña;2016;2.181
Civiles;Cataluña;2015;2.044
Civiles;Cataluña;2014;1.865
Civiles;Cataluña;2013;2.218
Civiles;Cataluña;2012;2.639
Civiles;Cataluña;2011;3.037
Civiles;Comunitat Valenciana;2023;4.407
Civiles;Comunitat Valenciana;2022;4.082
Civiles;Comunitat Valenciana;2021;3.534
Civiles;Comunitat Valenciana;2020;3.698
Civiles;Comunitat Valenciana;2019;4.009
Civiles;Comunitat Valenciana;2018;3.883
Civiles;Comunitat Valenciana;2017;3.101
Civiles;Comunitat Valenciana;2016;3.123
Civiles;Comunitat Valenciana;2015;3.409
Civiles;Comunitat Valenciana;2014;3.110
Civiles;Comunitat Valenciana;2013;3.162
Civiles;Comunitat Valenciana;2012;3.304
Civiles;Comunitat Valenciana;2011;3.546
Civiles;Extremadura;2023;834
Civiles;Extremadura;2022;831
Civiles;Extremadura;2021;632
Civiles;Extremadura;2020;527
Civiles;Extremadura;2019;629
Civiles;Extremadura;2018;593
Civiles;Extremadura;2017;616
Civiles;Extremadura;2016;661
Civiles;Extremadura;2015;592
Civiles;Extremadura;2014;798
Civiles;Extremadura;2013;692
Civiles;Extremadura;2012;768
Civiles;Extremadura;2011;685
Civiles;Galicia;2023;1.043
Civiles;Galicia;2022;977
Civiles;Galicia;2021;962
Civiles;Galicia;2020;1.077
Civiles;Galicia;2019;1.013
Civiles;Galicia;2018;1.104
Civiles;Galicia;2017;916
Civiles;Galicia;2016;852
Civiles;Galicia;2015;733
Civiles;Galicia;2014;700
Civiles;Galicia;2013;755
Civiles;Galicia;2012;817
