Medidas cautelares;Comunidades y ciudades autónomas;Periodo;Total
Determinación del régimen de visitas;Canarias;2017;166
Determinación del régimen de visitas;Canarias;2016;200
Determinación del régimen de visitas;Canarias;2015;174
Determinación del régimen de visitas;Canarias;2014;162
Determinación del régimen de visitas;Canarias;2013;121
Determinación del régimen de visitas;Canarias;2012;146
Determinación del régimen de visitas;Canarias;2011;153
Determinación del régimen de visitas;Cantabria;2023;57
Determinación del régimen de visitas;Cantabria;2022;36
Determinación del régimen de visitas;Cantabria;2021;41
Determinación del régimen de visitas;Cantabria;2020;49
Determinación del régimen de visitas;Cantabria;2019;57
Determinación del régimen de visitas;Cantabria;2018;82
Determinación del régimen de visitas;Cantabria;2017;75
Determinación del régimen de visitas;Cantabria;2016;84
Determinación del régimen de visitas;Cantabria;2015;53
Determinación del régimen de visitas;Cantabria;2014;70
Determinación del régimen de visitas;Cantabria;2013;52
Determinación del régimen de visitas;Cantabria;2012;59
Determinación del régimen de visitas;Cantabria;2011;57
Determinación del régimen de visitas;Castilla y León;2023;176
Determinación del régimen de visitas;Castilla y León;2022;128
Determinación del régimen de visitas;Castilla y León;2021;213
Determinación del régimen de visitas;Castilla y León;2020;241
Determinación del régimen de visitas;Castilla y León;2019;242
Determinación del régimen de visitas;Castilla y León;2018;209
Determinación del régimen de visitas;Castilla y León;2017;227
Determinación del régimen de visitas;Castilla y León;2016;212
Determinación del régimen de visitas;Castilla y León;2015;224
Determinación del régimen de visitas;Castilla y León;2014;213
Determinación del régimen de visitas;Castilla y León;2013;221
Determinación del régimen de visitas;Castilla y León;2012;232
Determinación del régimen de visitas;Castilla y León;2011;254
Determinación del régimen de visitas;Castilla - La Mancha;2023;246
Determinación del régimen de visitas;Castilla - La Mancha;2022;258
Determinación del régimen de visitas;Castilla - La Mancha;2021;306
Determinación del régimen de visitas;Castilla - La Mancha;2020;324
Determinación del régimen de visitas;Castilla - La Mancha;2019;421
Determinación del régimen de visitas;Castilla - La Mancha;2018;417
Determinación del régimen de visitas;Castilla - La Mancha;2017;360
Determinación del régimen de visitas;Castilla - La Mancha;2016;385
Determinación del régimen de visitas;Castilla - La Mancha;2015;414
Determinación del régimen de visitas;Castilla - La Mancha;2014;392
Determinación del régimen de visitas;Castilla - La Mancha;2013;359
Determinación del régimen de visitas;Castilla - La Mancha;2012;423
Determinación del régimen de visitas;Castilla - La Mancha;2011;426
Determinación del régimen de visitas;Cataluña;2023;309
Determinación del régimen de visitas;Cataluña;2022;337
Determinación del régimen de visitas;Cataluña;2021;460
Determinación del régimen de visitas;Cataluña;2020;572
Determinación del régimen de visitas;Cataluña;2019;604
Determinación del régimen de visitas;Cataluña;2018;664
Determinación del régimen de visitas;Cataluña;2017;599
Determinación del régimen de visitas;Cataluña;2016;503
Determinación del régimen de visitas;Cataluña;2015;480
Determinación del régimen de visitas;Cataluña;2014;452
Determinación del régimen de visitas;Cataluña;2013;538
Determinación del régimen de visitas;Cataluña;2012;640
Determinación del régimen de visitas;Cataluña;2011;743
Determinación del régimen de visitas;Comunitat Valenciana;2023;610
Determinación del régimen de visitas;Comunitat Valenciana;2022;515
Determinación del régimen de visitas;Comunitat Valenciana;2021;639
Determinación del régimen de visitas;Comunitat Valenciana;2020;828
Determinación del régimen de visitas;Comunitat Valenciana;2019;925
Determinación del régimen de visitas;Comunitat Valenciana;2018;898
Determinación del régimen de visitas;Comunitat Valenciana;2017;721
Determinación del régimen de visitas;Comunitat Valenciana;2016;745
Determinación del régimen de visitas;Comunitat Valenciana;2015;799
Determinación del régimen de visitas;Comunitat Valenciana;2014;757
Determinación del régimen de visitas;Comunitat Valenciana;2013;764
Determinación del régimen de visitas;Comunitat Valenciana;2012;790
Determinación del régimen de visitas;Comunitat Valenciana;2011;863
Determinación del régimen de visitas;Extremadura;2023;161
Determinación del régimen de visitas;Extremadura;2022;128
Determinación del régimen de visitas;Extremadura;2021;124
Determinación del régimen de visitas;Extremadura;2020;131
Determinación del régimen de visitas;Extremadura;2019;141
Determinación del régimen de visitas;Extremadura;2018;149
Determinación del régimen de visitas;Extremadura;2017;162
Determinación del régimen de visitas;Extremadura;2016;174
Determinación del régimen de visitas;Extremadura;2015;142
Determinación del régimen de visitas;Extremadura;2014;184
Determinación del régimen de visitas;Extremadura;2013;175
Determinación del régimen de visitas;Extremadura;2012;191
Determinación del régimen de visitas;Extremadura;2011;173
Determinación del régimen de visitas;Galicia;2023;113
Determinación del régimen de visitas;Galicia;2022;123
Determinación del régimen de visitas;Galicia;2021;176
Determinación del régimen de visitas;Galicia;2020;248
Determinación del régimen de visitas;Galicia;2019;231
Determinación del régimen de visitas;Galicia;2018;257
Determinación del régimen de visitas;Galicia;2017;217
Determinación del régimen de visitas;Galicia;2016;205
Determinación del régimen de visitas;Galicia;2015;178
Determinación del régimen de visitas;Galicia;2014;172
Determinación del régimen de visitas;Galicia;2013;185
Determinación del régimen de visitas;Galicia;2012;202
Determinación del régimen de visitas;Galicia;2011;226
Determinación del régimen de visitas;Madrid, Comunidad de;2023;392
Determinación del régimen de visitas;Madrid, Comunidad de;2022;312
Determinación del régimen de visitas;Madrid, Comunidad de;2021;565
Determinación del régimen de visitas;Madrid, Comunidad de;2020;663
Determinación del régimen de visitas;Madrid, Comunidad de;2019;854
Determinación del régimen de visitas;Madrid, Comunidad de;2018;854
Determinación del régimen de visitas;Madrid, Comunidad de;2017;856
Determinación del régimen de visitas;Madrid, Comunidad de;2016;783
Determinación del régimen de visitas;Madrid, Comunidad de;2015;643
Determinación del régimen de visitas;Madrid, Comunidad de;2014;693
Determinación del régimen de visitas;Madrid, Comunidad de;2013;699
Determinación del régimen de visitas;Madrid, Comunidad de;2012;740
Determinación del régimen de visitas;Madrid, Comunidad de;2011;799
Determinación del régimen de visitas;Murcia, Región de;2023;179
Determinación del régimen de visitas;Murcia, Región de;2022;172
Determinación del régimen de visitas;Murcia, Región de;2021;269
Determinación del régimen de visitas;Murcia, Región de;2020;335
Determinación del régimen de visitas;Murcia, Región de;2019;385
Determinación del régimen de visitas;Murcia, Región de;2018;265
Determinación del régimen de visitas;Murcia, Región de;2017;251
Determinación del régimen de visitas;Murcia, Región de;2016;259
Determinación del régimen de visitas;Murcia, Región de;2015;225
Determinación del régimen de visitas;Murcia, Región de;2014;233
Determinación del régimen de visitas;Murcia, Región de;2013;215
Determinación del régimen de visitas;Murcia, Región de;2012;183
Determinación del régimen de visitas;Murcia, Región de;2011;191
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2023;59
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2022;42
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2021;65
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2020;55
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2019;75
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2018;67
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2017;56
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2016;67
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2015;55
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2014;50
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2013;31
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2012;47
Determinación del régimen de visitas;Navarra, Comunidad Foral de;2011;48
Determinación del régimen de visitas;País Vasco;2023;61
Determinación del régimen de visitas;País Vasco;2022;45
Determinación del régimen de visitas;País Vasco;2021;38
Determinación del régimen de visitas;País Vasco;2020;50
Determinación del régimen de visitas;País Vasco;2019;82
Determinación del régimen de visitas;País Vasco;2018;70
Determinación del régimen de visitas;País Vasco;2017;42
Determinación del régimen de visitas;País Vasco;2016;33
Determinación del régimen de visitas;País Vasco;2015;42
Determinación del régimen de visitas;País Vasco;2014;47
Determinación del régimen de visitas;País Vasco;2013;56
Determinación del régimen de visitas;País Vasco;2012;75
Determinación del régimen de visitas;País Vasco;2011;73
Determinación del régimen de visitas;Rioja, La;2023;43
Determinación del régimen de visitas;Rioja, La;2022;41
Determinación del régimen de visitas;Rioja, La;2021;68
Determinación del régimen de visitas;Rioja, La;2020;67
Determinación del régimen de visitas;Rioja, La;2019;83
Determinación del régimen de visitas;Rioja, La;2018;90
Determinación del régimen de visitas;Rioja, La;2017;80
Determinación del régimen de visitas;Rioja, La;2016;72
Determinación del régimen de visitas;Rioja, La;2015;62
Determinación del régimen de visitas;Rioja, La;2014;53
Determinación del régimen de visitas;Rioja, La;2013;45
Determinación del régimen de visitas;Rioja, La;2012;52
Determinación del régimen de visitas;Rioja, La;2011;44
Determinación del régimen de visitas;Ceuta;2023;4
Determinación del régimen de visitas;Ceuta;2022;3
Determinación del régimen de visitas;Ceuta;2021;9
Determinación del régimen de visitas;Ceuta;2020;1
Determinación del régimen de visitas;Ceuta;2019;7
Determinación del régimen de visitas;Ceuta;2018;6
Determinación del régimen de visitas;Ceuta;2017;9
Determinación del régimen de visitas;Ceuta;2016;15
Determinación del régimen de visitas;Ceuta;2015;10
Determinación del régimen de visitas;Ceuta;2014;12
Determinación del régimen de visitas;Ceuta;2013;9
Determinación del régimen de visitas;Ceuta;2012;0
Determinación del régimen de visitas;Ceuta;2011;0
Determinación del régimen de visitas;Melilla;2023;14
Determinación del régimen de visitas;Melilla;2022;11
Determinación del régimen de visitas;Melilla;2021;10
Determinación del régimen de visitas;Melilla;2020;26
Determinación del régimen de visitas;Melilla;2019;23
Determinación del régimen de visitas;Melilla;2018;16
Determinación del régimen de visitas;Melilla;2017;23
Determinación del régimen de visitas;Melilla;2016;8
Determinación del régimen de visitas;Melilla;2015;9
Determinación del régimen de visitas;Melilla;2014;5
Determinación del régimen de visitas;Melilla;2013;2
Determinación del régimen de visitas;Melilla;2012;1
Determinación del régimen de visitas;Melilla;2011;0
Otras medidas del artículo 158 del Código Civil;Total Nacional;2023;687
Otras medidas del artículo 158 del Código Civil;Total Nacional;2022;481
Otras medidas del artículo 158 del Código Civil;Total Nacional;2021;213
Otras medidas del artículo 158 del Código Civil;Total Nacional;2020;213
Otras medidas del artículo 158 del Código Civil;Total Nacional;2019;277
Otras medidas del artículo 158 del Código Civil;Total Nacional;2018;315
Otras medidas del artículo 158 del Código Civil;Total Nacional;2017;329
Otras medidas del artículo 158 del Código Civil;Total Nacional;2016;292
Otras medidas del artículo 158 del Código Civil;Total Nacional;2015;281
Otras medidas del artículo 158 del Código Civil;Total Nacional;2014;245
Otras medidas del artículo 158 del Código Civil;Total Nacional;2013;213
Otras medidas del artículo 158 del Código Civil;Total Nacional;2012;214
Otras medidas del artículo 158 del Código Civil;Total Nacional;2011;206
Otras medidas del artículo 158 del Código Civil;Andalucía;2023;94
Otras medidas del artículo 158 del Código Civil;Andalucía;2022;69
Otras medidas del artículo 158 del Código Civil;Andalucía;2021;38
Otras medidas del artículo 158 del Código Civil;Andalucía;2020;24
Otras medidas del artículo 158 del Código Civil;Andalucía;2019;36
Otras medidas del artículo 158 del Código Civil;Andalucía;2018;26
Otras medidas del artículo 158 del Código Civil;Andalucía;2017;16
Otras medidas del artículo 158 del Código Civil;Andalucía;2016;28
Otras medidas del artículo 158 del Código Civil;Andalucía;2015;32
Otras medidas del artículo 158 del Código Civil;Andalucía;2014;16
Otras medidas del artículo 158 del Código Civil;Andalucía;2013;19
Otras medidas del artículo 158 del Código Civil;Andalucía;2012;27
Otras medidas del artículo 158 del Código Civil;Andalucía;2011;40
Otras medidas del artículo 158 del Código Civil;Aragón;2023;15
Otras medidas del artículo 158 del Código Civil;Aragón;2022;11
Otras medidas del artículo 158 del Código Civil;Aragón;2021;3
Otras medidas del artículo 158 del Código Civil;Aragón;2020;6
Otras medidas del artículo 158 del Código Civil;Aragón;2019;19
Otras medidas del artículo 158 del Código Civil;Aragón;2018;4
Otras medidas del artículo 158 del Código Civil;Aragón;2017;1
Otras medidas del artículo 158 del Código Civil;Aragón;2016;8
Otras medidas del artículo 158 del Código Civil;Aragón;2015;8
Otras medidas del artículo 158 del Código Civil;Aragón;2014;7
Otras medidas del artículo 158 del Código Civil;Aragón;2013;4
Otras medidas del artículo 158 del Código Civil;Aragón;2012;3
Otras medidas del artículo 158 del Código Civil;Aragón;2011;5
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2023;14
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2022;13
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2021;4
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2020;7
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2019;2
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2018;3
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2017;1
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2016;6
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2015;3
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2014;3
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2013;1
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2012;3
Otras medidas del artículo 158 del Código Civil;Asturias, Principado de;2011;2
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2023;22
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2022;10
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2021;4
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2020;6
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2019;4
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2018;5
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2017;6
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2016;9
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2015;16
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2014;7
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2013;2
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2012;2
Otras medidas del artículo 158 del Código Civil;Balears, Illes;2011;4
Otras medidas del artículo 158 del Código Civil;Canarias;2023;23
Otras medidas del artículo 158 del Código Civil;Canarias;2022;32
Otras medidas del artículo 158 del Código Civil;Canarias;2021;1
Otras medidas del artículo 158 del Código Civil;Canarias;2020;7
Otras medidas del artículo 158 del Código Civil;Canarias;2019;9
Otras medidas del artículo 158 del Código Civil;Canarias;2018;11
Otras medidas del artículo 158 del Código Civil;Canarias;2017;3
Otras medidas del artículo 158 del Código Civil;Canarias;2016;5
Otras medidas del artículo 158 del Código Civil;Canarias;2015;30
Otras medidas del artículo 158 del Código Civil;Canarias;2014;21
Otras medidas del artículo 158 del Código Civil;Canarias;2013;13
Otras medidas del artículo 158 del Código Civil;Canarias;2012;3
Otras medidas del artículo 158 del Código Civil;Canarias;2011;5
Otras medidas del artículo 158 del Código Civil;Cantabria;2023;5
Otras medidas del artículo 158 del Código Civil;Cantabria;2022;5
Otras medidas del artículo 158 del Código Civil;Cantabria;2021;2
Otras medidas del artículo 158 del Código Civil;Cantabria;2020;0
Otras medidas del artículo 158 del Código Civil;Cantabria;2019;1
Otras medidas del artículo 158 del Código Civil;Cantabria;2018;2
Otras medidas del artículo 158 del Código Civil;Cantabria;2017;3
Otras medidas del artículo 158 del Código Civil;Cantabria;2016;8
Otras medidas del artículo 158 del Código Civil;Cantabria;2015;4
Otras medidas del artículo 158 del Código Civil;Cantabria;2014;2
Otras medidas del artículo 158 del Código Civil;Cantabria;2013;1
Otras medidas del artículo 158 del Código Civil;Cantabria;2012;5
Otras medidas del artículo 158 del Código Civil;Cantabria;2011;3
Otras medidas del artículo 158 del Código Civil;Castilla y León;2023;63
Otras medidas del artículo 158 del Código Civil;Castilla y León;2022;33
Otras medidas del artículo 158 del Código Civil;Castilla y León;2021;13
Otras medidas del artículo 158 del Código Civil;Castilla y León;2020;4
Otras medidas del artículo 158 del Código Civil;Castilla y León;2019;15
Otras medidas del artículo 158 del Código Civil;Castilla y León;2018;11
Otras medidas del artículo 158 del Código Civil;Castilla y León;2017;8
Otras medidas del artículo 158 del Código Civil;Castilla y León;2016;9
Otras medidas del artículo 158 del Código Civil;Castilla y León;2015;7
Otras medidas del artículo 158 del Código Civil;Castilla y León;2014;11
Otras medidas del artículo 158 del Código Civil;Castilla y León;2013;12
Otras medidas del artículo 158 del Código Civil;Castilla y León;2012;14
Otras medidas del artículo 158 del Código Civil;Castilla y León;2011;11
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2023;36
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2022;22
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2021;19
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2020;11
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2019;4
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2018;6
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2017;11
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2016;6
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2015;6
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2014;5
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2013;4
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2012;8
Otras medidas del artículo 158 del Código Civil;Castilla - La Mancha;2011;15
Otras medidas del artículo 158 del Código Civil;Cataluña;2023;65
Otras medidas del artículo 158 del Código Civil;Cataluña;2022;51
Otras medidas del artículo 158 del Código Civil;Cataluña;2021;17
Otras medidas del artículo 158 del Código Civil;Cataluña;2020;15
Otras medidas del artículo 158 del Código Civil;Cataluña;2019;12
Otras medidas del artículo 158 del Código Civil;Cataluña;2018;19
Otras medidas del artículo 158 del Código Civil;Cataluña;2017;18
Otras medidas del artículo 158 del Código Civil;Cataluña;2016;18
Otras medidas del artículo 158 del Código Civil;Cataluña;2015;16
Otras medidas del artículo 158 del Código Civil;Cataluña;2014;10
Otras medidas del artículo 158 del Código Civil;Cataluña;2013;19
Otras medidas del artículo 158 del Código Civil;Cataluña;2012;19
Otras medidas del artículo 158 del Código Civil;Cataluña;2011;22
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2023;132
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2022;66
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2021;27
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2020;39
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2019;41
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2018;40
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2017;48
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2016;26
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2015;40
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2014;36
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2013;28
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2012;26
Otras medidas del artículo 158 del Código Civil;Comunitat Valenciana;2011;15
Otras medidas del artículo 158 del Código Civil;Extremadura;2023;31
Otras medidas del artículo 158 del Código Civil;Extremadura;2022;12
Otras medidas del artículo 158 del Código Civil;Extremadura;2021;2
Otras medidas del artículo 158 del Código Civil;Extremadura;2020;4
Otras medidas del artículo 158 del Código Civil;Extremadura;2019;8
Otras medidas del artículo 158 del Código Civil;Extremadura;2018;2
Otras medidas del artículo 158 del Código Civil;Extremadura;2017;3
Otras medidas del artículo 158 del Código Civil;Extremadura;2016;5
Otras medidas del artículo 158 del Código Civil;Extremadura;2015;13
Otras medidas del artículo 158 del Código Civil;Extremadura;2014;15
Otras medidas del artículo 158 del Código Civil;Extremadura;2013;10
Otras medidas del artículo 158 del Código Civil;Extremadura;2012;8
Otras medidas del artículo 158 del Código Civil;Extremadura;2011;5
Otras medidas del artículo 158 del Código Civil;Galicia;2023;36
Otras medidas del artículo 158 del Código Civil;Galicia;2022;24
Otras medidas del artículo 158 del Código Civil;Galicia;2021;12
Otras medidas del artículo 158 del Código Civil;Galicia;2020;12
Otras medidas del artículo 158 del Código Civil;Galicia;2019;14
Otras medidas del artículo 158 del Código Civil;Galicia;2018;8
Otras medidas del artículo 158 del Código Civil;Galicia;2017;16
Otras medidas del artículo 158 del Código Civil;Galicia;2016;18
Otras medidas del artículo 158 del Código Civil;Galicia;2015;10
Otras medidas del artículo 158 del Código Civil;Galicia;2014;11
Otras medidas del artículo 158 del Código Civil;Galicia;2013;11
Otras medidas del artículo 158 del Código Civil;Galicia;2012;21
Otras medidas del artículo 158 del Código Civil;Galicia;2011;3
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2023;67
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2022;60
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2021;22
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2020;48
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2019;61
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2018;26
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2017;35
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2016;46
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2015;36
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2014;23
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2013;23
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2012;24
Otras medidas del artículo 158 del Código Civil;Madrid, Comunidad de;2011;31
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2023;22
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2022;17
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2021;5
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2020;10
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2019;9
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2018;6
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2017;16
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2016;8
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2015;7
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2014;9
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2013;2
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2012;8
Otras medidas del artículo 158 del Código Civil;Murcia, Región de;2011;1
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2023;23
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2022;15
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2021;5
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2020;2
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2019;4
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2018;10
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2017;1
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2016;3
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2015;2
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2014;1
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2013;1
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2012;1
Otras medidas del artículo 158 del Código Civil;Navarra, Comunidad Foral de;2011;5
Otras medidas del artículo 158 del Código Civil;País Vasco;2023;27
Otras medidas del artículo 158 del Código Civil;País Vasco;2022;39
Otras medidas del artículo 158 del Código Civil;País Vasco;2021;36
Otras medidas del artículo 158 del Código Civil;País Vasco;2020;17
Otras medidas del artículo 158 del Código Civil;País Vasco;2019;34
Otras medidas del artículo 158 del Código Civil;País Vasco;2018;130
Otras medidas del artículo 158 del Código Civil;País Vasco;2017;136
Otras medidas del artículo 158 del Código Civil;País Vasco;2016;81
Otras medidas del artículo 158 del Código Civil;País Vasco;2015;49
Otras medidas del artículo 158 del Código Civil;País Vasco;2014;68
Otras medidas del artículo 158 del Código Civil;País Vasco;2013;62
Otras medidas del artículo 158 del Código Civil;País Vasco;2012;41
Otras medidas del artículo 158 del Código Civil;País Vasco;2011;36
Otras medidas del artículo 158 del Código Civil;Rioja, La;2023;9
Otras medidas del artículo 158 del Código Civil;Rioja, La;2022;1
Otras medidas del artículo 158 del Código Civil;Rioja, La;2021;2
Otras medidas del artículo 158 del Código Civil;Rioja, La;2020;1
Otras medidas del artículo 158 del Código Civil;Rioja, La;2019;4
Otras medidas del artículo 158 del Código Civil;Rioja, La;2018;5
Otras medidas del artículo 158 del Código Civil;Rioja, La;2017;6
Otras medidas del artículo 158 del Código Civil;Rioja, La;2016;7
Otras medidas del artículo 158 del Código Civil;Rioja, La;2015;2
Otras medidas del artículo 158 del Código Civil;Rioja, La;2014;0
Otras medidas del artículo 158 del Código Civil;Rioja, La;2013;1
Otras medidas del artículo 158 del Código Civil;Rioja, La;2012;1
Otras medidas del artículo 158 del Código Civil;Rioja, La;2011;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2023;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2022;1
Otras medidas del artículo 158 del Código Civil;Ceuta;2021;1
Otras medidas del artículo 158 del Código Civil;Ceuta;2020;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2019;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2018;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2017;1
Otras medidas del artículo 158 del Código Civil;Ceuta;2016;1
Otras medidas del artículo 158 del Código Civil;Ceuta;2015;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2014;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2013;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2012;0
Otras medidas del artículo 158 del Código Civil;Ceuta;2011;2
Otras medidas del artículo 158 del Código Civil;Melilla;2023;3
Otras medidas del artículo 158 del Código Civil;Melilla;2022;0
Otras medidas del artículo 158 del Código Civil;Melilla;2021;0
Otras medidas del artículo 158 del Código Civil;Melilla;2020;0
Otras medidas del artículo 158 del Código Civil;Melilla;2019;0
Otras medidas del artículo 158 del Código Civil;Melilla;2018;1
Otras medidas del artículo 158 del Código Civil;Melilla;2017;0
Otras medidas del artículo 158 del Código Civil;Melilla;2016;0
Otras medidas del artículo 158 del Código Civil;Melilla;2015;0
Otras medidas del artículo 158 del Código Civil;Melilla;2014;0
Otras medidas del artículo 158 del Código Civil;Melilla;2013;0
Otras medidas del artículo 158 del Código Civil;Melilla;2012;0
Otras medidas del artículo 158 del Código Civil;Melilla;2011;1
Otras medidas cautelares civiles sin especificar;Total Nacional;2023;33
Otras medidas cautelares civiles sin especificar;Total Nacional;2022;19
Otras medidas cautelares civiles sin especificar;Total Nacional;2021;10
Otras medidas cautelares civiles sin especificar;Total Nacional;2020;16
Otras medidas cautelares civiles sin especificar;Total Nacional;2019;66
Otras medidas cautelares civiles sin especificar;Total Nacional;2018;85
Otras medidas cautelares civiles sin especificar;Total Nacional;2017;78
Otras medidas cautelares civiles sin especificar;Total Nacional;2016;69
Otras medidas cautelares civiles sin especificar;Total Nacional;2015;57
Otras medidas cautelares civiles sin especificar;Total Nacional;2014;99
Otras medidas cautelares civiles sin especificar;Total Nacional;2013;111
Otras medidas cautelares civiles sin especificar;Total Nacional;2012;117
Otras medidas cautelares civiles sin especificar;Total Nacional;2011;120
Otras medidas cautelares civiles sin especificar;Andalucía;2023;2
Otras medidas cautelares civiles sin especificar;Andalucía;2022;3
Otras medidas cautelares civiles sin especificar;Andalucía;2021;1
Otras medidas cautelares civiles sin especificar;Andalucía;2020;2
Otras medidas cautelares civiles sin especificar;Andalucía;2019;2
Otras medidas cautelares civiles sin especificar;Andalucía;2018;2
