Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Delitos;Galicia;2017;1.467
Delitos;Galicia;2016;1.438
Delitos;Galicia;2015;1.312
Delitos;Galicia;2014;1.313
Delitos;Galicia;2013;1.375
Delitos;Galicia;2012;1.399
Delitos;Galicia;2011;1.521
Delitos;Madrid, Comunidad de;2023;4.024
Delitos;Madrid, Comunidad de;2022;3.540
Delitos;Madrid, Comunidad de;2021;3.790
Delitos;Madrid, Comunidad de;2020;3.494
Delitos;Madrid, Comunidad de;2019;4.097
Delitos;Madrid, Comunidad de;2018;4.131
Delitos;Madrid, Comunidad de;2017;4.055
Delitos;Madrid, Comunidad de;2016;3.618
Delitos;Madrid, Comunidad de;2015;3.158
Delitos;Madrid, Comunidad de;2014;3.192
Delitos;Madrid, Comunidad de;2013;3.200
Delitos;Madrid, Comunidad de;2012;3.647
Delitos;Madrid, Comunidad de;2011;4.427
Delitos;Murcia, Región de;2023;2.052
Delitos;Murcia, Región de;2022;1.683
Delitos;Murcia, Región de;2021;1.719
Delitos;Murcia, Región de;2020;1.551
Delitos;Murcia, Región de;2019;1.652
Delitos;Murcia, Región de;2018;1.602
Delitos;Murcia, Región de;2017;1.301
Delitos;Murcia, Región de;2016;1.326
Delitos;Murcia, Región de;2015;1.232
Delitos;Murcia, Región de;2014;1.135
Delitos;Murcia, Región de;2013;1.129
Delitos;Murcia, Región de;2012;1.183
Delitos;Murcia, Región de;2011;1.296
Delitos;Navarra, Comunidad Foral de;2023;483
Delitos;Navarra, Comunidad Foral de;2022;417
Delitos;Navarra, Comunidad Foral de;2021;347
Delitos;Navarra, Comunidad Foral de;2020;342
Delitos;Navarra, Comunidad Foral de;2019;383
Delitos;Navarra, Comunidad Foral de;2018;374
Delitos;Navarra, Comunidad Foral de;2017;343
Delitos;Navarra, Comunidad Foral de;2016;442
Delitos;Navarra, Comunidad Foral de;2015;398
Delitos;Navarra, Comunidad Foral de;2014;352
Delitos;Navarra, Comunidad Foral de;2013;336
Delitos;Navarra, Comunidad Foral de;2012;333
Delitos;Navarra, Comunidad Foral de;2011;413
Delitos;País Vasco;2023;1.005
Delitos;País Vasco;2022;1.032
Delitos;País Vasco;2021;901
Delitos;País Vasco;2020;756
Delitos;País Vasco;2019;992
Delitos;País Vasco;2018;1.024
Delitos;País Vasco;2017;936
Delitos;País Vasco;2016;825
Delitos;País Vasco;2015;682
Delitos;País Vasco;2014;756
Delitos;País Vasco;2013;803
Delitos;País Vasco;2012;823
Delitos;País Vasco;2011;823
Delitos;Rioja, La;2023;635
Delitos;Rioja, La;2022;465
Delitos;Rioja, La;2021;451
Delitos;Rioja, La;2020;349
Delitos;Rioja, La;2019;384
Delitos;Rioja, La;2018;396
Delitos;Rioja, La;2017;270
Delitos;Rioja, La;2016;251
Delitos;Rioja, La;2015;221
Delitos;Rioja, La;2014;193
Delitos;Rioja, La;2013;168
Delitos;Rioja, La;2012;200
Delitos;Rioja, La;2011;192
Delitos;Ceuta;2023;115
Delitos;Ceuta;2022;82
Delitos;Ceuta;2021;87
Delitos;Ceuta;2020;68
