Lugar de nacimiento;Edad de la victima;Periodo;Total
Total;De 30 a 34 años;2017;4.611
Total;De 30 a 34 años;2016;4.558
Total;De 30 a 34 años;2015;4.638
Total;De 30 a 34 años;2014;4.602
Total;De 30 a 34 años;2013;4.780
Total;De 30 a 34 años;2012;5.252
Total;De 30 a 34 años;2011;5.813
Total;De 35 a 39 años;2023;6.228
Total;De 35 a 39 años;2022;5.440
Total;De 35 a 39 años;2021;5.043
Total;De 35 a 39 años;2020;4.959
Total;De 35 a 39 años;2019;5.407
Total;De 35 a 39 años;2018;5.464
Total;De 35 a 39 años;2017;5.142
Total;De 35 a 39 años;2016;5.057
Total;De 35 a 39 años;2015;4.928
Total;De 35 a 39 años;2014;4.880
Total;De 35 a 39 años;2013;4.799
Total;De 35 a 39 años;2012;5.112
Total;De 35 a 39 años;2011;5.477
Total;De 40 a 44 años;2023;5.702
Total;De 40 a 44 años;2022;5.188
Total;De 40 a 44 años;2021;4.616
Total;De 40 a 44 años;2020;4.521
Total;De 40 a 44 años;2019;4.759
Total;De 40 a 44 años;2018;4.484
Total;De 40 a 44 años;2017;4.112
Total;De 40 a 44 años;2016;4.118
Total;De 40 a 44 años;2015;3.794
Total;De 40 a 44 años;2014;3.830
Total;De 40 a 44 años;2013;3.774
Total;De 40 a 44 años;2012;3.989
Total;De 40 a 44 años;2011;4.249
Total;De 45 a 49 años;2023;4.041
Total;De 45 a 49 años;2022;3.502
Total;De 45 a 49 años;2021;3.131
Total;De 45 a 49 años;2020;2.963
Total;De 45 a 49 años;2019;3.157
Total;De 45 a 49 años;2018;3.076
Total;De 45 a 49 años;2017;2.898
Total;De 45 a 49 años;2016;2.654
Total;De 45 a 49 años;2015;2.632
Total;De 45 a 49 años;2014;2.495
Total;De 45 a 49 años;2013;2.495
Total;De 45 a 49 años;2012;2.399
Total;De 45 a 49 años;2011;2.737
Total;De 50 a 54 años;2023;2.259
Total;De 50 a 54 años;2022;2.001
Total;De 50 a 54 años;2021;1.796
Total;De 50 a 54 años;2020;1.749
Total;De 50 a 54 años;2019;1.696
Total;De 50 a 54 años;2018;1.730
Total;De 50 a 54 años;2017;1.616
Total;De 50 a 54 años;2016;1.496
Total;De 50 a 54 años;2015;1.521
Total;De 50 a 54 años;2014;1.293
Total;De 50 a 54 años;2013;1.272
Total;De 50 a 54 años;2012;1.325
Total;De 50 a 54 años;2011;1.476
Total;De 55 a 59 años;2023;1.176
Total;De 55 a 59 años;2022;1.003
Total;De 55 a 59 años;2021;872
