Lugar de nacimiento;Edad de la victima;Periodo;Total
UE28 sin España;De 55 a 59 años;2023;""
UE28 sin España;De 55 a 59 años;2022;""
UE28 sin España;De 55 a 59 años;2021;""
UE28 sin España;De 55 a 59 años;2020;""
UE28 sin España;De 55 a 59 años;2019;84
UE28 sin España;De 55 a 59 años;2018;71
UE28 sin España;De 55 a 59 años;2017;71
UE28 sin España;De 55 a 59 años;2016;56
UE28 sin España;De 55 a 59 años;2015;62
UE28 sin España;De 55 a 59 años;2014;53
UE28 sin España;De 55 a 59 años;2013;47
UE28 sin España;De 55 a 59 años;2012;43
UE28 sin España;De 55 a 59 años;2011;47
UE28 sin España;De 60 a 64 años;2023;""
UE28 sin España;De 60 a 64 años;2022;""
UE28 sin España;De 60 a 64 años;2021;""
UE28 sin España;De 60 a 64 años;2020;""
UE28 sin España;De 60 a 64 años;2019;36
UE28 sin España;De 60 a 64 años;2018;39
UE28 sin España;De 60 a 64 años;2017;30
UE28 sin España;De 60 a 64 años;2016;33
UE28 sin España;De 60 a 64 años;2015;33
UE28 sin España;De 60 a 64 años;2014;26
UE28 sin España;De 60 a 64 años;2013;21
UE28 sin España;De 60 a 64 años;2012;23
UE28 sin España;De 60 a 64 años;2011;21
UE28 sin España;De 65 a 69 años;2023;""
UE28 sin España;De 65 a 69 años;2022;""
UE28 sin España;De 65 a 69 años;2021;""
UE28 sin España;De 65 a 69 años;2020;""
UE28 sin España;De 65 a 69 años;2019;19
UE28 sin España;De 65 a 69 años;2018;13
UE28 sin España;De 65 a 69 años;2017;23
UE28 sin España;De 65 a 69 años;2016;19
UE28 sin España;De 65 a 69 años;2015;17
UE28 sin España;De 65 a 69 años;2014;19
UE28 sin España;De 65 a 69 años;2013;12
UE28 sin España;De 65 a 69 años;2012;11
UE28 sin España;De 65 a 69 años;2011;16
UE28 sin España;De 70 a 74 años  ;2023;""
UE28 sin España;De 70 a 74 años  ;2022;""
UE28 sin España;De 70 a 74 años  ;2021;""
UE28 sin España;De 70 a 74 años  ;2020;""
UE28 sin España;De 70 a 74 años  ;2019;8
UE28 sin España;De 70 a 74 años  ;2018;8
UE28 sin España;De 70 a 74 años  ;2017;5
UE28 sin España;De 70 a 74 años  ;2016;6
UE28 sin España;De 70 a 74 años  ;2015;12
UE28 sin España;De 70 a 74 años  ;2014;5
UE28 sin España;De 70 a 74 años  ;2013;5
UE28 sin España;De 70 a 74 años  ;2012;10
UE28 sin España;De 70 a 74 años  ;2011;8
UE28 sin España;75 y más años;2023;""
UE28 sin España;75 y más años;2022;""
UE28 sin España;75 y más años;2021;""
UE28 sin España;75 y más años;2020;""
UE28 sin España;75 y más años;2019;10
UE28 sin España;75 y más años;2018;7
UE28 sin España;75 y más años;2017;11
UE28 sin España;75 y más años;2016;4
UE28 sin España;75 y más años;2015;9
UE28 sin España;75 y más años;2014;4
UE28 sin España;75 y más años;2013;6
UE28 sin España;75 y más años;2012;3
UE28 sin España;75 y más años;2011;7
UE27_2020 sin España;Todas las edades;2023;2.407
UE27_2020 sin España;Todas las edades;2022;2.261
UE27_2020 sin España;Todas las edades;2021;2.147
UE27_2020 sin España;Todas las edades;2020;2.233
UE27_2020 sin España;Todas las edades;2019;""
UE27_2020 sin España;Todas las edades;2018;""
UE27_2020 sin España;Todas las edades;2017;""
UE27_2020 sin España;Todas las edades;2016;""
UE27_2020 sin España;Todas las edades;2015;""
UE27_2020 sin España;Todas las edades;2014;""
UE27_2020 sin España;Todas las edades;2013;""
UE27_2020 sin España;Todas las edades;2012;""
UE27_2020 sin España;Todas las edades;2011;""
UE27_2020 sin España;Menos de 18 años;2023;24
UE27_2020 sin España;Menos de 18 años;2022;21
UE27_2020 sin España;Menos de 18 años;2021;28
UE27_2020 sin España;Menos de 18 años;2020;18
UE27_2020 sin España;Menos de 18 años;2019;""
UE27_2020 sin España;Menos de 18 años;2018;""
UE27_2020 sin España;Menos de 18 años;2017;""
UE27_2020 sin España;Menos de 18 años;2016;""
UE27_2020 sin España;Menos de 18 años;2015;""
UE27_2020 sin España;Menos de 18 años;2014;""
UE27_2020 sin España;Menos de 18 años;2013;""
UE27_2020 sin España;Menos de 18 años;2012;""
UE27_2020 sin España;Menos de 18 años;2011;""
UE27_2020 sin España;De 18 a 19 años;2023;43
UE27_2020 sin España;De 18 a 19 años;2022;40
UE27_2020 sin España;De 18 a 19 años;2021;49
UE27_2020 sin España;De 18 a 19 años;2020;44
UE27_2020 sin España;De 18 a 19 años;2019;""
UE27_2020 sin España;De 18 a 19 años;2018;""
UE27_2020 sin España;De 18 a 19 años;2017;""
UE27_2020 sin España;De 18 a 19 años;2016;""
UE27_2020 sin España;De 18 a 19 años;2015;""
UE27_2020 sin España;De 18 a 19 años;2014;""
UE27_2020 sin España;De 18 a 19 años;2013;""
UE27_2020 sin España;De 18 a 19 años;2012;""
UE27_2020 sin España;De 18 a 19 años;2011;""
UE27_2020 sin España;De 20 a 24 años;2023;178
UE27_2020 sin España;De 20 a 24 años;2022;180
UE27_2020 sin España;De 20 a 24 años;2021;183
UE27_2020 sin España;De 20 a 24 años;2020;190
UE27_2020 sin España;De 20 a 24 años;2019;""
UE27_2020 sin España;De 20 a 24 años;2018;""
UE27_2020 sin España;De 20 a 24 años;2017;""
UE27_2020 sin España;De 20 a 24 años;2016;""
UE27_2020 sin España;De 20 a 24 años;2015;""
UE27_2020 sin España;De 20 a 24 años;2014;""
UE27_2020 sin España;De 20 a 24 años;2013;""
UE27_2020 sin España;De 20 a 24 años;2012;""
UE27_2020 sin España;De 20 a 24 años;2011;""
UE27_2020 sin España;De 25 a 29 años;2023;263
UE27_2020 sin España;De 25 a 29 años;2022;246
UE27_2020 sin España;De 25 a 29 años;2021;224
UE27_2020 sin España;De 25 a 29 años;2020;245
UE27_2020 sin España;De 25 a 29 años;2019;""
UE27_2020 sin España;De 25 a 29 años;2018;""
UE27_2020 sin España;De 25 a 29 años;2017;""
UE27_2020 sin España;De 25 a 29 años;2016;""
UE27_2020 sin España;De 25 a 29 años;2015;""
UE27_2020 sin España;De 25 a 29 años;2014;""
UE27_2020 sin España;De 25 a 29 años;2013;""
UE27_2020 sin España;De 25 a 29 años;2012;""
UE27_2020 sin España;De 25 a 29 años;2011;""
UE27_2020 sin España;De 30 a 34 años;2023;332
UE27_2020 sin España;De 30 a 34 años;2022;327
UE27_2020 sin España;De 30 a 34 años;2021;364
UE27_2020 sin España;De 30 a 34 años;2020;373
UE27_2020 sin España;De 30 a 34 años;2019;""
UE27_2020 sin España;De 30 a 34 años;2018;""
UE27_2020 sin España;De 30 a 34 años;2017;""
UE27_2020 sin España;De 30 a 34 años;2016;""
UE27_2020 sin España;De 30 a 34 años;2015;""
UE27_2020 sin España;De 30 a 34 años;2014;""
UE27_2020 sin España;De 30 a 34 años;2013;""
UE27_2020 sin España;De 30 a 34 años;2012;""
UE27_2020 sin España;De 30 a 34 años;2011;""
UE27_2020 sin España;De 35 a 39 años;2023;495
UE27_2020 sin España;De 35 a 39 años;2022;418
UE27_2020 sin España;De 35 a 39 años;2021;395
UE27_2020 sin España;De 35 a 39 años;2020;414
UE27_2020 sin España;De 35 a 39 años;2019;""
UE27_2020 sin España;De 35 a 39 años;2018;""
UE27_2020 sin España;De 35 a 39 años;2017;""
UE27_2020 sin España;De 35 a 39 años;2016;""
UE27_2020 sin España;De 35 a 39 años;2015;""
UE27_2020 sin España;De 35 a 39 años;2014;""
UE27_2020 sin España;De 35 a 39 años;2013;""
UE27_2020 sin España;De 35 a 39 años;2012;""
UE27_2020 sin España;De 35 a 39 años;2011;""
UE27_2020 sin España;De 40 a 44 años;2023;421
UE27_2020 sin España;De 40 a 44 años;2022;390
UE27_2020 sin España;De 40 a 44 años;2021;365
UE27_2020 sin España;De 40 a 44 años;2020;414
UE27_2020 sin España;De 40 a 44 años;2019;""
UE27_2020 sin España;De 40 a 44 años;2018;""
UE27_2020 sin España;De 40 a 44 años;2017;""
UE27_2020 sin España;De 40 a 44 años;2016;""
UE27_2020 sin España;De 40 a 44 años;2015;""
UE27_2020 sin España;De 40 a 44 años;2014;""
UE27_2020 sin España;De 40 a 44 años;2013;""
UE27_2020 sin España;De 40 a 44 años;2012;""
UE27_2020 sin España;De 40 a 44 años;2011;""
UE27_2020 sin España;De 45 a 49 años;2023;314
UE27_2020 sin España;De 45 a 49 años;2022;305
UE27_2020 sin España;De 45 a 49 años;2021;254
UE27_2020 sin España;De 45 a 49 años;2020;239
UE27_2020 sin España;De 45 a 49 años;2019;""
UE27_2020 sin España;De 45 a 49 años;2018;""
UE27_2020 sin España;De 45 a 49 años;2017;""
UE27_2020 sin España;De 45 a 49 años;2016;""
UE27_2020 sin España;De 45 a 49 años;2015;""
UE27_2020 sin España;De 45 a 49 años;2014;""
UE27_2020 sin España;De 45 a 49 años;2013;""
UE27_2020 sin España;De 45 a 49 años;2012;""
UE27_2020 sin España;De 45 a 49 años;2011;""
UE27_2020 sin España;De 50 a 54 años;2023;164
UE27_2020 sin España;De 50 a 54 años;2022;182
UE27_2020 sin España;De 50 a 54 años;2021;158
UE27_2020 sin España;De 50 a 54 años;2020;150
UE27_2020 sin España;De 50 a 54 años;2019;""
UE27_2020 sin España;De 50 a 54 años;2018;""
UE27_2020 sin España;De 50 a 54 años;2017;""
UE27_2020 sin España;De 50 a 54 años;2016;""
UE27_2020 sin España;De 50 a 54 años;2015;""
UE27_2020 sin España;De 50 a 54 años;2014;""
UE27_2020 sin España;De 50 a 54 años;2013;""
UE27_2020 sin España;De 50 a 54 años;2012;""
UE27_2020 sin España;De 50 a 54 años;2011;""
UE27_2020 sin España;De 55 a 59 años;2023;103
UE27_2020 sin España;De 55 a 59 años;2022;81
UE27_2020 sin España;De 55 a 59 años;2021;73
UE27_2020 sin España;De 55 a 59 años;2020;90
UE27_2020 sin España;De 55 a 59 años;2019;""
UE27_2020 sin España;De 55 a 59 años;2018;""
UE27_2020 sin España;De 55 a 59 años;2017;""
UE27_2020 sin España;De 55 a 59 años;2016;""
UE27_2020 sin España;De 55 a 59 años;2015;""
UE27_2020 sin España;De 55 a 59 años;2014;""
UE27_2020 sin España;De 55 a 59 años;2013;""
UE27_2020 sin España;De 55 a 59 años;2012;""
UE27_2020 sin España;De 55 a 59 años;2011;""
UE27_2020 sin España;De 60 a 64 años;2023;39
UE27_2020 sin España;De 60 a 64 años;2022;38
UE27_2020 sin España;De 60 a 64 años;2021;35
UE27_2020 sin España;De 60 a 64 años;2020;30
UE27_2020 sin España;De 60 a 64 años;2019;""
UE27_2020 sin España;De 60 a 64 años;2018;""
UE27_2020 sin España;De 60 a 64 años;2017;""
UE27_2020 sin España;De 60 a 64 años;2016;""
UE27_2020 sin España;De 60 a 64 años;2015;""
UE27_2020 sin España;De 60 a 64 años;2014;""
UE27_2020 sin España;De 60 a 64 años;2013;""
UE27_2020 sin España;De 60 a 64 años;2012;""
UE27_2020 sin España;De 60 a 64 años;2011;""
UE27_2020 sin España;De 65 a 69 años;2023;15
UE27_2020 sin España;De 65 a 69 años;2022;18
UE27_2020 sin España;De 65 a 69 años;2021;12
UE27_2020 sin España;De 65 a 69 años;2020;9
UE27_2020 sin España;De 65 a 69 años;2019;""
UE27_2020 sin España;De 65 a 69 años;2018;""
UE27_2020 sin España;De 65 a 69 años;2017;""
UE27_2020 sin España;De 65 a 69 años;2016;""
UE27_2020 sin España;De 65 a 69 años;2015;""
UE27_2020 sin España;De 65 a 69 años;2014;""
UE27_2020 sin España;De 65 a 69 años;2013;""
UE27_2020 sin España;De 65 a 69 años;2012;""
UE27_2020 sin España;De 65 a 69 años;2011;""
UE27_2020 sin España;De 70 a 74 años  ;2023;9
UE27_2020 sin España;De 70 a 74 años  ;2022;8
UE27_2020 sin España;De 70 a 74 años  ;2021;4
UE27_2020 sin España;De 70 a 74 años  ;2020;10
UE27_2020 sin España;De 70 a 74 años  ;2019;""
UE27_2020 sin España;De 70 a 74 años  ;2018;""
UE27_2020 sin España;De 70 a 74 años  ;2017;""
UE27_2020 sin España;De 70 a 74 años  ;2016;""
UE27_2020 sin España;De 70 a 74 años  ;2015;""
UE27_2020 sin España;De 70 a 74 años  ;2014;""
UE27_2020 sin España;De 70 a 74 años  ;2013;""
UE27_2020 sin España;De 70 a 74 años  ;2012;""
UE27_2020 sin España;De 70 a 74 años  ;2011;""
UE27_2020 sin España;75 y más años;2023;7
UE27_2020 sin España;75 y más años;2022;7
UE27_2020 sin España;75 y más años;2021;3
UE27_2020 sin España;75 y más años;2020;7
UE27_2020 sin España;75 y más años;2019;""
UE27_2020 sin España;75 y más años;2018;""
UE27_2020 sin España;75 y más años;2017;""
UE27_2020 sin España;75 y más años;2016;""
UE27_2020 sin España;75 y más años;2015;""
UE27_2020 sin España;75 y más años;2014;""
UE27_2020 sin España;75 y más años;2013;""
UE27_2020 sin España;75 y más años;2012;""
UE27_2020 sin España;75 y más años;2011;""
Europa menos UE28;Todas las edades;2023;""
Europa menos UE28;Todas las edades;2022;""
Europa menos UE28;Todas las edades;2021;""
Europa menos UE28;Todas las edades;2020;""
Europa menos UE28;Todas las edades;2019;645
Europa menos UE28;Todas las edades;2018;566
Europa menos UE28;Todas las edades;2017;558
Europa menos UE28;Todas las edades;2016;518
Europa menos UE28;Todas las edades;2015;520
Europa menos UE28;Todas las edades;2014;443
Europa menos UE28;Todas las edades;2013;496
Europa menos UE28;Todas las edades;2012;537
Europa menos UE28;Todas las edades;2011;579
Europa menos UE28;Menos de 18 años;2023;""
Europa menos UE28;Menos de 18 años;2022;""
Europa menos UE28;Menos de 18 años;2021;""
Europa menos UE28;Menos de 18 años;2020;""
Europa menos UE28;Menos de 18 años;2019;3
Europa menos UE28;Menos de 18 años;2018;2
Europa menos UE28;Menos de 18 años;2017;3
Europa menos UE28;Menos de 18 años;2016;5
Europa menos UE28;Menos de 18 años;2015;4
Europa menos UE28;Menos de 18 años;2014;5
Europa menos UE28;Menos de 18 años;2013;4
Europa menos UE28;Menos de 18 años;2012;5
Europa menos UE28;Menos de 18 años;2011;6
Europa menos UE28;De 18 a 19 años;2023;""
Europa menos UE28;De 18 a 19 años;2022;""
Europa menos UE28;De 18 a 19 años;2021;""
Europa menos UE28;De 18 a 19 años;2020;""
Europa menos UE28;De 18 a 19 años;2019;10
Europa menos UE28;De 18 a 19 años;2018;6
Europa menos UE28;De 18 a 19 años;2017;10
Europa menos UE28;De 18 a 19 años;2016;16
Europa menos UE28;De 18 a 19 años;2015;10
Europa menos UE28;De 18 a 19 años;2014;6
Europa menos UE28;De 18 a 19 años;2013;10
Europa menos UE28;De 18 a 19 años;2012;11
Europa menos UE28;De 18 a 19 años;2011;9
Europa menos UE28;De 20 a 24 años;2023;""
Europa menos UE28;De 20 a 24 años;2022;""
Europa menos UE28;De 20 a 24 años;2021;""
Europa menos UE28;De 20 a 24 años;2020;""
Europa menos UE28;De 20 a 24 años;2019;44
Europa menos UE28;De 20 a 24 años;2018;46
Europa menos UE28;De 20 a 24 años;2017;49
Europa menos UE28;De 20 a 24 años;2016;42
Europa menos UE28;De 20 a 24 años;2015;31
Europa menos UE28;De 20 a 24 años;2014;28
Europa menos UE28;De 20 a 24 años;2013;33
Europa menos UE28;De 20 a 24 años;2012;34
Europa menos UE28;De 20 a 24 años;2011;48
Europa menos UE28;De 25 a 29 años;2023;""
Europa menos UE28;De 25 a 29 años;2022;""
Europa menos UE28;De 25 a 29 años;2021;""
Europa menos UE28;De 25 a 29 años;2020;""
Europa menos UE28;De 25 a 29 años;2019;65
Europa menos UE28;De 25 a 29 años;2018;62
Europa menos UE28;De 25 a 29 años;2017;67
Europa menos UE28;De 25 a 29 años;2016;53
Europa menos UE28;De 25 a 29 años;2015;61
Europa menos UE28;De 25 a 29 años;2014;55
Europa menos UE28;De 25 a 29 años;2013;67
Europa menos UE28;De 25 a 29 años;2012;77
Europa menos UE28;De 25 a 29 años;2011;104
Europa menos UE28;De 30 a 34 años;2023;""
Europa menos UE28;De 30 a 34 años;2022;""
Europa menos UE28;De 30 a 34 años;2021;""
Europa menos UE28;De 30 a 34 años;2020;""
Europa menos UE28;De 30 a 34 años;2019;129
Europa menos UE28;De 30 a 34 años;2018;95
Europa menos UE28;De 30 a 34 años;2017;92
Europa menos UE28;De 30 a 34 años;2016;98
Europa menos UE28;De 30 a 34 años;2015;111
Europa menos UE28;De 30 a 34 años;2014;96
Europa menos UE28;De 30 a 34 años;2013;115
Europa menos UE28;De 30 a 34 años;2012;134
Europa menos UE28;De 30 a 34 años;2011;138
Europa menos UE28;De 35 a 39 años;2023;""
Europa menos UE28;De 35 a 39 años;2022;""
Europa menos UE28;De 35 a 39 años;2021;""
Europa menos UE28;De 35 a 39 años;2020;""
Europa menos UE28;De 35 a 39 años;2019;145
Europa menos UE28;De 35 a 39 años;2018;143
Europa menos UE28;De 35 a 39 años;2017;137
Europa menos UE28;De 35 a 39 años;2016;122
Europa menos UE28;De 35 a 39 años;2015;133
Europa menos UE28;De 35 a 39 años;2014;109
Europa menos UE28;De 35 a 39 años;2013;111
Europa menos UE28;De 35 a 39 años;2012;130
Europa menos UE28;De 35 a 39 años;2011;119
Europa menos UE28;De 40 a 44 años;2023;""
Europa menos UE28;De 40 a 44 años;2022;""
Europa menos UE28;De 40 a 44 años;2021;""
Europa menos UE28;De 40 a 44 años;2020;""
Europa menos UE28;De 40 a 44 años;2019;134
Europa menos UE28;De 40 a 44 años;2018;97
Europa menos UE28;De 40 a 44 años;2017;85
Europa menos UE28;De 40 a 44 años;2016;96
Europa menos UE28;De 40 a 44 años;2015;77
Europa menos UE28;De 40 a 44 años;2014;79
Europa menos UE28;De 40 a 44 años;2013;72
Europa menos UE28;De 40 a 44 años;2012;75
Europa menos UE28;De 40 a 44 años;2011;73
Europa menos UE28;De 45 a 49 años;2023;""
Europa menos UE28;De 45 a 49 años;2022;""
Europa menos UE28;De 45 a 49 años;2021;""
Europa menos UE28;De 45 a 49 años;2020;""
Europa menos UE28;De 45 a 49 años;2019;64
Europa menos UE28;De 45 a 49 años;2018;67
Europa menos UE28;De 45 a 49 años;2017;60
Europa menos UE28;De 45 a 49 años;2016;42
Europa menos UE28;De 45 a 49 años;2015;48
Europa menos UE28;De 45 a 49 años;2014;27
Europa menos UE28;De 45 a 49 años;2013;40
Europa menos UE28;De 45 a 49 años;2012;45
Europa menos UE28;De 45 a 49 años;2011;51
Europa menos UE28;De 50 a 54 años;2023;""
Europa menos UE28;De 50 a 54 años;2022;""
Europa menos UE28;De 50 a 54 años;2021;""
Europa menos UE28;De 50 a 54 años;2020;""
Europa menos UE28;De 50 a 54 años;2019;30
Europa menos UE28;De 50 a 54 años;2018;28
Europa menos UE28;De 50 a 54 años;2017;30
Europa menos UE28;De 50 a 54 años;2016;23
Europa menos UE28;De 50 a 54 años;2015;20
Europa menos UE28;De 50 a 54 años;2014;23
Europa menos UE28;De 50 a 54 años;2013;31
Europa menos UE28;De 50 a 54 años;2012;18
Europa menos UE28;De 50 a 54 años;2011;18
Europa menos UE28;De 55 a 59 años;2023;""
Europa menos UE28;De 55 a 59 años;2022;""
Europa menos UE28;De 55 a 59 años;2021;""
Europa menos UE28;De 55 a 59 años;2020;""
Europa menos UE28;De 55 a 59 años;2019;11
Europa menos UE28;De 55 a 59 años;2018;11
Europa menos UE28;De 55 a 59 años;2017;15
Europa menos UE28;De 55 a 59 años;2016;12
Europa menos UE28;De 55 a 59 años;2015;12
Europa menos UE28;De 55 a 59 años;2014;8
Europa menos UE28;De 55 a 59 años;2013;4
Europa menos UE28;De 55 a 59 años;2012;6
Europa menos UE28;De 55 a 59 años;2011;6
Europa menos UE28;De 60 a 64 años;2023;""
Europa menos UE28;De 60 a 64 años;2022;""
Europa menos UE28;De 60 a 64 años;2021;""
Europa menos UE28;De 60 a 64 años;2020;""
Europa menos UE28;De 60 a 64 años;2019;6
Europa menos UE28;De 60 a 64 años;2018;5
Europa menos UE28;De 60 a 64 años;2017;8
Europa menos UE28;De 60 a 64 años;2016;6
Europa menos UE28;De 60 a 64 años;2015;9
Europa menos UE28;De 60 a 64 años;2014;5
Europa menos UE28;De 60 a 64 años;2013;8
Europa menos UE28;De 60 a 64 años;2012;2
Europa menos UE28;De 60 a 64 años;2011;4
Europa menos UE28;De 65 a 69 años;2023;""
Europa menos UE28;De 65 a 69 años;2022;""
Europa menos UE28;De 65 a 69 años;2021;""
Europa menos UE28;De 65 a 69 años;2020;""
Europa menos UE28;De 65 a 69 años;2019;2
Europa menos UE28;De 65 a 69 años;2018;1
Europa menos UE28;De 65 a 69 años;2017;1
Europa menos UE28;De 65 a 69 años;2016;0
Europa menos UE28;De 65 a 69 años;2015;2
Europa menos UE28;De 65 a 69 años;2014;2
Europa menos UE28;De 65 a 69 años;2013;0
Europa menos UE28;De 65 a 69 años;2012;0
Europa menos UE28;De 65 a 69 años;2011;2
Europa menos UE28;De 70 a 74 años  ;2023;""
Europa menos UE28;De 70 a 74 años  ;2022;""
Europa menos UE28;De 70 a 74 años  ;2021;""
Europa menos UE28;De 70 a 74 años  ;2020;""
Europa menos UE28;De 70 a 74 años  ;2019;1
Europa menos UE28;De 70 a 74 años  ;2018;2
Europa menos UE28;De 70 a 74 años  ;2017;1
Europa menos UE28;De 70 a 74 años  ;2016;2
Europa menos UE28;De 70 a 74 años  ;2015;2
Europa menos UE28;De 70 a 74 años  ;2014;0
Europa menos UE28;De 70 a 74 años  ;2013;0
Europa menos UE28;De 70 a 74 años  ;2012;0
Europa menos UE28;De 70 a 74 años  ;2011;0
Europa menos UE28;75 y más años;2023;""
Europa menos UE28;75 y más años;2022;""
Europa menos UE28;75 y más años;2021;""
Europa menos UE28;75 y más años;2020;""
Europa menos UE28;75 y más años;2019;1
Europa menos UE28;75 y más años;2018;1
Europa menos UE28;75 y más años;2017;0
Europa menos UE28;75 y más años;2016;1
Europa menos UE28;75 y más años;2015;0
Europa menos UE28;75 y más años;2014;0
Europa menos UE28;75 y más años;2013;1
Europa menos UE28;75 y más años;2012;0
Europa menos UE28;75 y más años;2011;1
Europa menos UE27_2020;Todas las edades;2023;1.188
Europa menos UE27_2020;Todas las edades;2022;1.036
Europa menos UE27_2020;Todas las edades;2021;843
Europa menos UE27_2020;Todas las edades;2020;812
Europa menos UE27_2020;Todas las edades;2019;""
Europa menos UE27_2020;Todas las edades;2018;""
Europa menos UE27_2020;Todas las edades;2017;""
Europa menos UE27_2020;Todas las edades;2016;""
Europa menos UE27_2020;Todas las edades;2015;""
Europa menos UE27_2020;Todas las edades;2014;""
Europa menos UE27_2020;Todas las edades;2013;""
Europa menos UE27_2020;Todas las edades;2012;""
Europa menos UE27_2020;Todas las edades;2011;""
Europa menos UE27_2020;Menos de 18 años;2023;4
Europa menos UE27_2020;Menos de 18 años;2022;8
Europa menos UE27_2020;Menos de 18 años;2021;7
Europa menos UE27_2020;Menos de 18 años;2020;3
Europa menos UE27_2020;Menos de 18 años;2019;""
Europa menos UE27_2020;Menos de 18 años;2018;""
Europa menos UE27_2020;Menos de 18 años;2017;""
Europa menos UE27_2020;Menos de 18 años;2016;""
Europa menos UE27_2020;Menos de 18 años;2015;""
Europa menos UE27_2020;Menos de 18 años;2014;""
Europa menos UE27_2020;Menos de 18 años;2013;""
Europa menos UE27_2020;Menos de 18 años;2012;""
Europa menos UE27_2020;Menos de 18 años;2011;""
Europa menos UE27_2020;De 18 a 19 años;2023;20
Europa menos UE27_2020;De 18 a 19 años;2022;20
Europa menos UE27_2020;De 18 a 19 años;2021;12
Europa menos UE27_2020;De 18 a 19 años;2020;9
Europa menos UE27_2020;De 18 a 19 años;2019;""
Europa menos UE27_2020;De 18 a 19 años;2018;""
Europa menos UE27_2020;De 18 a 19 años;2017;""
Europa menos UE27_2020;De 18 a 19 años;2016;""
Europa menos UE27_2020;De 18 a 19 años;2015;""
Europa menos UE27_2020;De 18 a 19 años;2014;""
Europa menos UE27_2020;De 18 a 19 años;2013;""
Europa menos UE27_2020;De 18 a 19 años;2012;""
Europa menos UE27_2020;De 18 a 19 años;2011;""
Europa menos UE27_2020;De 20 a 24 años;2023;87
Europa menos UE27_2020;De 20 a 24 años;2022;91
Europa menos UE27_2020;De 20 a 24 años;2021;65
Europa menos UE27_2020;De 20 a 24 años;2020;71
Europa menos UE27_2020;De 20 a 24 años;2019;""
Europa menos UE27_2020;De 20 a 24 años;2018;""
Europa menos UE27_2020;De 20 a 24 años;2017;""
Europa menos UE27_2020;De 20 a 24 años;2016;""
Europa menos UE27_2020;De 20 a 24 años;2015;""
Europa menos UE27_2020;De 20 a 24 años;2014;""
Europa menos UE27_2020;De 20 a 24 años;2013;""
Europa menos UE27_2020;De 20 a 24 años;2012;""
Europa menos UE27_2020;De 20 a 24 años;2011;""
Europa menos UE27_2020;De 25 a 29 años;2023;145
Europa menos UE27_2020;De 25 a 29 años;2022;109
Europa menos UE27_2020;De 25 a 29 años;2021;102
Europa menos UE27_2020;De 25 a 29 años;2020;85
Europa menos UE27_2020;De 25 a 29 años;2019;""
Europa menos UE27_2020;De 25 a 29 años;2018;""
Europa menos UE27_2020;De 25 a 29 años;2017;""
Europa menos UE27_2020;De 25 a 29 años;2016;""
Europa menos UE27_2020;De 25 a 29 años;2015;""
Europa menos UE27_2020;De 25 a 29 años;2014;""
Europa menos UE27_2020;De 25 a 29 años;2013;""
Europa menos UE27_2020;De 25 a 29 años;2012;""
Europa menos UE27_2020;De 25 a 29 años;2011;""
Europa menos UE27_2020;De 30 a 34 años;2023;184
Europa menos UE27_2020;De 30 a 34 años;2022;166
Europa menos UE27_2020;De 30 a 34 años;2021;123
Europa menos UE27_2020;De 30 a 34 años;2020;130
Europa menos UE27_2020;De 30 a 34 años;2019;""
Europa menos UE27_2020;De 30 a 34 años;2018;""
Europa menos UE27_2020;De 30 a 34 años;2017;""
Europa menos UE27_2020;De 30 a 34 años;2016;""
Europa menos UE27_2020;De 30 a 34 años;2015;""
Europa menos UE27_2020;De 30 a 34 años;2014;""
Europa menos UE27_2020;De 30 a 34 años;2013;""
Europa menos UE27_2020;De 30 a 34 años;2012;""
Europa menos UE27_2020;De 30 a 34 años;2011;""
Europa menos UE27_2020;De 35 a 39 años;2023;214
Europa menos UE27_2020;De 35 a 39 años;2022;186
Europa menos UE27_2020;De 35 a 39 años;2021;164
Europa menos UE27_2020;De 35 a 39 años;2020;164
Europa menos UE27_2020;De 35 a 39 años;2019;""
Europa menos UE27_2020;De 35 a 39 años;2018;""
Europa menos UE27_2020;De 35 a 39 años;2017;""
Europa menos UE27_2020;De 35 a 39 años;2016;""
Europa menos UE27_2020;De 35 a 39 años;2015;""
Europa menos UE27_2020;De 35 a 39 años;2014;""
Europa menos UE27_2020;De 35 a 39 años;2013;""
Europa menos UE27_2020;De 35 a 39 años;2012;""
Europa menos UE27_2020;De 35 a 39 años;2011;""
Europa menos UE27_2020;De 40 a 44 años;2023;221
Europa menos UE27_2020;De 40 a 44 años;2022;164
Europa menos UE27_2020;De 40 a 44 años;2021;153
Europa menos UE27_2020;De 40 a 44 años;2020;140
Europa menos UE27_2020;De 40 a 44 años;2019;""
Europa menos UE27_2020;De 40 a 44 años;2018;""
Europa menos UE27_2020;De 40 a 44 años;2017;""
Europa menos UE27_2020;De 40 a 44 años;2016;""
Europa menos UE27_2020;De 40 a 44 años;2015;""
Europa menos UE27_2020;De 40 a 44 años;2014;""
Europa menos UE27_2020;De 40 a 44 años;2013;""
Europa menos UE27_2020;De 40 a 44 años;2012;""
Europa menos UE27_2020;De 40 a 44 años;2011;""
Europa menos UE27_2020;De 45 a 49 años;2023;118
Europa menos UE27_2020;De 45 a 49 años;2022;113
Europa menos UE27_2020;De 45 a 49 años;2021;99
Europa menos UE27_2020;De 45 a 49 años;2020;98
Europa menos UE27_2020;De 45 a 49 años;2019;""
