Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Aragón;España;2013;419
Aragón;España;2012;408
Aragón;España;2011;449
Aragón;UE28 sin España;2023;""
Aragón;UE28 sin España;2022;""
Aragón;UE28 sin España;2021;""
Aragón;UE28 sin España;2020;""
Aragón;UE28 sin España;2019;149
Aragón;UE28 sin España;2018;160
Aragón;UE28 sin España;2017;140
Aragón;UE28 sin España;2016;133
Aragón;UE28 sin España;2015;130
Aragón;UE28 sin España;2014;132
Aragón;UE28 sin España;2013;134
Aragón;UE28 sin España;2012;138
Aragón;UE28 sin España;2011;181
Aragón;UE27_2020 sin España;2023;163
Aragón;UE27_2020 sin España;2022;126
Aragón;UE27_2020 sin España;2021;143
Aragón;UE27_2020 sin España;2020;141
Aragón;UE27_2020 sin España;2019;""
Aragón;UE27_2020 sin España;2018;""
Aragón;UE27_2020 sin España;2017;""
Aragón;UE27_2020 sin España;2016;""
Aragón;UE27_2020 sin España;2015;""
Aragón;UE27_2020 sin España;2014;""
Aragón;UE27_2020 sin España;2013;""
Aragón;UE27_2020 sin España;2012;""
Aragón;UE27_2020 sin España;2011;""
Aragón;Europa menos UE28;2023;""
Aragón;Europa menos UE28;2022;""
Aragón;Europa menos UE28;2021;""
Aragón;Europa menos UE28;2020;""
Aragón;Europa menos UE28;2019;5
Aragón;Europa menos UE28;2018;9
Aragón;Europa menos UE28;2017;7
Aragón;Europa menos UE28;2016;6
Aragón;Europa menos UE28;2015;10
Aragón;Europa menos UE28;2014;3
Aragón;Europa menos UE28;2013;2
Aragón;Europa menos UE28;2012;1
Aragón;Europa menos UE28;2011;3
Aragón;Europa menos UE27_2020;2023;8
Aragón;Europa menos UE27_2020;2022;10
Aragón;Europa menos UE27_2020;2021;3
Aragón;Europa menos UE27_2020;2020;5
Aragón;Europa menos UE27_2020;2019;""
Aragón;Europa menos UE27_2020;2018;""
Aragón;Europa menos UE27_2020;2017;""
Aragón;Europa menos UE27_2020;2016;""
Aragón;Europa menos UE27_2020;2015;""
Aragón;Europa menos UE27_2020;2014;""
Aragón;Europa menos UE27_2020;2013;""
Aragón;Europa menos UE27_2020;2012;""
Aragón;Europa menos UE27_2020;2011;""
