Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Comunitat Valenciana;Europa menos UE28;2020;""
Comunitat Valenciana;Europa menos UE28;2019;113
Comunitat Valenciana;Europa menos UE28;2018;101
Comunitat Valenciana;Europa menos UE28;2017;87
Comunitat Valenciana;Europa menos UE28;2016;68
Comunitat Valenciana;Europa menos UE28;2015;67
Comunitat Valenciana;Europa menos UE28;2014;60
Comunitat Valenciana;Europa menos UE28;2013;63
Comunitat Valenciana;Europa menos UE28;2012;61
Comunitat Valenciana;Europa menos UE28;2011;63
Comunitat Valenciana;Europa menos UE27_2020;2023;224
Comunitat Valenciana;Europa menos UE27_2020;2022;205
Comunitat Valenciana;Europa menos UE27_2020;2021;155
Comunitat Valenciana;Europa menos UE27_2020;2020;181
Comunitat Valenciana;Europa menos UE27_2020;2019;""
Comunitat Valenciana;Europa menos UE27_2020;2018;""
Comunitat Valenciana;Europa menos UE27_2020;2017;""
Comunitat Valenciana;Europa menos UE27_2020;2016;""
Comunitat Valenciana;Europa menos UE27_2020;2015;""
Comunitat Valenciana;Europa menos UE27_2020;2014;""
Comunitat Valenciana;Europa menos UE27_2020;2013;""
Comunitat Valenciana;Europa menos UE27_2020;2012;""
Comunitat Valenciana;Europa menos UE27_2020;2011;""
Comunitat Valenciana;África;2023;517
Comunitat Valenciana;África;2022;494
Comunitat Valenciana;África;2021;478
Comunitat Valenciana;África;2020;403
Comunitat Valenciana;África;2019;420
Comunitat Valenciana;África;2018;386
Comunitat Valenciana;África;2017;381
Comunitat Valenciana;África;2016;353
Comunitat Valenciana;África;2015;320
Comunitat Valenciana;África;2014;318
Comunitat Valenciana;África;2013;294
Comunitat Valenciana;África;2012;346
Comunitat Valenciana;África;2011;399
Comunitat Valenciana;América;2023;884
Comunitat Valenciana;América;2022;808
Comunitat Valenciana;América;2021;664
Comunitat Valenciana;América;2020;633
Comunitat Valenciana;América;2019;654
Comunitat Valenciana;América;2018;552
Comunitat Valenciana;América;2017;432
Comunitat Valenciana;América;2016;404
Comunitat Valenciana;América;2015;413
Comunitat Valenciana;América;2014;410
Comunitat Valenciana;América;2013;442
Comunitat Valenciana;América;2012;508
Comunitat Valenciana;América;2011;565
Comunitat Valenciana;Asia;2023;46
Comunitat Valenciana;Asia;2022;58
Comunitat Valenciana;Asia;2021;59
Comunitat Valenciana;Asia;2020;61
Comunitat Valenciana;Asia;2019;68
Comunitat Valenciana;Asia;2018;63
Comunitat Valenciana;Asia;2017;54
Comunitat Valenciana;Asia;2016;51
Comunitat Valenciana;Asia;2015;54
Comunitat Valenciana;Asia;2014;42
Comunitat Valenciana;Asia;2013;52
Comunitat Valenciana;Asia;2012;56
Comunitat Valenciana;Asia;2011;49
Comunitat Valenciana;Oceanía ;2023;0
Comunitat Valenciana;Oceanía ;2022;0
Comunitat Valenciana;Oceanía ;2021;1
Comunitat Valenciana;Oceanía ;2020;0
Comunitat Valenciana;Oceanía ;2019;2
Comunitat Valenciana;Oceanía ;2018;0
Comunitat Valenciana;Oceanía ;2017;0
Comunitat Valenciana;Oceanía ;2016;0
Comunitat Valenciana;Oceanía ;2015;0
Comunitat Valenciana;Oceanía ;2014;1
Comunitat Valenciana;Oceanía ;2013;4
Comunitat Valenciana;Oceanía ;2012;2
Comunitat Valenciana;Oceanía ;2011;6
Extremadura;Total;2023;1.063
Extremadura;Total;2022;868
Extremadura;Total;2021;690
Extremadura;Total;2020;638
Extremadura;Total;2019;728
Extremadura;Total;2018;707
Extremadura;Total;2017;721
Extremadura;Total;2016;745
Extremadura;Total;2015;703
Extremadura;Total;2014;724
Extremadura;Total;2013;756
Extremadura;Total;2012;748
Extremadura;Total;2011;777
Extremadura;Europa;2023;969
Extremadura;Europa;2022;805
Extremadura;Europa;2021;635
Extremadura;Europa;2020;589
Extremadura;Europa;2019;665
Extremadura;Europa;2018;665
Extremadura;Europa;2017;680
Extremadura;Europa;2016;705
Extremadura;Europa;2015;657
Extremadura;Europa;2014;677
Extremadura;Europa;2013;707
Extremadura;Europa;2012;690
Extremadura;Europa;2011;725
Extremadura;España;2023;923
Extremadura;España;2022;764
Extremadura;España;2021;590
Extremadura;España;2020;553
Extremadura;España;2019;607
Extremadura;España;2018;609
Extremadura;España;2017;630
Extremadura;España;2016;649
Extremadura;España;2015;601
Extremadura;España;2014;626
Extremadura;España;2013;663
Extremadura;España;2012;630
Extremadura;España;2011;664
Extremadura;UE28 sin España;2023;""
Extremadura;UE28 sin España;2022;""
Extremadura;UE28 sin España;2021;""
Extremadura;UE28 sin España;2020;""
Extremadura;UE28 sin España;2019;58
Extremadura;UE28 sin España;2018;56
Extremadura;UE28 sin España;2017;48
Extremadura;UE28 sin España;2016;53
Extremadura;UE28 sin España;2015;55
Extremadura;UE28 sin España;2014;51
Extremadura;UE28 sin España;2013;43
Extremadura;UE28 sin España;2012;60
Extremadura;UE28 sin España;2011;59
Extremadura;UE27_2020 sin España;2023;45
Extremadura;UE27_2020 sin España;2022;39
Extremadura;UE27_2020 sin España;2021;45
Extremadura;UE27_2020 sin España;2020;33
Extremadura;UE27_2020 sin España;2019;""
Extremadura;UE27_2020 sin España;2018;""
Extremadura;UE27_2020 sin España;2017;""
Extremadura;UE27_2020 sin España;2016;""
Extremadura;UE27_2020 sin España;2015;""
Extremadura;UE27_2020 sin España;2014;""
Extremadura;UE27_2020 sin España;2013;""
Extremadura;UE27_2020 sin España;2012;""
Extremadura;UE27_2020 sin España;2011;""
Extremadura;Europa menos UE28;2023;""
Extremadura;Europa menos UE28;2022;""
Extremadura;Europa menos UE28;2021;""
Extremadura;Europa menos UE28;2020;""
Extremadura;Europa menos UE28;2019;0
Extremadura;Europa menos UE28;2018;0
Extremadura;Europa menos UE28;2017;2
Extremadura;Europa menos UE28;2016;3
Extremadura;Europa menos UE28;2015;1
Extremadura;Europa menos UE28;2014;0
Extremadura;Europa menos UE28;2013;1
Extremadura;Europa menos UE28;2012;0
Extremadura;Europa menos UE28;2011;2
Extremadura;Europa menos UE27_2020;2023;1
Extremadura;Europa menos UE27_2020;2022;2
Extremadura;Europa menos UE27_2020;2021;0
Extremadura;Europa menos UE27_2020;2020;3
Extremadura;Europa menos UE27_2020;2019;""
Extremadura;Europa menos UE27_2020;2018;""
Extremadura;Europa menos UE27_2020;2017;""
Extremadura;Europa menos UE27_2020;2016;""
Extremadura;Europa menos UE27_2020;2015;""
Extremadura;Europa menos UE27_2020;2014;""
Extremadura;Europa menos UE27_2020;2013;""
Extremadura;Europa menos UE27_2020;2012;""
Extremadura;Europa menos UE27_2020;2011;""
Extremadura;África;2023;41
Extremadura;África;2022;23
Extremadura;África;2021;26
Extremadura;África;2020;26
Extremadura;África;2019;35
Extremadura;África;2018;20
Extremadura;África;2017;14
Extremadura;África;2016;26
Extremadura;África;2015;28
Extremadura;África;2014;28
Extremadura;África;2013;31
Extremadura;África;2012;27
Extremadura;África;2011;24
Extremadura;América;2023;46
Extremadura;América;2022;39
Extremadura;América;2021;28
Extremadura;América;2020;21
Extremadura;América;2019;26
Extremadura;América;2018;20
Extremadura;América;2017;25
Extremadura;América;2016;13
Extremadura;América;2015;17
Extremadura;América;2014;18
Extremadura;América;2013;16
Extremadura;América;2012;25
Extremadura;América;2011;25
Extremadura;Asia;2023;7
Extremadura;Asia;2022;1
Extremadura;Asia;2021;1
Extremadura;Asia;2020;2
Extremadura;Asia;2019;2
Extremadura;Asia;2018;1
Extremadura;Asia;2017;2
Extremadura;Asia;2016;1
Extremadura;Asia;2015;1
Extremadura;Asia;2014;1
Extremadura;Asia;2013;2
Extremadura;Asia;2012;6
Extremadura;Asia;2011;3
Extremadura;Oceanía ;2023;0
Extremadura;Oceanía ;2022;0
Extremadura;Oceanía ;2021;0
Extremadura;Oceanía ;2020;0
Extremadura;Oceanía ;2019;0
Extremadura;Oceanía ;2018;1
Extremadura;Oceanía ;2017;0
Extremadura;Oceanía ;2016;0
Extremadura;Oceanía ;2015;0
Extremadura;Oceanía ;2014;0
Extremadura;Oceanía ;2013;0
Extremadura;Oceanía ;2012;0
Extremadura;Oceanía ;2011;0
Galicia;Total;2023;1.460
Galicia;Total;2022;1.349
Galicia;Total;2021;1.206
Galicia;Total;2020;1.178
Galicia;Total;2019;1.341
Galicia;Total;2018;1.298
Galicia;Total;2017;1.251
Galicia;Total;2016;1.283
Galicia;Total;2015;1.190
Galicia;Total;2014;1.214
Galicia;Total;2013;1.255
Galicia;Total;2012;1.291
Galicia;Total;2011;1.370
Galicia;Europa;2023;1.137
Galicia;Europa;2022;1.131
Galicia;Europa;2021;1.011
Galicia;Europa;2020;991
Galicia;Europa;2019;1.138
Galicia;Europa;2018;1.087
Galicia;Europa;2017;1.078
Galicia;Europa;2016;1.124
Galicia;Europa;2015;1.062
Galicia;Europa;2014;1.078
Galicia;Europa;2013;1.114
Galicia;Europa;2012;1.141
Galicia;Europa;2011;1.200
Galicia;España;2023;1.035
Galicia;España;2022;1.028
Galicia;España;2021;928
Galicia;España;2020;911
Galicia;España;2019;1.052
Galicia;España;2018;982
Galicia;España;2017;983
Galicia;España;2016;1.032
Galicia;España;2015;952
Galicia;España;2014;996
Galicia;España;2013;1.017
Galicia;España;2012;1.032
Galicia;España;2011;1.099
Galicia;UE28 sin España;2023;""
Galicia;UE28 sin España;2022;""
Galicia;UE28 sin España;2021;""
Galicia;UE28 sin España;2020;""
Galicia;UE28 sin España;2019;69
Galicia;UE28 sin España;2018;91
Galicia;UE28 sin España;2017;85
Galicia;UE28 sin España;2016;75
Galicia;UE28 sin España;2015;93
Galicia;UE28 sin España;2014;69
Galicia;UE28 sin España;2013;88
Galicia;UE28 sin España;2012;98
Galicia;UE28 sin España;2011;89
Galicia;UE27_2020 sin España;2023;77
Galicia;UE27_2020 sin España;2022;84
Galicia;UE27_2020 sin España;2021;63
Galicia;UE27_2020 sin España;2020;66
Galicia;UE27_2020 sin España;2019;""
Galicia;UE27_2020 sin España;2018;""
Galicia;UE27_2020 sin España;2017;""
Galicia;UE27_2020 sin España;2016;""
Galicia;UE27_2020 sin España;2015;""
Galicia;UE27_2020 sin España;2014;""
Galicia;UE27_2020 sin España;2013;""
Galicia;UE27_2020 sin España;2012;""
Galicia;UE27_2020 sin España;2011;""
Galicia;Europa menos UE28;2023;""
Galicia;Europa menos UE28;2022;""
Galicia;Europa menos UE28;2021;""
Galicia;Europa menos UE28;2020;""
Galicia;Europa menos UE28;2019;17
Galicia;Europa menos UE28;2018;14
Galicia;Europa menos UE28;2017;10
Galicia;Europa menos UE28;2016;17
Galicia;Europa menos UE28;2015;17
Galicia;Europa menos UE28;2014;13
Galicia;Europa menos UE28;2013;9
Galicia;Europa menos UE28;2012;11
Galicia;Europa menos UE28;2011;12
Galicia;Europa menos UE27_2020;2023;25
Galicia;Europa menos UE27_2020;2022;19
Galicia;Europa menos UE27_2020;2021;20
Galicia;Europa menos UE27_2020;2020;14
Galicia;Europa menos UE27_2020;2019;""
Galicia;Europa menos UE27_2020;2018;""
Galicia;Europa menos UE27_2020;2017;""
Galicia;Europa menos UE27_2020;2016;""
Galicia;Europa menos UE27_2020;2015;""
Galicia;Europa menos UE27_2020;2014;""
Galicia;Europa menos UE27_2020;2013;""
Galicia;Europa menos UE27_2020;2012;""
Galicia;Europa menos UE27_2020;2011;""
Galicia;África;2023;61
Galicia;África;2022;54
Galicia;África;2021;47
Galicia;África;2020;45
Galicia;África;2019;45
Galicia;África;2018;53
Galicia;África;2017;31
Galicia;África;2016;42
Galicia;África;2015;28
Galicia;África;2014;30
Galicia;África;2013;34
Galicia;África;2012;39
Galicia;África;2011;58
Galicia;América;2023;254
Galicia;América;2022;162
Galicia;América;2021;144
Galicia;América;2020;141
Galicia;América;2019;154
Galicia;América;2018;156
Galicia;América;2017;135
Galicia;América;2016;109
Galicia;América;2015;99
Galicia;América;2014;103
Galicia;América;2013;105
Galicia;América;2012;107
Galicia;América;2011;109
Galicia;Asia;2023;8
Galicia;Asia;2022;2
Galicia;Asia;2021;4
Galicia;Asia;2020;1
Galicia;Asia;2019;4
Galicia;Asia;2018;2
Galicia;Asia;2017;5
Galicia;Asia;2016;6
Galicia;Asia;2015;1
Galicia;Asia;2014;2
Galicia;Asia;2013;2
Galicia;Asia;2012;4
Galicia;Asia;2011;3
Galicia;Oceanía ;2023;0
Galicia;Oceanía ;2022;0
Galicia;Oceanía ;2021;0
Galicia;Oceanía ;2020;0
Galicia;Oceanía ;2019;0
Galicia;Oceanía ;2018;0
Galicia;Oceanía ;2017;2
Galicia;Oceanía ;2016;2
Galicia;Oceanía ;2015;0
Galicia;Oceanía ;2014;1
Galicia;Oceanía ;2013;0
Galicia;Oceanía ;2012;0
Galicia;Oceanía ;2011;0
Madrid, Comunidad de;Total;2023;3.365
Madrid, Comunidad de;Total;2022;3.106
Madrid, Comunidad de;Total;2021;3.337
Madrid, Comunidad de;Total;2020;3.147
Madrid, Comunidad de;Total;2019;3.611
Madrid, Comunidad de;Total;2018;3.656
Madrid, Comunidad de;Total;2017;3.565
Madrid, Comunidad de;Total;2016;3.178
Madrid, Comunidad de;Total;2015;2.863
Madrid, Comunidad de;Total;2014;2.952
Madrid, Comunidad de;Total;2013;3.027
Madrid, Comunidad de;Total;2012;3.415
Madrid, Comunidad de;Total;2011;4.072
Madrid, Comunidad de;Europa;2023;1.845
Madrid, Comunidad de;Europa;2022;1.804
Madrid, Comunidad de;Europa;2021;1.916
Madrid, Comunidad de;Europa;2020;1.852
Madrid, Comunidad de;Europa;2019;2.188
Madrid, Comunidad de;Europa;2018;2.249
Madrid, Comunidad de;Europa;2017;2.324
Madrid, Comunidad de;Europa;2016;2.172
Madrid, Comunidad de;Europa;2015;1.945
Madrid, Comunidad de;Europa;2014;2.025
Madrid, Comunidad de;Europa;2013;2.086
Madrid, Comunidad de;Europa;2012;2.253
Madrid, Comunidad de;Europa;2011;2.628
Madrid, Comunidad de;España;2023;1.532
Madrid, Comunidad de;España;2022;1.471
Madrid, Comunidad de;España;2021;1.539
Madrid, Comunidad de;España;2020;1.479
Madrid, Comunidad de;España;2019;1.706
Madrid, Comunidad de;España;2018;1.797
Madrid, Comunidad de;España;2017;1.850
Madrid, Comunidad de;España;2016;1.742
Madrid, Comunidad de;España;2015;1.530
Madrid, Comunidad de;España;2014;1.594
Madrid, Comunidad de;España;2013;1.610
Madrid, Comunidad de;España;2012;1.718
Madrid, Comunidad de;España;2011;2.002
Madrid, Comunidad de;UE28 sin España;2023;""
Madrid, Comunidad de;UE28 sin España;2022;""
Madrid, Comunidad de;UE28 sin España;2021;""
Madrid, Comunidad de;UE28 sin España;2020;""
Madrid, Comunidad de;UE28 sin España;2019;433
Madrid, Comunidad de;UE28 sin España;2018;403
Madrid, Comunidad de;UE28 sin España;2017;424
Madrid, Comunidad de;UE28 sin España;2016;396
Madrid, Comunidad de;UE28 sin España;2015;375
Madrid, Comunidad de;UE28 sin España;2014;388
Madrid, Comunidad de;UE28 sin España;2013;433
Madrid, Comunidad de;UE28 sin España;2012;493
Madrid, Comunidad de;UE28 sin España;2011;587
Madrid, Comunidad de;UE27_2020 sin España;2023;260
Madrid, Comunidad de;UE27_2020 sin España;2022;275
Madrid, Comunidad de;UE27_2020 sin España;2021;317
Madrid, Comunidad de;UE27_2020 sin España;2020;323
Madrid, Comunidad de;UE27_2020 sin España;2019;""
Madrid, Comunidad de;UE27_2020 sin España;2018;""
Madrid, Comunidad de;UE27_2020 sin España;2017;""
Madrid, Comunidad de;UE27_2020 sin España;2016;""
Madrid, Comunidad de;UE27_2020 sin España;2015;""
Madrid, Comunidad de;UE27_2020 sin España;2014;""
Madrid, Comunidad de;UE27_2020 sin España;2013;""
Madrid, Comunidad de;UE27_2020 sin España;2012;""
Madrid, Comunidad de;UE27_2020 sin España;2011;""
Madrid, Comunidad de;Europa menos UE28;2023;""
Madrid, Comunidad de;Europa menos UE28;2022;""
Madrid, Comunidad de;Europa menos UE28;2021;""
Madrid, Comunidad de;Europa menos UE28;2020;""
Madrid, Comunidad de;Europa menos UE28;2019;49
Madrid, Comunidad de;Europa menos UE28;2018;49
Madrid, Comunidad de;Europa menos UE28;2017;50
Madrid, Comunidad de;Europa menos UE28;2016;34
Madrid, Comunidad de;Europa menos UE28;2015;40
Madrid, Comunidad de;Europa menos UE28;2014;43
Madrid, Comunidad de;Europa menos UE28;2013;43
Madrid, Comunidad de;Europa menos UE28;2012;42
Madrid, Comunidad de;Europa menos UE28;2011;39
Madrid, Comunidad de;Europa menos UE27_2020;2023;53
Madrid, Comunidad de;Europa menos UE27_2020;2022;58
Madrid, Comunidad de;Europa menos UE27_2020;2021;60
Madrid, Comunidad de;Europa menos UE27_2020;2020;50
Madrid, Comunidad de;Europa menos UE27_2020;2019;""
Madrid, Comunidad de;Europa menos UE27_2020;2018;""
Madrid, Comunidad de;Europa menos UE27_2020;2017;""
Madrid, Comunidad de;Europa menos UE27_2020;2016;""
Madrid, Comunidad de;Europa menos UE27_2020;2015;""
Madrid, Comunidad de;Europa menos UE27_2020;2014;""
Madrid, Comunidad de;Europa menos UE27_2020;2013;""
Madrid, Comunidad de;Europa menos UE27_2020;2012;""
Madrid, Comunidad de;Europa menos UE27_2020;2011;""
Madrid, Comunidad de;África;2023;303
Madrid, Comunidad de;África;2022;259
Madrid, Comunidad de;África;2021;299
Madrid, Comunidad de;África;2020;271
Madrid, Comunidad de;África;2019;299
Madrid, Comunidad de;África;2018;336
Madrid, Comunidad de;África;2017;304
Madrid, Comunidad de;África;2016;270
Madrid, Comunidad de;África;2015;240
Madrid, Comunidad de;África;2014;263
Madrid, Comunidad de;África;2013;252
Madrid, Comunidad de;África;2012;263
Madrid, Comunidad de;África;2011;311
Madrid, Comunidad de;América;2023;1.162
Madrid, Comunidad de;América;2022;1.003
Madrid, Comunidad de;América;2021;1.082
Madrid, Comunidad de;América;2020;970
Madrid, Comunidad de;América;2019;1.052
Madrid, Comunidad de;América;2018;1.018
Madrid, Comunidad de;América;2017;861
Madrid, Comunidad de;América;2016;695
Madrid, Comunidad de;América;2015;632
Madrid, Comunidad de;América;2014;615
Madrid, Comunidad de;América;2013;637
Madrid, Comunidad de;América;2012;844
Madrid, Comunidad de;América;2011;1.088
Madrid, Comunidad de;Asia;2023;54
Madrid, Comunidad de;Asia;2022;39
Madrid, Comunidad de;Asia;2021;39
Madrid, Comunidad de;Asia;2020;54
Madrid, Comunidad de;Asia;2019;71
Madrid, Comunidad de;Asia;2018;51
Madrid, Comunidad de;Asia;2017;76
Madrid, Comunidad de;Asia;2016;40
Madrid, Comunidad de;Asia;2015;45
Madrid, Comunidad de;Asia;2014;49
Madrid, Comunidad de;Asia;2013;47
Madrid, Comunidad de;Asia;2012;52
Madrid, Comunidad de;Asia;2011;43
Madrid, Comunidad de;Oceanía ;2023;1
Madrid, Comunidad de;Oceanía ;2022;1
Madrid, Comunidad de;Oceanía ;2021;1
Madrid, Comunidad de;Oceanía ;2020;0
Madrid, Comunidad de;Oceanía ;2019;1
Madrid, Comunidad de;Oceanía ;2018;2
Madrid, Comunidad de;Oceanía ;2017;0
Madrid, Comunidad de;Oceanía ;2016;1
Madrid, Comunidad de;Oceanía ;2015;1
Madrid, Comunidad de;Oceanía ;2014;0
Madrid, Comunidad de;Oceanía ;2013;5
Madrid, Comunidad de;Oceanía ;2012;3
Madrid, Comunidad de;Oceanía ;2011;2
Murcia, Región de;Total;2023;1.735
Murcia, Región de;Total;2022;1.482
Murcia, Región de;Total;2021;1.498
Murcia, Región de;Total;2020;1.334
Murcia, Región de;Total;2019;1.409
Murcia, Región de;Total;2018;1.360
Murcia, Región de;Total;2017;1.149
Murcia, Región de;Total;2016;1.164
Murcia, Región de;Total;2015;1.138
Murcia, Región de;Total;2014;1.104
Murcia, Región de;Total;2013;1.122
Murcia, Región de;Total;2012;1.183
Murcia, Región de;Total;2011;1.294
Murcia, Región de;Europa;2023;1.079
Murcia, Región de;Europa;2022;958
Murcia, Región de;Europa;2021;960
Murcia, Región de;Europa;2020;906
Murcia, Región de;Europa;2019;943
Murcia, Región de;Europa;2018;943
Murcia, Región de;Europa;2017;835
Murcia, Región de;Europa;2016;839
Murcia, Región de;Europa;2015;780
Murcia, Región de;Europa;2014;776
Murcia, Región de;Europa;2013;788
Murcia, Región de;Europa;2012;798
Murcia, Región de;Europa;2011;879
Murcia, Región de;España;2023;969
Murcia, Región de;España;2022;856
Murcia, Región de;España;2021;871
Murcia, Región de;España;2020;815
Murcia, Región de;España;2019;852
Murcia, Región de;España;2018;861
Murcia, Región de;España;2017;743
Murcia, Región de;España;2016;755
Murcia, Región de;España;2015;709
Murcia, Región de;España;2014;709
Murcia, Región de;España;2013;722
Murcia, Región de;España;2012;722
Murcia, Región de;España;2011;782
Murcia, Región de;UE28 sin España;2023;""
Murcia, Región de;UE28 sin España;2022;""
Murcia, Región de;UE28 sin España;2021;""
Murcia, Región de;UE28 sin España;2020;""
Murcia, Región de;UE28 sin España;2019;75
Murcia, Región de;UE28 sin España;2018;75
Murcia, Región de;UE28 sin España;2017;78
Murcia, Región de;UE28 sin España;2016;77
Murcia, Región de;UE28 sin España;2015;64
Murcia, Región de;UE28 sin España;2014;64
Murcia, Región de;UE28 sin España;2013;54
Murcia, Región de;UE28 sin España;2012;61
Murcia, Región de;UE28 sin España;2011;81
Murcia, Región de;UE27_2020 sin España;2023;72
Murcia, Región de;UE27_2020 sin España;2022;73
Murcia, Región de;UE27_2020 sin España;2021;66
Murcia, Región de;UE27_2020 sin España;2020;65
Murcia, Región de;UE27_2020 sin España;2019;""
Murcia, Región de;UE27_2020 sin España;2018;""
Murcia, Región de;UE27_2020 sin España;2017;""
Murcia, Región de;UE27_2020 sin España;2016;""
Murcia, Región de;UE27_2020 sin España;2015;""
Murcia, Región de;UE27_2020 sin España;2014;""
Murcia, Región de;UE27_2020 sin España;2013;""
Murcia, Región de;UE27_2020 sin España;2012;""
Murcia, Región de;UE27_2020 sin España;2011;""
Murcia, Región de;Europa menos UE28;2023;""
Murcia, Región de;Europa menos UE28;2022;""
Murcia, Región de;Europa menos UE28;2021;""
Murcia, Región de;Europa menos UE28;2020;""
Murcia, Región de;Europa menos UE28;2019;16
Murcia, Región de;Europa menos UE28;2018;7
Murcia, Región de;Europa menos UE28;2017;14
Murcia, Región de;Europa menos UE28;2016;7
Murcia, Región de;Europa menos UE28;2015;7
Murcia, Región de;Europa menos UE28;2014;3
Murcia, Región de;Europa menos UE28;2013;12
Murcia, Región de;Europa menos UE28;2012;15
Murcia, Región de;Europa menos UE28;2011;16
Murcia, Región de;Europa menos UE27_2020;2023;38
Murcia, Región de;Europa menos UE27_2020;2022;29
Murcia, Región de;Europa menos UE27_2020;2021;23
Murcia, Región de;Europa menos UE27_2020;2020;26
Murcia, Región de;Europa menos UE27_2020;2019;""
Murcia, Región de;Europa menos UE27_2020;2018;""
Murcia, Región de;Europa menos UE27_2020;2017;""
Murcia, Región de;Europa menos UE27_2020;2016;""
Murcia, Región de;Europa menos UE27_2020;2015;""
Murcia, Región de;Europa menos UE27_2020;2014;""
Murcia, Región de;Europa menos UE27_2020;2013;""
Murcia, Región de;Europa menos UE27_2020;2012;""
Murcia, Región de;Europa menos UE27_2020;2011;""
Murcia, Región de;África;2023;314
Murcia, Región de;África;2022;252
Murcia, Región de;África;2021;266
Murcia, Región de;África;2020;228
Murcia, Región de;África;2019;219
Murcia, Región de;África;2018;179
Murcia, Región de;África;2017;149
Murcia, Región de;África;2016;158
Murcia, Región de;África;2015;166
Murcia, Región de;África;2014;156
Murcia, Región de;África;2013;128
Murcia, Región de;África;2012;140
Murcia, Región de;África;2011;145
Murcia, Región de;América;2023;340
Murcia, Región de;América;2022;268
Murcia, Región de;América;2021;261
Murcia, Región de;América;2020;195
Murcia, Región de;América;2019;240
Murcia, Región de;América;2018;232
Murcia, Región de;América;2017;164
Murcia, Región de;América;2016;162
Murcia, Región de;América;2015;186
Murcia, Región de;América;2014;171
Murcia, Región de;América;2013;198
Murcia, Región de;América;2012;240
Murcia, Región de;América;2011;266
Murcia, Región de;Asia;2023;2
Murcia, Región de;Asia;2022;4
Murcia, Región de;Asia;2021;11
Murcia, Región de;Asia;2020;5
Murcia, Región de;Asia;2019;7
Murcia, Región de;Asia;2018;6
Murcia, Región de;Asia;2017;1
Murcia, Región de;Asia;2016;5
Murcia, Región de;Asia;2015;6
Murcia, Región de;Asia;2014;1
Murcia, Región de;Asia;2013;8
Murcia, Región de;Asia;2012;4
Murcia, Región de;Asia;2011;3
Murcia, Región de;Oceanía ;2023;0
Murcia, Región de;Oceanía ;2022;0
Murcia, Región de;Oceanía ;2021;0
Murcia, Región de;Oceanía ;2020;0
Murcia, Región de;Oceanía ;2019;0
Murcia, Región de;Oceanía ;2018;0
Murcia, Región de;Oceanía ;2017;0
Murcia, Región de;Oceanía ;2016;0
Murcia, Región de;Oceanía ;2015;0
Murcia, Región de;Oceanía ;2014;0
Murcia, Región de;Oceanía ;2013;0
Murcia, Región de;Oceanía ;2012;1
Murcia, Región de;Oceanía ;2011;1
Navarra, Comunidad Foral de;Total;2023;398
Navarra, Comunidad Foral de;Total;2022;339
Navarra, Comunidad Foral de;Total;2021;297
Navarra, Comunidad Foral de;Total;2020;290
Navarra, Comunidad Foral de;Total;2019;330
Navarra, Comunidad Foral de;Total;2018;310
Navarra, Comunidad Foral de;Total;2017;298
Navarra, Comunidad Foral de;Total;2016;379
Navarra, Comunidad Foral de;Total;2015;344
Navarra, Comunidad Foral de;Total;2014;316
Navarra, Comunidad Foral de;Total;2013;316
Navarra, Comunidad Foral de;Total;2012;306
Navarra, Comunidad Foral de;Total;2011;363
Navarra, Comunidad Foral de;Europa;2023;197
Navarra, Comunidad Foral de;Europa;2022;188
Navarra, Comunidad Foral de;Europa;2021;164
Navarra, Comunidad Foral de;Europa;2020;174
Navarra, Comunidad Foral de;Europa;2019;185
Navarra, Comunidad Foral de;Europa;2018;174
Navarra, Comunidad Foral de;Europa;2017;181
Navarra, Comunidad Foral de;Europa;2016;234
Navarra, Comunidad Foral de;Europa;2015;207
Navarra, Comunidad Foral de;Europa;2014;209
Navarra, Comunidad Foral de;Europa;2013;184
Navarra, Comunidad Foral de;Europa;2012;175
Navarra, Comunidad Foral de;Europa;2011;201
Navarra, Comunidad Foral de;España;2023;167
Navarra, Comunidad Foral de;España;2022;158
Navarra, Comunidad Foral de;España;2021;139
Navarra, Comunidad Foral de;España;2020;136
Navarra, Comunidad Foral de;España;2019;149
Navarra, Comunidad Foral de;España;2018;138
Navarra, Comunidad Foral de;España;2017;148
Navarra, Comunidad Foral de;España;2016;185
Navarra, Comunidad Foral de;España;2015;167
Navarra, Comunidad Foral de;España;2014;160
Navarra, Comunidad Foral de;España;2013;142
Navarra, Comunidad Foral de;España;2012;144
Navarra, Comunidad Foral de;España;2011;166
Navarra, Comunidad Foral de;UE28 sin España;2023;""
Navarra, Comunidad Foral de;UE28 sin España;2022;""
Navarra, Comunidad Foral de;UE28 sin España;2021;""
Navarra, Comunidad Foral de;UE28 sin España;2020;""
Navarra, Comunidad Foral de;UE28 sin España;2019;31
Navarra, Comunidad Foral de;UE28 sin España;2018;30
Navarra, Comunidad Foral de;UE28 sin España;2017;28
Navarra, Comunidad Foral de;UE28 sin España;2016;43
Navarra, Comunidad Foral de;UE28 sin España;2015;37
Navarra, Comunidad Foral de;UE28 sin España;2014;45
Navarra, Comunidad Foral de;UE28 sin España;2013;37
Navarra, Comunidad Foral de;UE28 sin España;2012;27
Navarra, Comunidad Foral de;UE28 sin España;2011;33
Navarra, Comunidad Foral de;UE27_2020 sin España;2023;18
Navarra, Comunidad Foral de;UE27_2020 sin España;2022;22
Navarra, Comunidad Foral de;UE27_2020 sin España;2021;21
