Penas y medidas;Comunidades y ciudades autónomas;Periodo;Total
Responsabilidad civil;Canarias;2020;351
Responsabilidad civil;Canarias;2019;432
Responsabilidad civil;Canarias;2018;395
Responsabilidad civil;Canarias;2017;349
Responsabilidad civil;Canarias;2016;349
Responsabilidad civil;Canarias;2015;346
Responsabilidad civil;Cantabria;2023;""
Responsabilidad civil;Cantabria;2022;122
Responsabilidad civil;Cantabria;2021;102
Responsabilidad civil;Cantabria;2020;97
Responsabilidad civil;Cantabria;2019;118
Responsabilidad civil;Cantabria;2018;121
Responsabilidad civil;Cantabria;2017;81
Responsabilidad civil;Cantabria;2016;79
Responsabilidad civil;Cantabria;2015;91
Responsabilidad civil;Castilla y León;2023;""
Responsabilidad civil;Castilla y León;2022;255
Responsabilidad civil;Castilla y León;2021;242
Responsabilidad civil;Castilla y León;2020;132
Responsabilidad civil;Castilla y León;2019;195
Responsabilidad civil;Castilla y León;2018;173
Responsabilidad civil;Castilla y León;2017;160
Responsabilidad civil;Castilla y León;2016;178
Responsabilidad civil;Castilla y León;2015;184
Responsabilidad civil;Castilla - La Mancha;2023;""
Responsabilidad civil;Castilla - La Mancha;2022;179
Responsabilidad civil;Castilla - La Mancha;2021;199
Responsabilidad civil;Castilla - La Mancha;2020;127
Responsabilidad civil;Castilla - La Mancha;2019;172
Responsabilidad civil;Castilla - La Mancha;2018;158
Responsabilidad civil;Castilla - La Mancha;2017;152
Responsabilidad civil;Castilla - La Mancha;2016;129
Responsabilidad civil;Castilla - La Mancha;2015;146
Responsabilidad civil;Cataluña;2023;""
Responsabilidad civil;Cataluña;2022;835
Responsabilidad civil;Cataluña;2021;840
Responsabilidad civil;Cataluña;2020;604
Responsabilidad civil;Cataluña;2019;664
Responsabilidad civil;Cataluña;2018;582
Responsabilidad civil;Cataluña;2017;552
Responsabilidad civil;Cataluña;2016;627
Responsabilidad civil;Cataluña;2015;633
Responsabilidad civil;Comunitat Valenciana;2023;""
Responsabilidad civil;Comunitat Valenciana;2022;1.168
Responsabilidad civil;Comunitat Valenciana;2021;985
Responsabilidad civil;Comunitat Valenciana;2020;755
Responsabilidad civil;Comunitat Valenciana;2019;891
Responsabilidad civil;Comunitat Valenciana;2018;722
Responsabilidad civil;Comunitat Valenciana;2017;721
Responsabilidad civil;Comunitat Valenciana;2016;622
Responsabilidad civil;Comunitat Valenciana;2015;598
Responsabilidad civil;Extremadura;2023;""
Responsabilidad civil;Extremadura;2022;153
Responsabilidad civil;Extremadura;2021;144
Responsabilidad civil;Extremadura;2020;87
Responsabilidad civil;Extremadura;2019;102
Responsabilidad civil;Extremadura;2018;105
Responsabilidad civil;Extremadura;2017;106
Responsabilidad civil;Extremadura;2016;88
Responsabilidad civil;Extremadura;2015;102
Responsabilidad civil;Galicia;2023;""
Responsabilidad civil;Galicia;2022;513
Responsabilidad civil;Galicia;2021;524
Responsabilidad civil;Galicia;2020;367
Responsabilidad civil;Galicia;2019;372
Responsabilidad civil;Galicia;2018;320
Responsabilidad civil;Galicia;2017;358
Responsabilidad civil;Galicia;2016;301
Responsabilidad civil;Galicia;2015;299
Responsabilidad civil;Madrid, Comunidad de;2023;""
Responsabilidad civil;Madrid, Comunidad de;2022;507
Responsabilidad civil;Madrid, Comunidad de;2021;444
Responsabilidad civil;Madrid, Comunidad de;2020;315
Responsabilidad civil;Madrid, Comunidad de;2019;387
Responsabilidad civil;Madrid, Comunidad de;2018;354
Responsabilidad civil;Madrid, Comunidad de;2017;385
Responsabilidad civil;Madrid, Comunidad de;2016;369
Responsabilidad civil;Madrid, Comunidad de;2015;367
Responsabilidad civil;Murcia, Región de;2023;""
Responsabilidad civil;Murcia, Región de;2022;344
Responsabilidad civil;Murcia, Región de;2021;332
Responsabilidad civil;Murcia, Región de;2020;166
Responsabilidad civil;Murcia, Región de;2019;265
Responsabilidad civil;Murcia, Región de;2018;197
Responsabilidad civil;Murcia, Región de;2017;171
Responsabilidad civil;Murcia, Región de;2016;143
Responsabilidad civil;Murcia, Región de;2015;147
Responsabilidad civil;Navarra, Comunidad Foral de;2023;""
Responsabilidad civil;Navarra, Comunidad Foral de;2022;140
Responsabilidad civil;Navarra, Comunidad Foral de;2021;101
Responsabilidad civil;Navarra, Comunidad Foral de;2020;75
Responsabilidad civil;Navarra, Comunidad Foral de;2019;116
Responsabilidad civil;Navarra, Comunidad Foral de;2018;65
Responsabilidad civil;Navarra, Comunidad Foral de;2017;78
Responsabilidad civil;Navarra, Comunidad Foral de;2016;55
Responsabilidad civil;Navarra, Comunidad Foral de;2015;62
Responsabilidad civil;País Vasco;2023;""
Responsabilidad civil;País Vasco;2022;293
Responsabilidad civil;País Vasco;2021;0
Responsabilidad civil;País Vasco;2020;0
Responsabilidad civil;País Vasco;2019;0
Responsabilidad civil;País Vasco;2018;0
Responsabilidad civil;País Vasco;2017;0
Responsabilidad civil;País Vasco;2016;0
Responsabilidad civil;País Vasco;2015;0
Responsabilidad civil;Rioja, La;2023;""
Responsabilidad civil;Rioja, La;2022;92
Responsabilidad civil;Rioja, La;2021;75
Responsabilidad civil;Rioja, La;2020;61
Responsabilidad civil;Rioja, La;2019;85
Responsabilidad civil;Rioja, La;2018;69
Responsabilidad civil;Rioja, La;2017;62
Responsabilidad civil;Rioja, La;2016;45
Responsabilidad civil;Rioja, La;2015;39
Responsabilidad civil;Ceuta;2023;""
Responsabilidad civil;Ceuta;2022;26
Responsabilidad civil;Ceuta;2021;23
Responsabilidad civil;Ceuta;2020;15
Responsabilidad civil;Ceuta;2019;11
Responsabilidad civil;Ceuta;2018;8
Responsabilidad civil;Ceuta;2017;8
Responsabilidad civil;Ceuta;2016;6
Responsabilidad civil;Ceuta;2015;0
Responsabilidad civil;Melilla;2023;""
Responsabilidad civil;Melilla;2022;25
Responsabilidad civil;Melilla;2021;9
Responsabilidad civil;Melilla;2020;13
Responsabilidad civil;Melilla;2019;18
Responsabilidad civil;Melilla;2018;20
Responsabilidad civil;Melilla;2017;28
Responsabilidad civil;Melilla;2016;23
Responsabilidad civil;Melilla;2015;24
Resto de penas;Total Nacional;2023;5
Resto de penas;Total Nacional;2022;7
Resto de penas;Total Nacional;2021;13
Resto de penas;Total Nacional;2020;18
Resto de penas;Total Nacional;2019;19
Resto de penas;Total Nacional;2018;8
Resto de penas;Total Nacional;2017;3
Resto de penas;Total Nacional;2016;4
Resto de penas;Total Nacional;2015;8
Resto de penas;Andalucía;2023;0
Resto de penas;Andalucía;2022;0
Resto de penas;Andalucía;2021;3
Resto de penas;Andalucía;2020;7
Resto de penas;Andalucía;2019;4
Resto de penas;Andalucía;2018;3
Resto de penas;Andalucía;2017;1
Resto de penas;Andalucía;2016;2
Resto de penas;Andalucía;2015;3
Resto de penas;Aragón;2023;0
Resto de penas;Aragón;2022;1
Resto de penas;Aragón;2021;1
Resto de penas;Aragón;2020;3
Resto de penas;Aragón;2019;2
Resto de penas;Aragón;2018;1
Resto de penas;Aragón;2017;0
Resto de penas;Aragón;2016;0
Resto de penas;Aragón;2015;0
Resto de penas;Asturias, Principado de;2023;0
Resto de penas;Asturias, Principado de;2022;0
Resto de penas;Asturias, Principado de;2021;0
Resto de penas;Asturias, Principado de;2020;0
Resto de penas;Asturias, Principado de;2019;0
Resto de penas;Asturias, Principado de;2018;0
Resto de penas;Asturias, Principado de;2017;0
Resto de penas;Asturias, Principado de;2016;0
Resto de penas;Asturias, Principado de;2015;0
Resto de penas;Balears, Illes;2023;0
Resto de penas;Balears, Illes;2022;0
Resto de penas;Balears, Illes;2021;0
Resto de penas;Balears, Illes;2020;0
Resto de penas;Balears, Illes;2019;0
Resto de penas;Balears, Illes;2018;0
Resto de penas;Balears, Illes;2017;0
Resto de penas;Balears, Illes;2016;0
Resto de penas;Balears, Illes;2015;0
Resto de penas;Canarias;2023;2
Resto de penas;Canarias;2022;1
Resto de penas;Canarias;2021;3
Resto de penas;Canarias;2020;3
Resto de penas;Canarias;2019;1
Resto de penas;Canarias;2018;0
Resto de penas;Canarias;2017;0
Resto de penas;Canarias;2016;0
Resto de penas;Canarias;2015;0
Resto de penas;Cantabria;2023;0
Resto de penas;Cantabria;2022;0
Resto de penas;Cantabria;2021;0
Resto de penas;Cantabria;2020;0
Resto de penas;Cantabria;2019;1
Resto de penas;Cantabria;2018;0
Resto de penas;Cantabria;2017;0
Resto de penas;Cantabria;2016;0
Resto de penas;Cantabria;2015;0
Resto de penas;Castilla y León;2023;0
Resto de penas;Castilla y León;2022;0
Resto de penas;Castilla y León;2021;0
Resto de penas;Castilla y León;2020;0
Resto de penas;Castilla y León;2019;1
Resto de penas;Castilla y León;2018;0
Resto de penas;Castilla y León;2017;0
Resto de penas;Castilla y León;2016;1
Resto de penas;Castilla y León;2015;0
Resto de penas;Castilla - La Mancha;2023;0
Resto de penas;Castilla - La Mancha;2022;0
Resto de penas;Castilla - La Mancha;2021;0
Resto de penas;Castilla - La Mancha;2020;0
Resto de penas;Castilla - La Mancha;2019;0
Resto de penas;Castilla - La Mancha;2018;2
Resto de penas;Castilla - La Mancha;2017;0
Resto de penas;Castilla - La Mancha;2016;0
Resto de penas;Castilla - La Mancha;2015;0
Resto de penas;Cataluña;2023;0
Resto de penas;Cataluña;2022;2
Resto de penas;Cataluña;2021;1
Resto de penas;Cataluña;2020;2
Resto de penas;Cataluña;2019;4
Resto de penas;Cataluña;2018;0
Resto de penas;Cataluña;2017;1
Resto de penas;Cataluña;2016;0
Resto de penas;Cataluña;2015;2
Resto de penas;Comunitat Valenciana;2023;1
Resto de penas;Comunitat Valenciana;2022;0
Resto de penas;Comunitat Valenciana;2021;2
Resto de penas;Comunitat Valenciana;2020;1
Resto de penas;Comunitat Valenciana;2019;1
Resto de penas;Comunitat Valenciana;2018;1
Resto de penas;Comunitat Valenciana;2017;0
Resto de penas;Comunitat Valenciana;2016;1
Resto de penas;Comunitat Valenciana;2015;2
Resto de penas;Extremadura;2023;0
Resto de penas;Extremadura;2022;0
Resto de penas;Extremadura;2021;0
Resto de penas;Extremadura;2020;0
Resto de penas;Extremadura;2019;1
Resto de penas;Extremadura;2018;0
Resto de penas;Extremadura;2017;0
Resto de penas;Extremadura;2016;0
Resto de penas;Extremadura;2015;0
Resto de penas;Galicia;2023;0
Resto de penas;Galicia;2022;0
Resto de penas;Galicia;2021;1
Resto de penas;Galicia;2020;0
Resto de penas;Galicia;2019;4
Resto de penas;Galicia;2018;0
Resto de penas;Galicia;2017;0
Resto de penas;Galicia;2016;0
Resto de penas;Galicia;2015;0
Resto de penas;Madrid, Comunidad de;2023;2
Resto de penas;Madrid, Comunidad de;2022;0
Resto de penas;Madrid, Comunidad de;2021;0
Resto de penas;Madrid, Comunidad de;2020;0
Resto de penas;Madrid, Comunidad de;2019;0
Resto de penas;Madrid, Comunidad de;2018;0
Resto de penas;Madrid, Comunidad de;2017;0
Resto de penas;Madrid, Comunidad de;2016;0
Resto de penas;Madrid, Comunidad de;2015;1
Resto de penas;Murcia, Región de;2023;0
Resto de penas;Murcia, Región de;2022;0
Resto de penas;Murcia, Región de;2021;2
Resto de penas;Murcia, Región de;2020;2
Resto de penas;Murcia, Región de;2019;0
Resto de penas;Murcia, Región de;2018;0
Resto de penas;Murcia, Región de;2017;1
Resto de penas;Murcia, Región de;2016;0
Resto de penas;Murcia, Región de;2015;0
Resto de penas;Navarra, Comunidad Foral de;2023;0
Resto de penas;Navarra, Comunidad Foral de;2022;1
Resto de penas;Navarra, Comunidad Foral de;2021;0
Resto de penas;Navarra, Comunidad Foral de;2020;0
Resto de penas;Navarra, Comunidad Foral de;2019;0
Resto de penas;Navarra, Comunidad Foral de;2018;0
Resto de penas;Navarra, Comunidad Foral de;2017;0
Resto de penas;Navarra, Comunidad Foral de;2016;0
Resto de penas;Navarra, Comunidad Foral de;2015;0
Resto de penas;País Vasco;2023;0
Resto de penas;País Vasco;2022;0
Resto de penas;País Vasco;2021;0
Resto de penas;País Vasco;2020;0
Resto de penas;País Vasco;2019;0
Resto de penas;País Vasco;2018;1
Resto de penas;País Vasco;2017;0
Resto de penas;País Vasco;2016;0
Resto de penas;País Vasco;2015;0
Resto de penas;Rioja, La;2023;0
Resto de penas;Rioja, La;2022;2
Resto de penas;Rioja, La;2021;0
Resto de penas;Rioja, La;2020;0
Resto de penas;Rioja, La;2019;0
Resto de penas;Rioja, La;2018;0
Resto de penas;Rioja, La;2017;0
Resto de penas;Rioja, La;2016;0
Resto de penas;Rioja, La;2015;0
Resto de penas;Ceuta;2023;0
Resto de penas;Ceuta;2022;0
Resto de penas;Ceuta;2021;0
Resto de penas;Ceuta;2020;0
Resto de penas;Ceuta;2019;0
Resto de penas;Ceuta;2018;0
Resto de penas;Ceuta;2017;0
Resto de penas;Ceuta;2016;0
Resto de penas;Ceuta;2015;0
Resto de penas;Melilla;2023;0
Resto de penas;Melilla;2022;0
Resto de penas;Melilla;2021;0
Resto de penas;Melilla;2020;0
Resto de penas;Melilla;2019;0
Resto de penas;Melilla;2018;0
Resto de penas;Melilla;2017;0
Resto de penas;Melilla;2016;0
Resto de penas;Melilla;2015;0
Medidas adoptadas contra menores;Total Nacional;2023;51
Medidas adoptadas contra menores;Total Nacional;2022;88
Medidas adoptadas contra menores;Total Nacional;2021;106
Medidas adoptadas contra menores;Total Nacional;2020;106
Medidas adoptadas contra menores;Total Nacional;2019;172
Medidas adoptadas contra menores;Total Nacional;2018;114
Medidas adoptadas contra menores;Total Nacional;2017;118
Medidas adoptadas contra menores;Total Nacional;2016;106
Medidas adoptadas contra menores;Total Nacional;2015;110
Medidas adoptadas contra menores;Andalucía;2023;18
Medidas adoptadas contra menores;Andalucía;2022;23
Medidas adoptadas contra menores;Andalucía;2021;27
Medidas adoptadas contra menores;Andalucía;2020;34
Medidas adoptadas contra menores;Andalucía;2019;45
Medidas adoptadas contra menores;Andalucía;2018;29
Medidas adoptadas contra menores;Andalucía;2017;16
Medidas adoptadas contra menores;Andalucía;2016;35
Medidas adoptadas contra menores;Andalucía;2015;17
Medidas adoptadas contra menores;Aragón;2023;1
Medidas adoptadas contra menores;Aragón;2022;9
Medidas adoptadas contra menores;Aragón;2021;4
Medidas adoptadas contra menores;Aragón;2020;6
Medidas adoptadas contra menores;Aragón;2019;10
Medidas adoptadas contra menores;Aragón;2018;6
Medidas adoptadas contra menores;Aragón;2017;3
Medidas adoptadas contra menores;Aragón;2016;1
Medidas adoptadas contra menores;Aragón;2015;0
Medidas adoptadas contra menores;Asturias, Principado de;2023;0
Medidas adoptadas contra menores;Asturias, Principado de;2022;2
Medidas adoptadas contra menores;Asturias, Principado de;2021;0
Medidas adoptadas contra menores;Asturias, Principado de;2020;0
Medidas adoptadas contra menores;Asturias, Principado de;2019;0
Medidas adoptadas contra menores;Asturias, Principado de;2018;0
Medidas adoptadas contra menores;Asturias, Principado de;2017;0
Medidas adoptadas contra menores;Asturias, Principado de;2016;0
Medidas adoptadas contra menores;Asturias, Principado de;2015;0
Medidas adoptadas contra menores;Balears, Illes;2023;0
Medidas adoptadas contra menores;Balears, Illes;2022;0
Medidas adoptadas contra menores;Balears, Illes;2021;4
Medidas adoptadas contra menores;Balears, Illes;2020;6
Medidas adoptadas contra menores;Balears, Illes;2019;0
Medidas adoptadas contra menores;Balears, Illes;2018;0
Medidas adoptadas contra menores;Balears, Illes;2017;0
Medidas adoptadas contra menores;Balears, Illes;2016;0
Medidas adoptadas contra menores;Balears, Illes;2015;0
Medidas adoptadas contra menores;Canarias;2023;0
Medidas adoptadas contra menores;Canarias;2022;0
Medidas adoptadas contra menores;Canarias;2021;0
Medidas adoptadas contra menores;Canarias;2020;1
Medidas adoptadas contra menores;Canarias;2019;4
Medidas adoptadas contra menores;Canarias;2018;0
Medidas adoptadas contra menores;Canarias;2017;0
Medidas adoptadas contra menores;Canarias;2016;2
Medidas adoptadas contra menores;Canarias;2015;1
Medidas adoptadas contra menores;Cantabria;2023;0
Medidas adoptadas contra menores;Cantabria;2022;1
Medidas adoptadas contra menores;Cantabria;2021;3
Medidas adoptadas contra menores;Cantabria;2020;1
Medidas adoptadas contra menores;Cantabria;2019;3
Medidas adoptadas contra menores;Cantabria;2018;2
Medidas adoptadas contra menores;Cantabria;2017;1
Medidas adoptadas contra menores;Cantabria;2016;0
Medidas adoptadas contra menores;Cantabria;2015;3
Medidas adoptadas contra menores;Castilla y León;2023;4
Medidas adoptadas contra menores;Castilla y León;2022;8
Medidas adoptadas contra menores;Castilla y León;2021;7
Medidas adoptadas contra menores;Castilla y León;2020;8
Medidas adoptadas contra menores;Castilla y León;2019;12
Medidas adoptadas contra menores;Castilla y León;2018;2
Medidas adoptadas contra menores;Castilla y León;2017;9
Medidas adoptadas contra menores;Castilla y León;2016;6
Medidas adoptadas contra menores;Castilla y León;2015;8
Medidas adoptadas contra menores;Castilla - La Mancha;2023;2
Medidas adoptadas contra menores;Castilla - La Mancha;2022;3
Medidas adoptadas contra menores;Castilla - La Mancha;2021;0
Medidas adoptadas contra menores;Castilla - La Mancha;2020;6
Medidas adoptadas contra menores;Castilla - La Mancha;2019;4
Medidas adoptadas contra menores;Castilla - La Mancha;2018;0
Medidas adoptadas contra menores;Castilla - La Mancha;2017;2
Medidas adoptadas contra menores;Castilla - La Mancha;2016;1
Medidas adoptadas contra menores;Castilla - La Mancha;2015;4
Medidas adoptadas contra menores;Cataluña;2023;5
Medidas adoptadas contra menores;Cataluña;2022;6
Medidas adoptadas contra menores;Cataluña;2021;12
Medidas adoptadas contra menores;Cataluña;2020;8
Medidas adoptadas contra menores;Cataluña;2019;29
Medidas adoptadas contra menores;Cataluña;2018;27
Medidas adoptadas contra menores;Cataluña;2017;16
Medidas adoptadas contra menores;Cataluña;2016;14
Medidas adoptadas contra menores;Cataluña;2015;29
Medidas adoptadas contra menores;Comunitat Valenciana;2023;5
Medidas adoptadas contra menores;Comunitat Valenciana;2022;4
Medidas adoptadas contra menores;Comunitat Valenciana;2021;12
Medidas adoptadas contra menores;Comunitat Valenciana;2020;5
Medidas adoptadas contra menores;Comunitat Valenciana;2019;27
Medidas adoptadas contra menores;Comunitat Valenciana;2018;16
Medidas adoptadas contra menores;Comunitat Valenciana;2017;26
Medidas adoptadas contra menores;Comunitat Valenciana;2016;26
Medidas adoptadas contra menores;Comunitat Valenciana;2015;25
Medidas adoptadas contra menores;Extremadura;2023;0
Medidas adoptadas contra menores;Extremadura;2022;5
Medidas adoptadas contra menores;Extremadura;2021;3
Medidas adoptadas contra menores;Extremadura;2020;6
Medidas adoptadas contra menores;Extremadura;2019;5
Medidas adoptadas contra menores;Extremadura;2018;5
Medidas adoptadas contra menores;Extremadura;2017;2
Medidas adoptadas contra menores;Extremadura;2016;2
Medidas adoptadas contra menores;Extremadura;2015;2
Medidas adoptadas contra menores;Galicia;2023;2
Medidas adoptadas contra menores;Galicia;2022;6
Medidas adoptadas contra menores;Galicia;2021;5
Medidas adoptadas contra menores;Galicia;2020;9
Medidas adoptadas contra menores;Galicia;2019;4
Medidas adoptadas contra menores;Galicia;2018;4
Medidas adoptadas contra menores;Galicia;2017;11
Medidas adoptadas contra menores;Galicia;2016;7
Medidas adoptadas contra menores;Galicia;2015;7
Medidas adoptadas contra menores;Madrid, Comunidad de;2023;0
Medidas adoptadas contra menores;Madrid, Comunidad de;2022;2
Medidas adoptadas contra menores;Madrid, Comunidad de;2021;0
Medidas adoptadas contra menores;Madrid, Comunidad de;2020;0
Medidas adoptadas contra menores;Madrid, Comunidad de;2019;2
Medidas adoptadas contra menores;Madrid, Comunidad de;2018;3
Medidas adoptadas contra menores;Madrid, Comunidad de;2017;2
Medidas adoptadas contra menores;Madrid, Comunidad de;2016;1
Medidas adoptadas contra menores;Madrid, Comunidad de;2015;6
Medidas adoptadas contra menores;Murcia, Región de;2023;11
Medidas adoptadas contra menores;Murcia, Región de;2022;14
Medidas adoptadas contra menores;Murcia, Región de;2021;21
Medidas adoptadas contra menores;Murcia, Región de;2020;11
Medidas adoptadas contra menores;Murcia, Región de;2019;9
Medidas adoptadas contra menores;Murcia, Región de;2018;5
Medidas adoptadas contra menores;Murcia, Región de;2017;12
Medidas adoptadas contra menores;Murcia, Región de;2016;3
Medidas adoptadas contra menores;Murcia, Región de;2015;2
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2023;0
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2022;1
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2021;1
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2020;2
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2019;3
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2018;1
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2017;4
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2016;0
Medidas adoptadas contra menores;Navarra, Comunidad Foral de;2015;2
Medidas adoptadas contra menores;País Vasco;2023;1
Medidas adoptadas contra menores;País Vasco;2022;2
Medidas adoptadas contra menores;País Vasco;2021;5
Medidas adoptadas contra menores;País Vasco;2020;1
Medidas adoptadas contra menores;País Vasco;2019;9
Medidas adoptadas contra menores;País Vasco;2018;8
Medidas adoptadas contra menores;País Vasco;2017;12
Medidas adoptadas contra menores;País Vasco;2016;8
Medidas adoptadas contra menores;País Vasco;2015;4
Medidas adoptadas contra menores;Rioja, La;2023;0
Medidas adoptadas contra menores;Rioja, La;2022;1
Medidas adoptadas contra menores;Rioja, La;2021;0
Medidas adoptadas contra menores;Rioja, La;2020;2
Medidas adoptadas contra menores;Rioja, La;2019;6
Medidas adoptadas contra menores;Rioja, La;2018;6
Medidas adoptadas contra menores;Rioja, La;2017;2
Medidas adoptadas contra menores;Rioja, La;2016;0
Medidas adoptadas contra menores;Rioja, La;2015;0
Medidas adoptadas contra menores;Ceuta;2023;2
Medidas adoptadas contra menores;Ceuta;2022;1
Medidas adoptadas contra menores;Ceuta;2021;2
Medidas adoptadas contra menores;Ceuta;2020;0
Medidas adoptadas contra menores;Ceuta;2019;0
Medidas adoptadas contra menores;Ceuta;2018;0
Medidas adoptadas contra menores;Ceuta;2017;0
Medidas adoptadas contra menores;Ceuta;2016;0
Medidas adoptadas contra menores;Ceuta;2015;0
Medidas adoptadas contra menores;Melilla;2023;0
Medidas adoptadas contra menores;Melilla;2022;0
Medidas adoptadas contra menores;Melilla;2021;0
Medidas adoptadas contra menores;Melilla;2020;0
Medidas adoptadas contra menores;Melilla;2019;0
Medidas adoptadas contra menores;Melilla;2018;0
Medidas adoptadas contra menores;Melilla;2017;0
Medidas adoptadas contra menores;Melilla;2016;0
Medidas adoptadas contra menores;Melilla;2015;0
Asistencia a un centro de día;Total Nacional;2023;""
Asistencia a un centro de día;Total Nacional;2022;""
Asistencia a un centro de día;Total Nacional;2021;""
Asistencia a un centro de día;Total Nacional;2020;""
Asistencia a un centro de día;Total Nacional;2019;2
Asistencia a un centro de día;Total Nacional;2018;2
Asistencia a un centro de día;Total Nacional;2017;""
Asistencia a un centro de día;Total Nacional;2016;1
Asistencia a un centro de día;Total Nacional;2015;""
Asistencia a un centro de día;Andalucía;2023;""
Asistencia a un centro de día;Andalucía;2022;""
Asistencia a un centro de día;Andalucía;2021;""
Asistencia a un centro de día;Andalucía;2020;""
Asistencia a un centro de día;Andalucía;2019;2
Asistencia a un centro de día;Andalucía;2018;2
Asistencia a un centro de día;Andalucía;2017;""
Asistencia a un centro de día;Andalucía;2016;1
Asistencia a un centro de día;Andalucía;2015;""
Asistencia a un centro de día;Aragón;2023;""
Asistencia a un centro de día;Aragón;2022;""
Asistencia a un centro de día;Aragón;2021;""
Asistencia a un centro de día;Aragón;2020;""
Asistencia a un centro de día;Aragón;2019;0
Asistencia a un centro de día;Aragón;2018;0
Asistencia a un centro de día;Aragón;2017;""
Asistencia a un centro de día;Aragón;2016;0
Asistencia a un centro de día;Aragón;2015;""
Asistencia a un centro de día;Asturias, Principado de;2023;""
Asistencia a un centro de día;Asturias, Principado de;2022;""
Asistencia a un centro de día;Asturias, Principado de;2021;""
Asistencia a un centro de día;Asturias, Principado de;2020;""
Asistencia a un centro de día;Asturias, Principado de;2019;0
Asistencia a un centro de día;Asturias, Principado de;2018;0
Asistencia a un centro de día;Asturias, Principado de;2017;""
Asistencia a un centro de día;Asturias, Principado de;2016;0
Asistencia a un centro de día;Asturias, Principado de;2015;""
Asistencia a un centro de día;Balears, Illes;2023;""
Asistencia a un centro de día;Balears, Illes;2022;""
Asistencia a un centro de día;Balears, Illes;2021;""
Asistencia a un centro de día;Balears, Illes;2020;""
Asistencia a un centro de día;Balears, Illes;2019;0
Asistencia a un centro de día;Balears, Illes;2018;0
Asistencia a un centro de día;Balears, Illes;2017;""
Asistencia a un centro de día;Balears, Illes;2016;0
Asistencia a un centro de día;Balears, Illes;2015;""
Asistencia a un centro de día;Canarias;2023;""
Asistencia a un centro de día;Canarias;2022;""
Asistencia a un centro de día;Canarias;2021;""
Asistencia a un centro de día;Canarias;2020;""
Asistencia a un centro de día;Canarias;2019;0
Asistencia a un centro de día;Canarias;2018;0
Asistencia a un centro de día;Canarias;2017;""
Asistencia a un centro de día;Canarias;2016;0
Asistencia a un centro de día;Canarias;2015;""
Asistencia a un centro de día;Cantabria;2023;""
Asistencia a un centro de día;Cantabria;2022;""
Asistencia a un centro de día;Cantabria;2021;""
Asistencia a un centro de día;Cantabria;2020;""
Asistencia a un centro de día;Cantabria;2019;0
Asistencia a un centro de día;Cantabria;2018;0
Asistencia a un centro de día;Cantabria;2017;""
Asistencia a un centro de día;Cantabria;2016;0
Asistencia a un centro de día;Cantabria;2015;""
Asistencia a un centro de día;Castilla y León;2023;""
Asistencia a un centro de día;Castilla y León;2022;""
Asistencia a un centro de día;Castilla y León;2021;""
Asistencia a un centro de día;Castilla y León;2020;""
Asistencia a un centro de día;Castilla y León;2019;0
Asistencia a un centro de día;Castilla y León;2018;0
Asistencia a un centro de día;Castilla y León;2017;""
Asistencia a un centro de día;Castilla y León;2016;0
Asistencia a un centro de día;Castilla y León;2015;""
Asistencia a un centro de día;Castilla - La Mancha;2023;""
Asistencia a un centro de día;Castilla - La Mancha;2022;""
Asistencia a un centro de día;Castilla - La Mancha;2021;""
Asistencia a un centro de día;Castilla - La Mancha;2020;""
Asistencia a un centro de día;Castilla - La Mancha;2019;0
Asistencia a un centro de día;Castilla - La Mancha;2018;0
Asistencia a un centro de día;Castilla - La Mancha;2017;""
Asistencia a un centro de día;Castilla - La Mancha;2016;0
Asistencia a un centro de día;Castilla - La Mancha;2015;""
Asistencia a un centro de día;Cataluña;2023;""
Asistencia a un centro de día;Cataluña;2022;""
Asistencia a un centro de día;Cataluña;2021;""
Asistencia a un centro de día;Cataluña;2020;""
Asistencia a un centro de día;Cataluña;2019;0
Asistencia a un centro de día;Cataluña;2018;0
Asistencia a un centro de día;Cataluña;2017;""
Asistencia a un centro de día;Cataluña;2016;0
Asistencia a un centro de día;Cataluña;2015;""
Asistencia a un centro de día;Comunitat Valenciana;2023;""
Asistencia a un centro de día;Comunitat Valenciana;2022;""
Asistencia a un centro de día;Comunitat Valenciana;2021;""
Asistencia a un centro de día;Comunitat Valenciana;2020;""
Asistencia a un centro de día;Comunitat Valenciana;2019;0
Asistencia a un centro de día;Comunitat Valenciana;2018;0
Asistencia a un centro de día;Comunitat Valenciana;2017;""
Asistencia a un centro de día;Comunitat Valenciana;2016;0
Asistencia a un centro de día;Comunitat Valenciana;2015;""
Asistencia a un centro de día;Extremadura;2023;""
Asistencia a un centro de día;Extremadura;2022;""
Asistencia a un centro de día;Extremadura;2021;""
Asistencia a un centro de día;Extremadura;2020;""
Asistencia a un centro de día;Extremadura;2019;0
Asistencia a un centro de día;Extremadura;2018;0
Asistencia a un centro de día;Extremadura;2017;""
Asistencia a un centro de día;Extremadura;2016;0
