Penas y medidas;Comunidades y ciudades autónomas;Periodo;Total
Total penas y medidas;Comunitat Valenciana;2022;28.806
Total penas y medidas;Comunitat Valenciana;2021;26.454
Total penas y medidas;Comunitat Valenciana;2020;20.385
Total penas y medidas;Comunitat Valenciana;2019;23.970
Total penas y medidas;Comunitat Valenciana;2018;21.816
Total penas y medidas;Comunitat Valenciana;2017;20.868
Total penas y medidas;Comunitat Valenciana;2016;19.173
Total penas y medidas;Comunitat Valenciana;2015;18.665
Total penas y medidas;Extremadura;2023;6.441
Total penas y medidas;Extremadura;2022;5.009
Total penas y medidas;Extremadura;2021;4.557
Total penas y medidas;Extremadura;2020;3.468
Total penas y medidas;Extremadura;2019;3.756
Total penas y medidas;Extremadura;2018;3.209
Total penas y medidas;Extremadura;2017;3.348
Total penas y medidas;Extremadura;2016;3.378
Total penas y medidas;Extremadura;2015;3.541
Total penas y medidas;Galicia;2023;10.216
Total penas y medidas;Galicia;2022;9.546
Total penas y medidas;Galicia;2021;8.820
Total penas y medidas;Galicia;2020;6.454
Total penas y medidas;Galicia;2019;7.753
Total penas y medidas;Galicia;2018;7.065
Total penas y medidas;Galicia;2017;6.607
Total penas y medidas;Galicia;2016;5.881
Total penas y medidas;Galicia;2015;5.587
Total penas y medidas;Madrid, Comunidad de;2023;18.913
Total penas y medidas;Madrid, Comunidad de;2022;18.681
Total penas y medidas;Madrid, Comunidad de;2021;16.215
Total penas y medidas;Madrid, Comunidad de;2020;11.489
Total penas y medidas;Madrid, Comunidad de;2019;15.406
Total penas y medidas;Madrid, Comunidad de;2018;13.189
Total penas y medidas;Madrid, Comunidad de;2017;13.288
Total penas y medidas;Madrid, Comunidad de;2016;12.270
Total penas y medidas;Madrid, Comunidad de;2015;12.639
Total penas y medidas;Murcia, Región de;2023;11.287
Total penas y medidas;Murcia, Región de;2022;9.690
Total penas y medidas;Murcia, Región de;2021;8.895
Total penas y medidas;Murcia, Región de;2020;5.878
Total penas y medidas;Murcia, Región de;2019;7.045
Total penas y medidas;Murcia, Región de;2018;6.837
Total penas y medidas;Murcia, Región de;2017;6.269
Total penas y medidas;Murcia, Región de;2016;6.113
Total penas y medidas;Murcia, Región de;2015;5.646
Total penas y medidas;Navarra, Comunidad Foral de;2023;2.702
Total penas y medidas;Navarra, Comunidad Foral de;2022;3.783
Total penas y medidas;Navarra, Comunidad Foral de;2021;2.755
Total penas y medidas;Navarra, Comunidad Foral de;2020;1.907
Total penas y medidas;Navarra, Comunidad Foral de;2019;2.690
